Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	27	4	20	0	58	16	136	0	0
V2	21	8	10	12	6	0	11	0	0
V3	4	15	58	8	4	6	9	27	17
V4	4	17	2	80	165	77	0	0	41
V5	159	52	0	66	2	72	0	25	96
V6	99	0	28	0	12	6	18	20	12
V7	48	31	400	27	39	8	88	9	0
V8	13	61	130	11	38	10	78	0	0
V9	214	42	5	22	56	112	62	39	5
V10	2	32	29	17	36	16	53	3	31
V11	49	0	50	0	14	0	20	45	0
V12	7	95	29	51	68	0	62	0	0
V13	0	11	14	62	40	5	67	0	8
V14	19	0	5	187	21	38	7	0	172
V15	115	2	29	1	0	1	0	24	7
V16	213	0	0	2	0	32	0	5	46
V17	0	0	58	0	0	38	0	62	0
V18	0	14	68	3	12	104	0	33	0
V19	2	6	71	0	29	35	46	0	0
V20	11	14	26	291	8	56	0	32	0
V21	40	186	14	49	10	0	11	0	56
V22	0	62	1	5	2	0	4	1	8
V23	175	141	1	35	32	18	44	0	0
V24	27	25	47	20	83	3	41	0	2
V25	24	0	110	1	0	3	0	0	0
V26	265	7	6	86	25	14	25	16	39
V27	11	0	46	0	0	48	0	64	0
V28	4	91	142	68	0	87	6	88	0
V29	6	10	0	2	0	9	0	0	1
V30	0	60	0	0	1	127	0	54	1
V31	19	0	0	117	13	8	24	13	90
V32	23	0	17	0	0	0	0	52	0
V33	0	89	19	11	22	0	3	13	4
V34	6	4	101	0	27	13	40	23	10
V35	10	10	59	0	5	10	0	22	0
V36	0	0	1	3	32	34	0	162	0
V37	5	82	0	1	20	68	1	52	2
V38	0	9	21	25	2	34	1	0	9
V39	26	113	56	13	1	16	0	5	5
V40	5	0	10	4	230	3	44	12	0
V41	1	30	26	65	28	2	0	0	31
V42	238	16	97	0	41	104	48	37	0
V43	17	60	6	6	0	63	0	0	9
V44	16	165	6	42	3	21	0	2	0
V45	20	0	8	0	24	9	31	15	0
V46	4	71	35	32	7	9	0	1	0
V47	4	7	15	14	7	0	4	15	2
V48	0	58	5	58	52	14	124	1	36
V49	0	15	112	0	0	25	0	46	5
V50	1	0	150	22	2	14	0	0	4
V51	0	32	90	3	36	1	12	6	13
V52	13	124	5	5	9	23	17	5	28
V53	199	3	10	6	7	43	0	0	6
V54	10	267	33	0	63	38	6	4	21
V55	22	34	18	11	4	0	0	2	6
V56	22	62	14	21	51	0	13	17	10
V57	0	110	1	5	43	41	46	0	2
V58	25	13	5	11	154	6	23	3	4
V59	0	6	0	16	28	16	77	8	18
V60	0	55	0	12	0	0	0	8	0
V61	0	41	214	30	27	50	0	23	51
V62	0	161	82	5	15	0	43	50	11
V63	140	3	133	36	73	0	33	55	35
V64	25	33	1	0	40	3	2	0	0
V65	6	3	107	58	3	0	0	4	51
V66	1	2	82	4	29	1	5	23	0
V67	5	0	5	3	0	2	1	6	2
V68	137	249	38	0	34	4	34	0	0
V69	38	4	0	21	13	60	27	11	32
V70	0	7	104	0	0	7	0	25	0
V71	0	2	103	2	5	141	0	84	0
V72	74	8	21	2	19	14	35	0	17
V73	0	21	12	0	2	80	0	40	0
V74	0	0	12	71	25	44	12	20	19
V75	51	37	9	197	1	0	6	3	0
V76	172	133	5	13	0	0	15	0	31
V77	76	2	8	0	2	10	0	4	0
V78	2	7	0	44	109	37	15	23	18
V79	7	20	45	0	3	92	0	15	0
V80	155	4	65	29	78	21	67	11	10
V81	2	33	0	153	0	6	0	9	108
V82	16	13	2	0	12	0	29	1	18
V83	802	332	0	43	139	63	59	17	4
V84	39	3	1	3	4	26	1	0	12
V85	32	5	34	28	0	0	0	12	13
V86	35	12	92	0	71	0	0	24	0
V87	14	25	0	182	1	42	0	9	1
V88	21	25	101	118	15	128	23	17	0
V89	0	136	8	102	3	27	8	5	41
V90	225	7	96	92	150	13	82	91	6
V91	11	2	0	28	60	111	43	9	20
V92	135	8	33	74	0	5	0	5	0
V93	0	31	19	16	53	10	88	0	32
V94	73	44	36	25	83	0	15	41	21
V95	12	80	2	28	15	0	0	0	85
V96	223	3	16	3	55	8	106	4	0
V97	79	17	11	3	0	24	10	0	0
V98	89	108	54	77	0	0	6	0	18
V99	0	90	35	17	84	6	90	2	82
V100	2	6	7	3	18	31	0	0	0
