Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V75	1.67E-01	8.20E-01	1.42E+00	1.56E+00	7.33E-01	2.24E-01	4.16E-01	6.86E-01	1.08E+00	8.62E-01	1.70E+00	4.01E-01	1.92E+00	1.42E+00	1.98E+00	2.06E+00	4.58E-01	2.00E-01	9.55E-01	1.42E+00
V76	4.14E+00	4.39E+00	2.04E+00	1.56E+00	2.97E+01	0.00E+00	0.00E+00	2.95E+01	1.84E+00	8.38E+00	0.00E+00	1.00E-01	7.89E-01	4.00E-01	3.64E+00	3.00E-01	6.33E+00	2.72E+00	2.02E+00	3.75E+00
V77	9.29E-01	6.01E-01	1.97E+00	3.56E+00	5.67E-01	0.00E+00	0.00E+00	3.89E-01	3.34E+00	6.99E-01	0.00E+00	8.33E-01	8.14E-01	1.00E+00	2.65E+00	1.00E-01	7.72E-01	8.49E-01	2.80E+00	2.73E+00
V78	2.51E+00	1.14E+00	7.96E+00	8.76E+00	0.00E+00	1.30E+00	9.29E-01	0.00E+00	3.58E+00	0.00E+00	2.19E+00	8.11E+00	5.80E+00	4.39E+00	1.65E+00	3.94E+00	2.86E+00	2.06E+00	1.83E+00	1.12E+01
V79	9.29E-01	3.21E+00	4.75E+01	8.82E+00	0.00E+00	1.87E+00	1.59E+00	0.00E+00	5.06E+00	0.00E+00	2.34E+00	3.14E+00	4.63E+00	1.69E+00	3.78E+00	3.60E+00	4.87E+00	2.21E-01	2.62E+00	5.42E+01
V80	1.35E+00	1.93E+00	1.71E+00	7.81E-01	3.71E+00	0.00E+00	0.00E+00	5.56E+00	6.00E-01	4.29E+00	0.00E+00	6.83E-01	0.00E+00	0.00E+00	8.31E-01	0.00E+00	1.30E+00	3.42E-01	5.12E-01	1.49E+00
V81	0.00E+00	4.23E+00	0.00E+00	3.32E+00	6.19E-01	6.11E+00	6.00E+00	3.06E-01	2.60E+00	5.63E-01	2.09E+00	2.16E+00	3.48E+00	2.43E+00	1.59E+00	1.61E+01	2.86E+00	1.00E-01	8.19E+00	3.50E+00
V82	2.65E+00	2.26E+00	0.00E+00	0.00E+00	4.94E-01	3.27E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.21E-01	0.00E+00	2.64E+00	7.22E-01	6.29E-01	3.06E-01
V83	9.32E-01	1.01E+00	3.14E+00	0.00E+00	1.80E+00	0.00E+00	0.00E+00	2.06E+00	1.53E-01	0.00E+00	0.00E+00	0.00E+00	6.16E-01	1.00E-01	7.00E-01	0.00E+00	1.15E+00	6.40E-01	1.33E-01	4.07E+00
V84	1.83E+00	1.37E+00	3.53E+00	1.60E+00	5.54E-01	1.61E+00	2.72E+00	0.00E+00	2.08E+00	0.00E+00	7.95E-01	2.19E+00	1.86E+00	4.99E-01	1.85E+00	2.78E+00	1.59E+00	7.92E-01	5.17E-01	3.68E+00
