Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	5	0	3	0	4	0	0	1	0	0	0	10	1	0	1	0	2	0	0	0
V2	36	13	121	5	32	11	13	7	0	14	14	0	5	0	27	25	24	12	0	0
V3	142	0	26	7	24	1	5	7	0	21	3	0	1	2	4	0	1	4	4	0
V4	1	33	22	10	3	2	9	1	0	0	9	0	1	0	2	0	21	0	1	0
V5	0	40	14	9	0	113	14	1	4	0	8	45	19	52	10	54	11	5	2	0
V6	7	7	86	12	19	10	0	54	8	68	0	0	3	13	13	25	0	1	0	0
V7	6	3	0	137	1	0	0	0	61	0	1	99	28	0	7	0	0	1	0	0
V8	97	8	31	5	28	2	4	25	6	1	0	2	0	0	3	0	3	10	0	0
V9	30	4	0	40	27	23	5	31	13	16	22	13	45	42	12	2	0	16	0	0
V10	18	0	139	76	12	0	1	6	4	1	0	84	14	4	22	0	0	1	0	0
V11	76	0	45	43	4	37	15	7	0	0	13	5	0	0	18	6	0	6	0	19
V12	305	17	50	43	1	4	2	3	26	0	3	0	36	0	17	0	0	5	4	0
V13	38	104	41	11	11	11	17	15	6	5	18	0	4	0	5	0	0	7	5	0
V14	242	8	17	1	8	0	2	7	0	1	0	0	0	0	1	0	22	7	0	0
V15	0	2	0	43	10	4	12	19	11	8	3	2	4	13	8	0	0	7	0	0
V16	16	0	212	1	85	79	44	88	0	17	47	2	6	0	44	0	10	21	2	0
V17	34	203	61	1	15	11	35	8	0	7	9	14	0	5	2	0	35	1	1	11
V18	14	1225	42	5	37	0	9	48	0	1	6	6	12	0	9	0	9	0	49	0
V19	2	0	2	26	33	5	12	32	7	7	6	9	25	0	3	0	23	6	0	0
V20	8	27	10	58	19	3	1	60	12	18	1	51	6	15	0	0	0	17	0	0
V21	28	61	8	3	3	1	4	14	0	0	0	0	9	0	3	0	8	0	0	0
V22	26	24	1	0	54	18	36	13	0	16	22	15	0	0	0	0	0	21	0	0
V23	0	58	21	49	84	23	43	19	31	63	11	0	26	66	46	0	13	7	3	0
V24	125	4	2	0	0	17	6	5	0	2	13	0	0	0	0	5	1	5	0	0
V25	21	19	1	18	2	0	0	5	12	2	0	2	0	11	7	0	8	1	2	0
V26	68	42	0	6	52	10	14	1	4	23	8	1	0	0	2	6	13	9	0	0
V27	5	15	10	2	61	28	100	37	0	19	28	5	0	0	0	0	0	0	0	0
V28	16	1	27	0	0	5	22	1	4	0	2	2	0	0	0	0	0	0	0	0
V29	7	37	8	37	2	75	50	1	0	0	22	0	0	24	2	46	6	0	2	0
V30	64	41	33	5	0	25	20	0	11	0	12	0	1	0	2	0	0	1	0	0
V31	178	24	4	0	10	54	33	4	1	6	59	18	7	1	0	29	5	4	8	4
V32	26	42	57	5	24	72	54	19	7	14	6	7	0	0	12	75	0	0	5	0
V33	12	96	2	1	2	22	38	5	3	0	47	2	0	33	0	0	0	0	0	0
V34	29	6	68	0	27	1	0	7	0	4	10	3	15	0	4	38	1	0	4	4
V35	49	29	3	120	5	73	115	1	182	0	15	84	27	15	90	68	0	0	0	0
V36	3	6	46	13	6	5	1	1	1	0	0	3	3	0	0	12	4	1	6	0
V37	76	4	78	3	20	5	14	37	0	11	20	0	4	2	0	29	0	6	0	9
V38	208	26	47	1	4	41	7	6	2	3	7	10	0	27	15	10	0	0	0	0
V39	161	1	76	57	132	4	9	41	10	54	3	6	24	54	16	4	0	29	0	0
V40	44	38	33	3	6	48	23	1	6	5	24	8	0	16	1	9	23	0	1	0
V41	14	6	115	0	47	0	0	19	0	24	3	6	8	7	9	0	2	3	0	0
V42	33	8	15	103	0	15	13	0	43	0	9	19	30	30	10	0	3	0	0	0
V43	48	93	20	58	50	1	0	5	43	16	2	5	10	9	0	0	5	12	5	7
V44	42	133	1	1	11	3	2	11	5	6	0	0	7	8	9	0	13	6	19	0
V45	15	8	140	41	103	13	6	101	15	39	0	0	5	5	42	0	0	5	1	0
V46	0	36	1	48	11	0	3	5	5	1	0	16	19	10	3	3	0	3	0	0
V47	8	4	25	111	32	5	18	12	31	6	0	33	9	15	11	8	0	3	0	0
V48	15	38	100	33	0	71	12	0	17	0	51	0	1	22	1	7	0	0	2	41
V49	0	15	7	0	1	2	2	0	0	0	5	0	0	0	0	0	1	0	3	0
V50	37	14	96	5	0	38	35	1	16	0	26	16	17	28	6	3	0	5	0	7
V51	45	11	0	38	3	4	6	0	6	9	3	3	19	4	12	4	0	5	3	0
V52	11	6	23	39	31	23	6	28	20	21	9	4	19	0	0	21	0	2	0	0
V53	6	31	134	40	9	0	0	4	39	6	0	0	0	42	11	0	0	0	0	38
V54	5	20	17	36	69	0	1	6	0	7	0	12	23	9	36	0	0	3	3	0
V55	22	31	19	17	17	91	95	3	8	0	69	0	17	0	0	50	25	0	0	0
V56	243	28	3	26	173	213	26	74	14	126	83	58	5	0	0	8	11	11	1	0
V57	33	7	27	2	123	46	13	72	2	77	22	0	0	14	18	0	0	25	3	0
V58	0	4	9	11	10	20	37	6	0	0	27	0	12	54	4	0	0	0	1	0
V59	47	119	10	17	2	0	0	3	0	1	0	0	2	17	11	0	4	4	0	0
V60	147	64	2	44	0	62	7	0	12	0	2	7	10	3	6	0	12	1	3	30
V61	60	20	0	80	0	28	25	0	0	1	12	0	9	26	4	27	0	1	0	0
V62	49	8	1	20	18	50	31	37	0	19	21	0	0	0	3	27	0	0	0	0
V63	91	27	0	39	0	0	0	1	5	0	0	14	0	13	6	0	0	1	6	0
V64	52	80	86	15	14	2	5	6	38	1	0	54	13	2	22	0	32	10	2	0
