MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Del:C:0	1.04E-03	3.39E-02	7.70E-04	0.00E+00	3.61E-04	7.54E-04	5.12E-02	1.83E-02	1.91E-02	6.21E-02	4.20E-03	4.50E-02	6.48E-03
1:Del:C:1	2.70E-06	9.30E-03	0.00E+00	1.05E-03	4.07E-08	4.00E-03	1.40E-02	1.37E-02	2.25E-02	2.24E-02	1.24E-02	2.23E-02	8.15E-03
1:Del:C:2	4.65E-05	6.48E-04	1.36E-08	1.45E-04	1.67E-04	1.78E-03	3.35E-04	6.47E-04	3.45E-03	9.48E-04	3.47E-03	2.30E-03	3.19E-03
1:Del:C:3	2.16E-04	2.61E-03	4.03E-04	5.83E-04	1.88E-04	6.81E-04	3.32E-03	5.52E-03	6.22E-03	3.71E-03	2.02E-03	1.08E-02	5.61E-03
1:Del:C:4	2.46E-05	3.38E-03	1.13E-03	1.73E-04	2.22E-04	2.57E-04	0.00E+00	4.06E-03	1.10E-02	1.18E-02	2.71E-03	2.35E-03	1.62E-02
1:Del:C:5	1.82E-08	5.50E-05	1.23E-03	6.84E-04	0.00E+00	4.54E-04	1.77E-03	1.45E-03	6.73E-03	6.94E-04	1.74E-03	1.08E-03	4.74E-03
1:Del:T:0	5.02E-04	1.03E-02	1.16E-03	1.16E-03	1.22E-03	4.34E-03	1.40E-02	6.60E-03	2.94E-02	1.37E-02	2.21E-03	6.69E-03	1.52E-02
1:Del:T:1	1.17E-04	8.03E-03	0.00E+00	2.62E-08	0.00E+00	8.53E-04	1.74E-02	4.48E-03	1.45E-02	5.40E-03	5.40E-03	1.23E-02	2.04E-02
1:Del:T:2	6.34E-04	7.92E-03	1.29E-03	3.90E-04	6.06E-04	6.22E-04	2.26E-03	8.88E-04	1.98E-02	4.02E-03	6.41E-03	2.26E-02	2.09E-02
1:Del:T:3	1.40E-46	7.48E-03	2.54E-03	2.13E-04	1.09E-03	2.55E-03	1.26E-02	9.98E-03	2.29E-02	2.41E-02	1.19E-02	1.59E-02	1.95E-02
1:Del:T:4	1.22E-03	9.70E-03	4.70E-03	6.41E-04	8.88E-04	0.00E+00	1.40E-46	0.00E+00	4.11E-02	1.63E-02	5.76E-03	1.27E-02	1.65E-02
1:Del:T:5	5.50E-08	4.66E-08	9.18E-03	5.25E-04	4.42E-08	1.34E-03	5.47E-03	4.69E-07	6.15E-03	7.42E-03	3.00E-02	3.35E-07	8.49E-02
1:Ins:C:0	8.10E-09	4.87E-08	4.85E-08	6.71E-08	1.23E-08	4.56E-04	2.65E-04	2.15E-03	7.10E-07	4.17E-07	2.64E-07	5.75E-04	1.62E-06
1:Ins:C:1	5.11E-06	1.53E-04	6.36E-08	4.07E-08	1.72E-08	7.08E-04	2.68E-03	2.97E-04	4.60E-06	3.07E-04	1.51E-07	2.34E-03	1.59E-03
1:Ins:C:2	1.75E-08	2.12E-04	5.03E-09	1.60E-08	1.51E-07	2.30E-04	2.19E-03	3.87E-04	1.49E-03	7.37E-04	1.90E-04	1.51E-03	4.94E-04
1:Ins:C:3	3.00E-08	3.01E-08	1.52E-08	7.01E-05	1.32E-04	1.66E-04	4.99E-04	4.43E-07	2.93E-04	4.57E-08	4.60E-04	1.47E-04	3.56E-08
1:Ins:C:4	7.51E-05	0.00E+00	3.52E-04	3.04E-04	0.00E+00	1.33E-04	1.22E-03	1.07E-03	5.17E-04	2.86E-04	2.23E-03	2.18E-03	2.00E-03
1:Ins:C:5	6.88E-09	5.19E-05	1.13E-03	4.76E-03	1.32E-07	0.00E+00	3.65E-07	2.08E-07	1.71E-02	2.03E-03	2.79E-02	7.67E-03	2.18E-02
1:Ins:T:0	1.23E-04	2.38E-03	2.64E-08	4.61E-04	1.91E-04	7.92E-04	5.56E-04	1.80E-03	6.88E-03	2.79E-03	6.61E-04	1.97E-03	1.04E-03
1:Ins:T:1	0.00E+00	3.78E-03	4.39E-08	2.12E-08	1.55E-06	6.40E-04	6.74E-03	2.09E-03	1.44E-02	4.69E-03	1.15E-03	1.13E-02	7.29E-03
1:Ins:T:2	6.58E-09	3.36E-04	1.50E-04	1.33E-04	1.19E-04	4.45E-04	5.58E-04	3.97E-03	4.28E-03	1.60E-03	6.07E-04	1.10E-03	8.52E-04
1:Ins:T:3	1.32E-04	4.79E-04	2.24E-04	7.99E-04	1.51E-04	0.00E+00	3.19E-03	1.65E-03	6.71E-03	6.18E-03	3.61E-03	3.77E-03	5.48E-03
1:Ins:T:4	1.07E-04	9.07E-04	2.56E-04	1.48E-03	1.03E-04	1.81E-04	6.27E-03	2.77E-03	7.49E-03	6.12E-03	8.61E-03	8.34E-04	3.13E-03
1:Ins:T:5	6.84E-04	2.19E-06	1.06E-05	5.73E-03	2.14E-46	8.80E-03	3.42E-02	5.09E-02	2.84E-02	3.80E-02	4.76E-02	2.56E-08	1.53E-02
2:Del:R:0	1.69E-04	1.85E-03	0.00E+00	5.59E-04	3.84E-04	1.74E-03	5.08E-03	5.18E-03	2.70E-03	4.25E-03	6.54E-03	3.59E-03	3.58E-03
2:Del:R:1	0.00E+00	7.90E-06	3.18E-04	2.88E-05	1.26E-04	2.51E-03	7.76E-03	7.80E-03	4.62E-04	7.75E-04	1.30E-02	8.73E-05	5.58E-03
2:Del:R:2	0.00E+00	4.62E-04	4.92E-04	1.59E-04	2.35E-04	2.07E-04	1.74E-04	5.41E-04	1.37E-03	4.19E-04	9.72E-04	4.34E-04	4.29E-03
2:Del:R:3	9.06E-08	4.96E-08	2.04E-04	2.08E-04	2.59E-08	6.60E-05	3.64E-04	2.75E-04	5.69E-04	1.08E-04	1.32E-03	4.35E-07	1.05E-03
2:Del:R:4	2.39E-08	5.38E-08	6.15E-05	1.00E-04	1.31E-08	9.04E-05	7.98E-04	4.03E-04	2.57E-08	5.57E-04	6.08E-04	1.25E-07	5.40E-04
2:Del:R:5	3.55E-08	1.64E-08	2.36E-07	7.25E-08	5.12E-08	1.52E-04	4.41E-04	1.84E-04	2.37E-04	3.45E-04	3.19E-06	8.15E-07	4.08E-04
3:Del:R:0	4.04E-04	1.04E-04	5.15E-05	6.57E-05	0.00E+00	1.65E-03	1.15E-02	2.45E-03	1.66E-03	3.24E-03	8.28E-04	5.04E-03	4.20E-03
3:Del:R:1	6.18E-05	8.58E-04	5.29E-04	5.09E-04	2.22E-04	0.00E+00	7.89E-03	6.18E-03	8.64E-03	9.56E-03	4.86E-03	1.58E-03	9.33E-03
3:Del:R:2	0.00E+00	2.61E-04	2.49E-04	4.39E-08	8.16E-05	2.31E-04	1.33E-03	2.97E-04	7.01E-03	2.48E-03	2.31E-04	1.61E-03	2.74E-03
3:Del:R:3	4.40E-08	1.36E-04	1.67E-07	4.32E-08	4.11E-08	7.38E-05	1.98E-07	3.38E-04	3.04E-04	7.50E-04	1.28E-07	1.63E-06	1.61E-04
3:Del:R:4	8.68E-09	1.97E-08	2.24E-08	2.18E-08	2.46E-08	3.42E-08	1.49E-07	1.08E-07	1.53E-07	6.16E-08	9.47E-08	1.02E-07	1.32E-07
3:Del:R:5	8.68E-09	1.97E-08	2.24E-08	2.18E-08	2.46E-08	3.42E-08	1.49E-07	1.08E-07	1.53E-07	6.16E-08	9.47E-08	1.02E-07	1.32E-07
