Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V1	22	13	24	24	12	40	1	1
V2	137	14	43	0	0	66	33	0
V3	0	119	47	27	18	5	0	14
V4	225	3	0	3	5	0	17	11
V5	367	14	35	21	5	11	113	9
V6	44	78	2	0	77	0	25	12
V7	0	219	9	6	3	3	101	52
V8	0	46	3	0	6	1	26	46
V9	7	1	73	0	90	51	102	15
V10	135	8	0	31	0	49	43	36
V11	0	439	15	17	31	10	3	21
V12	177	224	1	28	37	27	8	26
V13	61	0	229	74	1	111	0	0
V14	87	2	100	35	95	56	8	51
V15	52	144	270	0	9	113	2	15
V16	2	9	417	44	38	20	2	17
V17	140	13	42	139	5	30	4	59
V18	112	24	136	0	77	20	46	10
V19	1	0	15	15	0	0	10	12
V20	6	17	68	49	66	21	2	0
V21	237	27	0	16	25	10	0	0
V22	11	7	0	0	9	0	5	0
V23	27	7	0	1	78	0	26	0
V24	34	5	4	5	9	0	32	37
V25	48	19	213	0	1	0	5	16
V26	0	92	35	28	17	1	0	0
V27	0	1	4	65	0	60	30	123
V28	236	13	25	18	5	6	14	0
V29	25	2	0	118	12	24	9	0
V30	28	11	1	0	6	1	46	21
V31	30	14	44	19	8	0	0	0
V32	2	26	3	29	97	3	121	78
V33	28	64	90	37	17	173	27	45
V34	0	32	51	29	0	0	29	61
V35	12	4	32	42	39	9	0	11
V36	8	125	40	7	5	19	0	0
V37	3	78	2	18	14	44	31	4
V38	0	17	27	3	5	0	15	0
V39	6	85	0	7	16	0	18	0
V40	12	56	0	133	14	72	21	30
V41	0	72	3	4	3	2	1	13
V42	38	49	194	5	162	50	0	0
V43	215	6	0	42	6	20	0	3
V44	14	41	7	15	0	20	15	10
V45	15	125	8	8	94	0	5	0
V46	72	42	0	105	25	70	26	20
V47	4	81	178	182	153	28	22	10
V48	3	84	21	0	4	1	4	0
V49	0	133	0	28	14	9	14	0
V50	311	10	0	24	31	21	0	27
V51	31	0	119	34	2	0	49	37
V52	1	155	1	16	0	25	0	79
V53	24	15	85	0	2	16	0	6
V54	34	15	56	49	0	58	0	1
V55	0	193	5	7	42	0	45	56
V56	5	53	106	102	41	21	0	5
V57	4	0	16	11	0	32	7	0
V58	47	18	44	0	13	0	8	48
V59	21	94	0	78	2	11	48	47
V60	301	0	0	30	44	9	1	0
V61	10	35	126	304	7	132	3	0
V62	42	53	6	177	193	58	19	14
V63	358	19	248	85	13	136	13	0
V64	20	128	121	28	21	10	8	0
V65	10	40	145	41	20	32	6	25
V66	90	506	116	0	15	29	146	61
V67	2	12	14	6	37	31	13	4
V68	16	266	158	1	95	36	0	16
V69	24	8	109	93	26	35	48	0
V70	0	65	57	0	39	0	0	15
V71	29	3	0	2	41	3	0	0
V72	89	1	3	3	35	2	15	1
V73	47	10	0	14	188	5	0	0
V74	32	7	21	7	85	1	80	105
V75	68	106	5	5	0	11	23	31
V76	33	1	372	0	70	0	101	28
V77	5	17	25	167	23	52	10	0
V78	7	36	0	2	3	1	48	0
V79	62	1	5	31	52	78	53	83
V80	68	41	19	3	16	5	35	133
V81	767	12	5	0	11	0	2	3
V82	69	1	20	332	42	29	148	30
V83	0	66	157	7	192	0	77	104
V84	8	2	159	0	1	0	5	0
V85	11	273	6	11	23	8	2	0
V86	25	345	0	13	1	5	20	5
V87	34	6	1	3	33	7	4	7
V88	4	35	6	52	4	10	0	0
V89	57	14	143	31	1	0	38	28
V90	3	142	10	1	6	1	43	39
V91	18	12	0	204	30	90	0	0
V92	71	7	36	42	0	85	73	44
V93	1	67	23	40	1	12	11	5
V94	87	58	1	0	17	0	83	64
V95	3	5	47	0	4	44	10	0
V96	195	2	4	102	10	64	92	58
V97	20	28	57	107	7	75	5	2
V98	12	51	40	1	40	9	34	29
V99	4	23	159	19	24	0	65	0
V100	0	5	0	62	87	64	0	0
