NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	53.454	20.931	12.856	12.868	0.119	0.988	60000.0
2	54.401	21.192	12.787	12.781	0.124	0.988	70000.0
3	53.168	21.17	11.963	12.336	0.126	0.989	60000.0
4	54.181	20.554	13.296	12.623	0.118	0.989	30000.0
5	56.659	22.154	13.329	13.146	0.127	0.989	70000.0
6	50.462	19.515	11.696	11.521	0.118	0.99	40000.0
7	54.721	21.627	12.568	12.738	0.126	0.989	60000.0
8	53.228	20.5	12.405	12.082	0.117	0.99	70000.0
9	55.738	21.542	13.036	12.592	0.127	0.989	50000.0
10	50.727	19.987	11.547	11.505	0.122	0.991	30000.0
