MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Del:C:0	2.65E-06	1.05E-07	0.00E+00	2.24E-03	5.34E-02	4.56E-02	1.87E-46	5.63E-02	3.53E-02	5.33E-02	1.08E-03	4.92E-03	2.30E-02	7.89E-03	1.34E-02	8.76E-03	3.05E-02
1:Del:C:1	0.00E+00	0.00E+00	6.09E-08	1.80E-06	6.76E-03	1.33E-02	1.53E-03	5.71E-02	3.23E-03	3.82E-02	3.61E-03	1.12E-03	1.40E-02	3.92E-03	2.57E-03	6.34E-07	1.19E-02
1:Del:C:2	6.98E-05	0.00E+00	0.00E+00	2.83E-05	1.19E-03	3.70E-04	5.93E-04	4.20E-04	1.23E-03	6.13E-03	2.00E-03	2.36E-04	1.53E-03	1.41E-03	6.55E-04	6.29E-04	2.16E-03
1:Del:C:3	4.98E-04	6.75E-04	2.49E-04	0.00E+00	1.87E-03	1.17E-03	0.00E+00	4.59E-03	6.46E-03	5.87E-03	5.21E-04	2.45E-03	5.78E-03	3.73E-03	7.70E-03	2.56E-03	4.21E-03
1:Del:C:4	0.00E+00	2.28E-03	1.45E-03	0.00E+00	2.76E-03	1.25E-03	0.00E+00	5.86E-03	3.99E-02	3.38E-03	7.20E-04	0.00E+00	1.08E-02	4.48E-03	4.00E-02	2.73E-02	7.87E-04
1:Del:C:5	6.16E-04	3.80E-04	1.06E-03	8.66E-05	4.44E-04	6.95E-03	0.00E+00	9.01E-04	3.47E-08	8.22E-04	6.57E-04	2.25E-03	1.29E-03	4.71E-03	1.70E-03	6.25E-03	2.44E-02
1:Del:T:0	9.22E-04	2.45E-04	5.30E-04	3.33E-03	3.19E-02	2.43E-02	1.89E-07	1.44E-02	3.68E-02	5.56E-04	9.48E-03	7.31E-17	1.58E-02	6.71E-03	1.00E-02	3.20E-04	1.39E-02
1:Del:T:1	3.50E-04	2.57E-04	0.00E+00	1.47E-05	6.54E-03	1.15E-02	0.00E+00	1.65E-02	9.06E-03	5.87E-03	6.04E-04	1.69E-03	2.01E-02	2.04E-02	1.40E-46	1.08E-03	1.12E-06
1:Del:T:2	6.26E-04	9.28E-04	1.58E-03	9.51E-03	9.67E-03	5.15E-02	1.08E-02	3.45E-02	3.89E-03	1.50E-02	3.80E-02	1.29E-03	9.62E-03	9.93E-03	2.19E-03	6.82E-05	1.39E-02
1:Del:T:3	1.21E-03	1.02E-03	2.42E-04	4.75E-08	2.17E-02	1.37E-02	1.81E-03	2.25E-02	2.97E-02	4.05E-03	0.00E+00	1.05E-07	8.36E-02	2.12E-03	7.74E-03	7.37E-03	1.79E-02
