Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	126	139	9	0	37	0	0	0	20	34	0	21
V2	208	0	44	0	19	0	44	0	0	0	18	0
V3	0	0	9	95	17	0	0	0	36	0	8	15
V4	5	1	0	8	0	7	0	7	0	4	0	0
V5	203	13	1	51	0	0	0	7	0	65	0	0
V6	187	67	44	144	35	0	57	6	20	33	38	31
V7	13	60	0	67	7	22	0	75	31	0	0	0
V8	8	0	349	29	0	0	186	0	0	0	34	0
V9	108	12	7	90	0	15	10	5	0	0	0	28
V10	10	41	45	0	41	4	0	0	37	3	0	26
V11	0	19	1	16	0	0	0	2	0	0	0	0
V12	106	0	11	1	21	0	14	0	0	11	7	13
V13	0	50	0	88	0	2	9	4	0	0	3	13
V14	388	245	7	94	43	0	0	0	0	58	10	10
V15	36	20	58	3	0	45	30	45	27	5	0	0
V16	5	11	0	6	33	2	4	0	0	0	1	0
V17	115	0	17	112	0	0	1	32	0	0	14	38
V18	40	32	0	87	10	0	12	2	0	19	0	13
V19	31	7	59	3	12	70	0	13	13	0	0	0
V20	281	0	28	104	0	0	0	0	7	44	21	43
V21	151	9	36	2	5	0	0	0	0	34	8	0
V22	1	0	0	62	0	8	0	2	57	0	0	29
V23	11	0	55	0	19	5	6	0	56	7	13	8
V24	10	0	8	53	0	0	13	0	24	0	0	24
V25	389	0	1	16	26	8	0	0	0	67	23	12
V26	4	170	35	73	0	259	41	96	31	0	0	0
V27	105	5	8	32	0	39	0	21	0	0	18	0
V28	19	10	51	14	4	59	45	72	34	0	0	24
V29	112	32	39	14	0	2	0	0	0	15	10	17
V30	272	0	0	1	0	0	0	0	11	46	8	0
V31	0	128	75	9	2	41	30	0	0	0	0	2
V32	96	18	4	0	46	97	1	0	54	0	13	8
V33	67	22	31	0	21	13	3	8	0	0	0	0
V34	93	0	10	61	8	12	0	14	0	52	0	0
V35	119	49	43	117	65	2	12	0	0	37	1	36
V36	34	1	0	16	2	0	0	0	0	26	8	0
V37	21	31	0	6	10	36	2	8	0	0	0	0
V38	0	122	20	0	0	0	7	20	45	19	15	0
V39	133	0	27	59	1	1	0	62	26	6	16	0
V40	107	46	3	0	19	5	0	0	0	16	0	0
V41	35	0	34	72	61	236	23	160	70	0	9	13
V42	40	97	57	34	0	5	88	23	19	0	0	0
V43	4	10	75	28	0	0	33	0	0	2	2	0
V44	3	86	1	0	46	0	0	0	0	0	0	1
V45	4	139	41	220	37	13	11	28	30	59	0	14
V46	34	0	223	2	0	92	95	25	0	0	0	0
V47	0	46	2	68	25	0	5	0	13	30	0	0
V48	13	23	62	64	87	0	13	0	0	4	4	0
V49	0	0	11	142	0	0	28	8	48	2	6	0
V50	111	229	166	3	26	6	96	0	1	0	43	0
V51	19	2	71	0	42	0	7	0	1	0	8	5
V52	16	30	7	13	12	121	29	69	0	0	0	0
V53	28	0	0	4	267	48	2	53	40	1	0	25
V54	2	0	5	0	0	0	0	0	11	0	2	0
V55	13	2	11	19	3	11	9	6	0	8	22	3
V56	4	38	0	11	0	30	0	8	0	1	0	0
V57	34	278	0	8	41	9	4	50	40	21	0	0
V58	127	39	20	0	26	1	12	0	53	16	14	0
V59	0	9	57	105	7	19	53	26	18	5	0	0
V60	64	17	47	61	43	33	0	0	0	0	16	0
V61	34	0	0	34	8	1	0	6	7	0	0	10
V62	110	0	188	10	91	0	30	0	90	0	59	0
V63	62	72	16	0	0	73	33	2	3	26	6	0
V64	9	45	41	32	0	5	31	12	0	0	0	0
V65	16	10	32	0	7	0	11	14	0	0	10	0
V66	0	27	7	102	142	27	0	0	96	0	3	58
V67	19	1	28	4	0	11	0	45	6	3	0	0
V68	56	2	50	43	136	2	29	10	81	6	0	0
V69	184	121	37	43	97	0	19	0	65	0	0	12
V70	0	0	16	2	3	18	0	1	0	3	7	1
V71	6	2	0	53	4	2	2	6	3	10	0	0
V72	3	4	20	0	0	0	13	0	8	0	7	0
V73	20	107	4	5	0	45	21	25	0	0	0	0
V74	1	85	1	173	37	3	0	1	0	81	0	7
V75	22	75	0	0	106	242	0	192	5	0	0	0
V76	21	2	78	0	78	15	19	17	34	1	14	0
V77	9	7	394	0	0	0	80	0	0	0	27	0
V78	3	0	197	0	0	7	53	0	0	0	27	0
V79	4	8	196	195	2	0	108	0	7	11	22	0
V80	10	63	80	94	0	80	24	5	28	0	29	0
V81	0	0	9	2	2	0	15	0	5	0	0	0
V82	0	3	41	0	9	8	8	0	0	0	0	0
V83	7	105	71	25	0	0	2	0	0	0	6	0
V84	0	2	0	17	3	26	0	17	1	0	0	0
V85	45	32	59	5	0	0	73	0	0	0	11	0
V86	9	4	30	48	3	12	0	37	6	0	0	7
V87	60	37	36	0	0	1	0	0	0	24	0	3
V88	31	53	1	0	0	34	9	0	0	0	0	0
V89	130	175	0	6	0	10	0	0	0	21	5	0
V90	36	1	10	5	1	0	0	13	8	0	10	0
V91	44	106	0	11	17	43	0	33	38	12	1	11
V92	0	288	8	28	11	9	4	44	24	0	4	8
V93	22	6	8	0	32	0	1	3	0	7	0	0
V94	27	18	19	0	178	21	14	48	0	0	0	44
V95	1	9	0	9	47	5	7	31	0	29	0	2
V96	0	84	0	68	18	0	4	0	0	21	8	0
V97	93	428	7	0	0	85	0	107	3	0	0	0
V98	8	88	204	0	6	3	53	25	9	0	32	0
V99	14	37	56	32	0	0	47	0	0	0	13	0
V100	4	52	46	252	0	30	17	24	1	0	0	64
