Samples	ID83A	ID83B
V1	5.97E+01	5.97E+01
V2	5.86E+00	5.86E+00
V3	1.41E+01	1.41E+01
V4	3.32E+01	3.32E+01
V5	5.37E+00	5.37E+00
V6	6.16E+01	6.16E+01
V7	2.03E+01	2.03E+01
V8	6.58E+01	6.58E+01
V9	5.94E+01	5.94E+01
V10	1.32E+01	1.32E+01
V11	1.13E+01	1.13E+01
V12	7.82E+00	7.82E+00
V13	5.10E+00	5.10E+00
V14	5.34E+00	5.34E+00
V15	2.88E+01	2.88E+01
V16	4.91E+00	4.91E+00
V17	1.27E+01	1.27E+01
V18	9.69E+00	9.69E+00
V19	2.73E+01	2.73E+01
V20	4.42E+01	4.42E+01
V21	4.41E+01	4.41E+01
V22	2.11E+01	2.11E+01
V23	3.60E+01	3.60E+01
V24	2.26E+01	2.26E+01
V25	6.66E+00	6.66E+00
V26	6.26E+00	6.26E+00
V27	2.39E+01	2.39E+01
V28	1.35E+01	1.35E+01
V29	3.94E+01	3.94E+01
V30	5.24E+00	5.24E+00
V31	1.26E+01	1.26E+01
V32	2.21E+01	2.21E+01
V33	8.28E+01	8.28E+01
V34	1.46E+01	1.46E+01
V35	8.71E+00	8.71E+00
V36	2.49E+01	2.49E+01
V37	1.59E+01	1.59E+01
V38	2.59E+01	2.59E+01
V39	7.53E+00	7.53E+00
V40	6.07E+00	6.07E+00
V41	5.18E+00	5.18E+00
V42	1.87E+01	1.87E+01
V43	4.69E+01	4.69E+01
V44	1.56E+01	1.56E+01
V45	2.40E+00	2.40E+00
V46	1.40E+01	1.40E+01
V47	2.22E+01	2.22E+01
V48	2.26E+01	2.26E+01
V49	1.28E+01	1.28E+01
V50	0.00E+00	0.00E+00
V51	1.30E+01	1.30E+01
V52	2.01E+01	2.01E+01
V53	7.83E+00	7.83E+00
V54	2.49E+01	2.49E+01
V55	1.81E+01	1.81E+01
V56	2.75E+01	2.75E+01
V57	3.02E+01	3.02E+01
V58	1.63E+01	1.63E+01
V59	3.35E+01	3.35E+01
V60	2.31E+01	2.31E+01
V61	2.68E+01	2.68E+01
V62	1.02E+01	1.02E+01
V63	1.42E+01	1.42E+01
V64	1.68E+01	1.68E+01
V65	5.45E+01	5.45E+01
V66	3.47E+01	3.47E+01
V67	3.05E+01	3.05E+01
V68	1.16E+01	1.16E+01
V69	3.61E+01	3.61E+01
V70	2.06E+01	2.06E+01
V71	5.84E+01	5.84E+01
V72	4.68E+00	4.68E+00
V73	8.25E+00	8.25E+00
V74	2.12E+01	2.12E+01
V75	1.42E+01	1.42E+01
V76	2.48E+01	2.48E+01
V77	9.49E+00	9.49E+00
V78	4.87E+00	4.87E+00
V79	4.63E+01	4.63E+01
V80	6.21E+00	6.21E+00
V81	1.12E+01	1.12E+01
V82	8.14E+00	8.14E+00
V83	8.35E+00	8.35E+00
V84	1.84E+01	1.84E+01
V85	1.00E+01	1.00E+01
V86	2.79E+01	2.79E+01
V87	2.80E+01	2.80E+01
V88	1.80E+01	1.80E+01
V89	6.08E+00	6.08E+00
V90	4.29E+01	4.29E+01
V91	1.58E+01	1.58E+01
V92	1.69E+01	1.69E+01
V93	5.23E+01	5.24E+01
V94	6.82E+00	6.82E+00
V95	2.23E+01	2.23E+01
V96	1.90E+01	1.90E+01
V97	2.56E+01	2.56E+01
V98	3.48E+01	3.48E+01
V99	3.24E+01	3.24E+01
V100	1.95E+01	1.95E+01
