Samples	ID83A	ID83B	ID83C	ID83D
V1	4.83E+00	1.80E+01	6.13E+00	1.81E+01
V2	2.27E+00	1.90E+00	4.09E+00	2.91E+00
V3	1.20E+01	1.21E+01	0.00E+00	7.03E-01
V4	1.52E+00	1.75E+00	8.97E-01	0.00E+00
V5	6.86E+00	5.60E+00	4.96E+00	2.02E+00
V6	1.88E+01	1.81E+01	6.37E+00	9.18E+00
V7	1.15E+01	8.68E+00	1.00E+00	9.74E+00
V8	3.45E+00	5.12E+00	1.73E+00	3.25E+00
V9	1.11E+01	1.02E+01	6.02E+00	1.24E+00
V10	9.09E+00	4.56E+00	1.57E+00	6.21E+00
V11	2.06E+00	3.48E+00	0.00E+00	2.31E+00
V12	2.26E+00	1.22E+00	2.22E+00	1.00E+00
V13	9.87E+00	1.33E+01	2.98E-01	7.41E+00
V14	1.39E+01	4.06E+01	1.07E+01	3.11E+01
V15	1.51E+01	1.39E+01	1.73E+00	2.79E+00
V16	3.68E+00	2.25E+00	4.58E-01	2.09E+00
V17	1.31E+01	1.30E+01	4.50E+00	1.27E+00
V18	1.03E+01	1.18E+01	2.14E+00	4.96E+00
V19	1.32E+01	1.38E+01	1.89E+00	2.40E+00
V20	1.62E+01	1.29E+01	1.01E+01	1.80E+00
V21	6.70E-01	2.02E+00	2.10E+00	3.10E+00
V22	8.25E+00	8.28E+00	4.76E-01	1.00E-01
V23	1.06E+01	1.13E+01	2.09E+00	1.59E+00
V24	8.98E+00	8.38E+00	1.03E+00	9.69E-01
V25	4.06E+00	1.89E+00	4.29E+00	2.49E-01
V26	4.27E+01	3.29E+01	1.21E+00	2.46E+01
V27	7.04E+00	7.82E+00	2.91E+00	1.54E+00
V28	2.21E+01	2.00E+01	1.99E+00	3.75E+00
V29	4.72E+00	5.40E+00	3.75E+00	3.65E+00
V30	5.97E-01	4.73E-01	7.78E-01	0.00E+00
V31	3.02E+00	1.83E+01	4.71E-01	1.91E+01
V32	2.55E+01	2.31E+01	3.34E+00	1.93E+00
V33	3.04E+00	3.09E+00	2.37E+00	3.61E+00
V34	5.68E+00	6.32E+00	2.65E+00	1.36E+00
V35	1.54E+01	1.45E+01	4.15E+00	6.25E+00
V36	2.77E+00	1.46E+00	2.41E+00	2.67E-01
V37	5.17E+00	4.03E+00	1.16E+00	3.91E+00
V38	6.44E+00	1.34E+01	1.69E+00	1.70E+01
V39	8.88E+00	1.01E+01	3.82E+00	2.45E+00
V40	1.10E+00	5.36E+00	1.99E+00	6.91E+00
V41	6.89E+01	7.12E+01	2.92E+00	3.13E+00
V42	4.81E+00	1.01E+01	1.93E+00	1.41E+01
V43	4.11E+00	3.61E+00	1.32E+00	2.99E+00
V44	4.48E+00	9.48E+00	8.70E-01	1.22E+01
V45	2.58E+01	2.75E+01	2.80E+00	1.95E+01
V46	1.48E+01	1.66E+01	2.33E+00	1.06E+01
V47	9.24E+00	1.13E+01	1.41E+00	6.72E+00
V48	1.07E+01	6.97E+00	2.06E+00	4.09E+00
V49	1.49E+01	1.46E+01	7.52E-01	1.15E+00
V50	2.12E+00	3.03E+01	5.45E+00	3.16E+01
V51	4.72E+00	4.95E+00	1.73E+00	3.12E+00
V52	2.87E+01	2.69E+01	8.14E-01	4.09E+00
V53	5.26E+01	5.36E+01	2.08E+00	5.78E-01
V54	1.43E+00	1.66E+00	5.81E-01	6.96E-01
V55	3.78E+00	3.66E+00	1.28E+00	8.00E-01
V56	4.04E+00	4.94E+00	6.67E-01	5.33E+00
V57	1.10E+01	3.36E+01	4.28E+00	3.72E+01
V58	8.62E+00	5.48E+00	4.26E+00	4.80E+00
V59	1.06E+01	1.11E+01	7.49E-01	3.65E+00
V60	8.05E+00	7.29E+00	2.04E+00	1.78E+00
V61	4.93E+00	3.78E+00	2.91E+00	0.00E+00
V62	2.19E+01	2.77E+01	3.66E+00	6.80E+00
V63	9.32E+00	8.26E+00	3.49E+00	8.83E+00
V64	3.49E+00	5.33E+00	1.04E+00	5.76E+00
V65	2.60E+00	2.08E+00	9.55E-01	1.91E+00
V66	2.96E+01	2.61E+01	3.27E-01	4.39E+00
V67	7.95E+00	8.01E+00	1.20E+00	1.90E+00
V68	2.55E+01	2.38E+01	2.05E+00	2.03E+00
V69	1.41E+01	7.20E+00	5.01E+00	1.67E+01
V70	4.25E+00	3.28E+00	5.33E-01	9.29E-01
V71	4.82E+00	4.60E+00	6.18E-01	1.07E+00
V72	1.60E+00	1.35E+00	7.02E-01	8.17E-01
V73	6.38E+00	1.43E+01	1.12E+00	1.47E+01
V74	2.34E+01	2.76E+01	2.64E+00	1.23E+01
V75	7.58E+01	7.10E+01	2.92E+00	1.23E+01
V76	1.84E+01	1.95E+01	1.24E+00	3.80E+00
V77	1.90E+00	2.80E+00	2.25E+00	4.90E+00
V78	1.50E+00	3.40E+00	1.15E+00	3.72E+00
V79	2.23E+01	2.27E+01	1.86E+00	2.26E+00
V80	1.23E+01	9.44E+00	1.58E+00	9.15E+00
V81	1.09E+00	9.91E-01	0.00E+00	4.96E-01
V82	1.98E+00	2.18E+00	0.00E+00	2.21E+00
V83	3.37E+00	1.55E+01	1.33E+00	1.54E+01
V84	6.37E+00	6.24E+00	1.53E-01	2.00E-01
V85	1.62E+00	3.71E+00	1.80E+00	4.30E+00
V86	6.14E+00	6.53E+00	8.95E-01	1.80E+00
V87	3.35E-01	6.02E+00	2.56E+00	4.92E+00
V88	3.90E+00	7.57E+00	1.42E+00	7.41E+00
V89	1.14E+00	2.54E+01	2.85E+00	2.21E+01
V90	3.21E+00	3.48E+00	1.81E+00	9.36E-01
V91	1.36E+01	1.23E+01	2.23E+00	1.54E+01
V92	5.64E+00	3.63E+01	6.70E-01	3.87E+01
V93	4.10E+00	4.12E+00	1.51E+00	1.09E+00
V94	2.94E+01	2.79E+01	1.38E+00	2.04E+00
V95	1.11E+01	1.03E+01	1.53E+00	1.83E+00
V96	8.41E+00	1.52E+01	1.10E+00	1.11E+01
V97	1.67E+01	6.16E+01	5.17E+00	6.24E+01
V98	6.06E+00	9.93E+00	1.25E+00	1.15E+01
V99	5.26E+00	6.82E+00	1.28E+00	5.30E+00
V100	2.97E+01	3.10E+01	8.16E-01	6.41E+00
