Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
V1	124	1	0	126	0	13	0
V2	15	105	92	3	50	11	39
V3	2	0	2	9	28	42	0
V4	38	3	14	75	58	113	11
V5	27	11	0	12	32	61	10
V6	64	105	27	14	48	1	0
V7	109	59	5	9	35	69	7
V8	0	163	56	561	68	0	0
V9	4	0	10	4	0	3	13
V10	26	3	41	76	42	2	0
V11	15	63	91	1	11	0	0
V12	23	0	13	28	0	0	19
V13	3	38	0	76	127	40	9
V14	68	5	0	1	28	6	18
V15	76	472	116	0	58	9	59
V16	42	108	0	51	11	32	16
V17	40	27	68	5	1	55	0
V18	91	12	8	7	2	90	0
V19	38	0	55	17	9	1	131
V20	83	87	0	34	68	3	10
V21	0	18	6	2	47	38	2
V22	98	74	7	15	2	26	0
V23	4	11	281	7	55	22	3
V24	1	33	11	11	68	25	34
V25	11	5	40	147	5	132	0
V26	64	0	0	0	69	22	18
V27	6	4	0	6	102	99	7
V28	18	28	0	95	84	11	40
V29	139	40	154	0	10	75	47
V30	0	16	1	75	8	31	5
V31	45	86	198	22	28	22	0
V32	125	15	0	213	13	1	0
V33	248	48	157	12	42	154	0
V34	17	43	0	4	18	3	1
V35	3	4	31	39	28	13	0
V36	124	48	30	44	192	0	34
V37	103	2	13	2	8	0	7
V38	0	20	192	24	4	132	94
V39	264	24	24	0	286	72	0
V40	71	36	84	6	2	3	1
V41	20	105	125	10	38	39	135
V42	58	0	385	41	20	73	24
V43	22	68	34	0	7	8	16
V44	112	89	114	167	46	14	15
V45	3	30	34	8	125	116	15
V46	43	1	18	3	0	5	0
V47	171	19	0	65	49	28	4
V48	6	64	0	166	0	3	9
V49	44	84	40	0	16	6	19
V50	65	145	35	15	1	8	5
V51	0	202	63	221	10	34	0
V52	4	31	123	22	3	35	0
V53	8	120	20	81	236	28	22
V54	21	19	3	0	50	5	11
V55	55	73	69	0	2	26	20
V56	5	280	138	0	2	2	0
V57	234	16	5	88	124	12	0
V58	3	23	19	1	5	111	0
V59	7	189	58	2	168	75	0
V60	66	1	61	68	6	1	0
V61	391	56	25	32	50	3	0
V62	15	31	0	76	73	29	0
V63	257	6	12	22	23	157	0
V64	219	43	26	12	22	16	0
V65	2	8	45	0	4	322	12
V66	179	120	0	7	1	137	46
V67	0	90	484	54	158	218	68
V68	10	28	34	77	97	11	23
V69	8	0	284	10	57	94	0
V70	109	46	0	73	5	5	5
V71	68	75	0	209	53	9	18
V72	49	536	233	4	15	30	77
V73	2	119	1	12	7	15	0
V74	7	1	136	12	4	231	0
V75	61	33	2	7	49	28	0
V76	15	28	1	48	181	145	0
V77	16	81	45	88	1	0	23
V78	0	61	340	25	5	36	44
V79	4	137	17	89	162	2	0
V80	296	0	51	10	140	0	0
V81	110	14	13	17	0	0	0
V82	5	2	0	71	164	0	0
V83	238	10	18	96	6	37	14
V84	3	51	34	43	42	0	40
V85	3	3	12	9	101	87	0
V86	4	48	15	27	15	51	0
V87	63	0	0	157	20	47	23
V88	60	6	269	16	0	61	0
V89	63	132	0	314	64	0	0
V90	120	1	0	313	0	5	0
V91	17	5	10	8	12	218	0
V92	126	15	194	64	119	47	0
V93	0	0	127	36	7	8	14
V94	274	151	2	86	11	150	59
V95	14	174	0	131	24	0	39
V96	0	23	14	17	2	0	0
V97	22	178	35	0	129	0	6
V98	6	89	0	93	0	0	0
V99	1	2	4	0	4	45	3
V100	7	12	51	0	37	3	62
