MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	6.36E-05	3.12E-04	7.23E-05	3.51E-04
1:Del:C:1	3.56E-05	2.12E-04	3.72E-05	2.38E-04
1:Del:C:2	3.42E-05	1.38E-04	3.84E-05	2.53E-04
1:Del:C:3	5.45E-05	1.17E-04	6.76E-10	1.42E-04
1:Del:C:4	1.13E-04	8.17E-05	8.85E-10	1.21E-04
1:Del:C:5	2.84E-04	8.78E-05	4.71E-05	1.40E-04
1:Del:T:0	7.33E-05	3.04E-04	5.17E-05	2.80E-04
1:Del:T:1	6.73E-05	2.11E-04	3.42E-05	1.71E-04
1:Del:T:2	7.64E-05	2.05E-04	2.46E-05	2.89E-04
1:Del:T:3	2.69E-04	2.21E-04	6.54E-05	3.00E-04
1:Del:T:4	3.48E-04	1.77E-04	1.11E-04	2.51E-04
1:Del:T:5	3.10E-03	2.16E-03	2.65E-04	1.79E-03
1:Ins:C:0	6.89E-04	3.33E-04	2.71E-03	4.37E-04
1:Ins:C:1	1.35E-04	4.14E-16	5.65E-04	1.06E-04
1:Ins:C:2	7.21E-05	6.51E-05	1.89E-04	4.27E-05
1:Ins:C:3	3.06E-05	2.93E-05	7.58E-05	1.91E-05
1:Ins:C:4	2.24E-05	1.32E-05	4.28E-05	9.99E-06
1:Ins:C:5	2.02E-05	1.64E-05	3.33E-05	0.00E+00
1:Ins:T:0	1.91E-03	2.14E-03	1.44E-03	1.59E-03
1:Ins:T:1	7.46E-04	8.47E-04	9.09E-04	8.24E-04
1:Ins:T:2	2.58E-04	3.55E-04	4.54E-04	1.83E-04
1:Ins:T:3	1.79E-04	2.89E-04	5.16E-04	2.02E-04
1:Ins:T:4	1.56E-04	1.40E-04	2.94E-04	1.39E-04
1:Ins:T:5	1.14E-04	2.18E-04	4.35E-04	2.30E-04
2:Del:R:0	4.94E-05	1.36E-04	5.09E-10	1.75E-04
2:Del:R:1	7.98E-05	1.55E-04	6.13E-05	2.22E-04
2:Del:R:2	4.46E-05	9.14E-05	2.53E-05	9.53E-05
2:Del:R:3	5.51E-05	3.48E-05	6.71E-10	4.85E-05
2:Del:R:4	3.06E-05	1.91E-05	1.72E-09	2.66E-05
2:Del:R:5	5.64E-05	9.30E-05	4.04E-10	1.13E-04
3:Del:R:0	2.25E-05	6.35E-05	2.91E-05	1.52E-04
3:Del:R:1	6.77E-05	1.92E-04	3.69E-05	1.62E-04
3:Del:R:2	1.82E-05	6.51E-05	2.24E-05	8.89E-05
3:Del:R:3	1.63E-05	3.21E-05	2.94E-05	2.19E-05
3:Del:R:4	9.50E-06	5.08E-05	3.74E-10	5.59E-05
3:Del:R:5	1.34E-05	6.24E-05	2.56E-09	7.63E-05
4:Del:R:0	4.70E-06	5.49E-05	1.58E-09	1.36E-04
4:Del:R:1	3.71E-05	1.26E-04	3.18E-05	1.19E-04
4:Del:R:2	1.26E-05	4.81E-05	3.71E-10	6.47E-05
