MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
3:Del:R:1	9.10E-04	2.70E-05	0.00E+00	7.43E-04	2.62E-03	1.68E-03	2.75E-03	3.47E-04	2.54E-04	1.02E-04	5.85E-04	2.05E-03	3.60E-03
3:Del:R:2	2.29E-04	6.49E-05	6.28E-05	3.05E-04	2.33E-03	2.29E-03	1.35E-03	4.43E-08	6.58E-04	8.45E-04	0.00E+00	1.68E-03	4.04E-03
3:Del:R:3	4.93E-05	1.49E-08	9.34E-07	1.68E-04	2.42E-04	3.85E-09	1.44E-04	2.56E-04	3.86E-04	4.52E-08	3.76E-08	1.53E-07	1.73E-03
3:Del:R:4	9.68E-09	8.64E-09	2.32E-08	3.71E-08	9.48E-08	2.13E-08	7.30E-08	7.45E-08	5.27E-08	5.83E-08	7.37E-08	9.48E-08	2.11E-07
3:Del:R:5	4.14E-08	6.40E-08	2.77E-08	4.00E-05	7.04E-08	1.87E-08	8.10E-08	1.04E-07	5.07E-08	2.47E-06	1.23E-07	1.04E-07	5.89E-04
4:Del:R:0	0.00E+00	1.56E-07	5.53E-05	0.00E+00	1.03E-03	1.12E-03	8.26E-04	7.15E-04	0.00E+00	1.04E-03	1.11E-03	0.00E+00	1.64E-03
4:Del:R:1	3.69E-04	0.00E+00	1.05E-04	0.00E+00	1.45E-03	1.91E-03	4.50E-04	4.20E-04	9.73E-04	1.34E-03	1.31E-03	0.00E+00	8.34E-04
4:Del:R:2	1.69E-08	3.54E-05	1.50E-04	2.13E-04	1.35E-04	2.21E-04	0.00E+00	2.81E-04	6.06E-08	0.00E+00	0.00E+00	9.83E-04	4.80E-04
4:Del:R:3	9.68E-09	8.64E-09	2.32E-08	3.71E-08	9.48E-08	2.13E-08	7.30E-08	7.45E-08	5.27E-08	5.83E-08	7.37E-08	9.48E-08	2.11E-07
4:Del:R:4	9.68E-09	8.64E-09	2.32E-08	3.71E-08	9.48E-08	2.13E-08	7.30E-08	7.45E-08	5.27E-08	5.83E-08	7.37E-08	9.48E-08	2.11E-07
4:Del:R:5	2.70E-04	5.26E-04	3.16E-02	7.20E-04	6.64E-04	1.94E-03	0.00E+00	3.21E-02	1.12E-01	8.31E-04	1.16E-08	2.77E-07	5.54E-07
5:Del:R:0	3.64E-04	1.32E-03	7.13E-04	3.77E-08	0.00E+00	1.15E-03	0.00E+00	3.27E-02	2.79E-03	3.06E-02	4.43E-02	1.73E-02	2.81E-02
5:Del:R:1	2.10E-08	1.86E-05	1.40E-08	2.50E-04	4.29E-04	4.37E-04	5.88E-05	9.48E-05	7.28E-04	2.25E-08	7.91E-09	5.63E-04	5.71E-04
5:Del:R:2	1.68E-08	1.13E-08	1.84E-08	1.55E-04	2.78E-04	6.11E-05	4.04E-07	2.92E-08	9.54E-09	1.96E-04	3.31E-04	1.39E-07	1.05E-07
5:Del:R:3	9.68E-09	8.64E-09	2.32E-08	3.71E-08	9.48E-08	2.13E-08	7.30E-08	7.45E-08	5.27E-08	5.83E-08	7.37E-08	9.48E-08	2.11E-07
5:Del:R:4	9.68E-09	8.64E-09	2.32E-08	3.71E-08	9.48E-08	2.13E-08	7.30E-08	7.45E-08	5.27E-08	5.83E-08	7.37E-08	9.48E-08	2.11E-07
5:Del:R:5	9.68E-09	8.64E-09	2.32E-08	3.71E-08	9.48E-08	2.13E-08	7.30E-08	7.45E-08	5.27E-08	5.83E-08	7.37E-08	9.48E-08	2.11E-07
2:Ins:R:0	1.66E-07	7.36E-08	2.29E-02	2.76E-07	1.31E-07	6.96E-04	2.99E-07	7.68E-02	1.94E-02	1.93E-03	9.26E-04	6.02E-08	5.81E-06
2:Ins:R:1	1.42E-04	0.00E+00	1.53E-04	3.93E-09	8.81E-04	6.36E-04	9.76E-04	3.92E-04	4.65E-04	2.42E-06	3.44E-04	0.00E+00	1.85E-03
2:Ins:R:2	1.49E-08	6.85E-09	2.36E-04	4.63E-04	5.60E-04	9.20E-04	2.63E-04	8.54E-07	5.81E-04	1.58E-08	0.00E+00	5.09E-07	1.52E-03
2:Ins:R:3	1.20E-04	4.61E-05	3.67E-05	2.00E-04	1.58E-05	1.20E-04	0.00E+00	2.00E-08	5.06E-04	1.03E-04	1.06E-08	6.86E-04	1.24E-03
2:Ins:R:4	4.20E-04	0.00E+00	0.00E+00	3.37E-04	6.10E-06	4.22E-04	2.98E-04	1.96E-04	4.19E-03	3.23E-04	0.00E+00	2.23E-03	3.63E-03
2:Ins:R:5	2.40E-03	3.30E-04	1.54E-08	3.30E-03	1.86E-04	6.87E-03	7.91E-05	1.26E-03	6.89E-03	9.27E-03	2.42E-03	6.73E-03	5.06E-02
