NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	63.405	22.723	15.996	13.703	0.137	0.985	40000.0
2	60.392	21.965	14.492	12.731	0.134	0.988	30000.0
3	62.082	22.839	15.085	13.261	0.142	0.987	20000.0
4	62.807	22.73	14.819	13.043	0.142	0.987	30000.0
5	64.442	23.312	15.985	14.022	0.141	0.985	80000.0
6	60.072	21.817	14.3	12.424	0.137	0.989	50000.0
7	65.936	23.713	16.325	14.251	0.145	0.985	40000.0
8	63.911	23.348	15.59	13.673	0.139	0.986	30000.0
9	64.386	23.189	15.991	13.771	0.14	0.985	20000.0
10	65.152	23.528	15.922	13.764	0.141	0.986	60000.0
