NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	203.397	76.144	70.279	59.373	0.501	0.777	30000.0
2	201.814	75.265	69.948	59.099	0.492	0.783	20000.0
3	205.532	75.759	72.606	59.34	0.494	0.776	20000.0
4	204.581	76.736	71.229	59.991	0.507	0.775	40000.0
5	204.516	76.52	71.094	60.086	0.501	0.775	20000.0
6	204.874	76.474	70.432	59.364	0.503	0.777	40000.0
7	203.068	75.597	71.359	59.654	0.491	0.777	30000.0
8	203.7	76.015	72.145	58.985	0.504	0.774	30000.0
9	203.792	75.831	71.008	59.41	0.496	0.779	40000.0
10	203.86	76.211	70.698	59.848	0.504	0.775	20000.0
