Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	57	154	85	100	36
V2	96	31	46	0	161
V3	0	162	3	165	2
V4	0	29	34	224	83
V5	0	5	130	105	38
V6	2	246	80	618	173
V7	47	17	4	23	1
V8	53	36	45	12	255
V9	0	49	113	23	22
V10	39	57	6	105	41
V11	4	27	35	0	76
V12	94	3	18	169	237
V13	59	406	79	84	6
V14	10	138	196	0	40
V15	51	5	106	104	41
V16	7	212	178	0	0
V17	120	103	1	58	14
V18	334	15	82	37	51
V19	127	1	222	0	76
V20	10	176	243	53	12
V21	113	14	25	45	4
V22	17	7	0	162	0
V23	50	133	33	0	12
V24	28	135	4	239	47
V25	208	32	1	97	70
V26	403	4	13	0	35
V27	57	0	203	0	57
V28	27	23	25	25	0
V29	6	185	70	9	7
V30	64	205	143	0	44
V31	65	34	109	11	4
V32	68	54	272	57	2
V33	112	14	40	31	0
V34	7	2	4	29	36
V35	90	144	18	0	24
V36	240	15	1	76	8
V37	61	2	3	17	3
V38	200	146	15	71	276
V39	72	1	1	0	95
V40	147	155	4	247	0
V41	18	7	20	12	230
V42	37	4	0	11	27
V43	194	66	71	33	111
V44	138	2	16	42	0
V45	101	101	292	102	31
V46	41	0	67	20	172
V47	9	37	257	4	41
V48	107	10	71	104	14
V49	201	93	7	40	1
V50	69	55	14	0	227
V51	3	9	163	39	0
V52	67	0	28	16	4
V53	0	4	243	155	37
V54	0	3	0	48	21
V55	53	46	43	194	90
V56	39	0	9	0	172
V57	89	34	131	0	15
V58	126	8	3	205	190
V59	131	260	35	13	135
V60	237	9	8	73	0
V61	48	352	1	0	1
V62	80	9	6	77	48
V63	217	242	24	74	48
V64	417	296	5	13	4
V65	34	131	0	0	68
V66	92	6	197	26	4
V67	40	11	5	0	73
V68	115	100	143	22	282
V69	45	30	0	0	126
V70	83	56	78	5	136
V71	109	26	1	247	3
V72	20	68	70	0	2
V73	1	48	25	35	0
V74	118	97	25	296	28
V75	40	36	1	1	0
V76	393	8	43	93	299
V77	12	6	174	21	13
V78	90	38	62	85	4
V79	77	81	15	78	0
V80	50	276	78	65	26
V81	54	127	45	21	0
V82	55	3	1	13	65
V83	15	44	66	103	15
V84	406	0	0	0	23
V85	205	5	32	81	125
V86	27	44	49	153	14
V87	167	151	117	95	54
V88	23	105	1	33	2
V89	57	84	81	68	60
V90	93	210	238	88	24
V91	142	8	6	26	63
V92	0	37	238	0	18
V93	0	58	109	48	0
V94	150	254	6	65	54
V95	131	9	28	35	74
V96	119	113	3	87	4
V97	125	170	198	0	29
V98	0	192	57	73	17
V99	9	1	158	80	4
V100	29	280	9	181	2
