Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	69	143	94	2	0	121	0	0	24	12	0	0	0	0
V2	64	75	0	26	0	0	186	123	41	0	72	0	0	0
V3	568	104	65	7	30	45	0	0	5	0	2	0	15	0
V4	3	0	0	2	5	2	74	53	9	25	37	0	0	0
V5	76	5	0	22	4	0	43	0	5	10	0	0	26	0
V6	60	3	291	208	0	0	23	0	0	0	29	11	53	0
V7	0	0	53	17	0	0	10	37	0	1	0	0	2	0
V8	302	0	0	42	0	1	25	25	26	8	0	0	32	0
V9	18	41	92	4	0	14	0	0	0	9	0	19	0	0
V10	0	6	0	0	18	3	64	47	63	0	0	0	0	0
V11	54	13	25	0	0	0	17	49	12	53	0	0	0	0
V12	20	161	0	12	0	241	0	4	0	0	0	0	0	0
V13	345	66	0	3	129	69	6	14	13	5	0	0	23	0
V14	188	56	43	6	0	37	0	0	0	0	0	0	0	0
V15	34	10	0	106	0	0	49	62	91	2	0	0	16	0
V16	144	38	0	6	43	0	0	0	1	0	10	0	15	3
V17	4	0	19	43	157	0	0	0	9	0	15	0	3	35
V18	0	0	17	33	12	0	20	12	33	0	1	1	8	0
V19	0	0	9	63	202	7	0	24	43	15	7	4	0	138
V20	13	42	33	15	7	15	0	0	0	16	0	0	0	5
V21	3	393	97	21	50	317	0	58	49	36	0	0	0	0
V22	29	82	0	15	13	54	15	0	11	33	0	0	0	0
V23	0	1	16	0	2	0	0	0	6	0	0	5	4	0
V24	24	0	2	126	59	0	5	0	30	29	0	0	14	3
V25	110	364	1	20	0	227	0	16	30	34	0	0	0	0
V26	55	8	60	40	11	27	4	31	21	0	50	0	0	0
V27	0	191	0	1	11	200	0	7	14	0	0	0	0	0
V28	3	5	207	0	184	4	0	85	30	0	14	0	4	132
V29	29	0	93	4	0	5	2	0	0	0	6	2	14	0
V30	2	55	73	14	7	94	28	0	0	0	40	0	0	4
V31	56	0	21	9	66	0	27	33	57	18	0	104	0	0
V32	0	67	0	14	7	3	0	3	6	0	0	1	0	0
V33	7	7	0	0	108	1	0	0	21	0	1	0	0	3
V34	90	0	114	11	0	2	19	0	0	18	0	0	0	0
V35	253	0	61	8	0	3	0	14	11	69	0	33	0	0
V36	163	65	63	41	0	12	14	0	0	4	0	0	19	0
V37	85	0	451	85	28	13	10	0	25	32	0	0	24	0
V38	283	53	252	124	39	65	0	0	0	58	0	52	11	0
V39	247	198	0	50	0	76	2	0	0	0	0	0	44	0
V40	4	44	58	26	0	41	121	93	21	0	14	0	0	0
V41	249	0	6	91	0	0	168	125	0	0	31	0	0	0
V42	0	0	0	0	99	8	39	83	33	0	0	23	0	0
V43	11	24	17	0	149	15	0	58	0	0	33	0	7	44
V44	27	77	0	0	110	26	42	68	44	6	55	0	0	0
V45	148	186	24	123	16	182	0	61	2	28	0	0	0	0
V46	312	39	0	33	14	83	0	0	0	0	0	0	18	0
V47	0	0	7	49	10	26	3	16	19	0	33	0	0	0
V48	94	35	40	1	33	22	61	46	11	0	20	14	2	0
V49	200	5	48	0	82	0	117	187	47	0	53	0	28	0
V50	53	0	0	338	41	0	10	0	8	76	36	30	82	0
V51	121	4	60	1	68	0	0	6	20	30	0	55	9	6
V52	52	2	97	39	4	0	31	5	56	7	0	0	43	0
V53	23	27	4	4	0	1	0	0	0	0	0	6	0	0
V54	23	7	58	15	215	0	0	36	21	30	0	29	0	0
V55	0	1	279	2	11	0	0	0	0	14	0	0	0	0
V56	5	0	0	46	0	3	29	2	14	56	0	0	0	6
V57	0	7	13	104	0	0	38	70	43	0	0	0	0	0
V58	22	0	3	111	182	0	0	18	0	3	1	11	25	21
V59	0	11	115	27	57	15	89	76	20	56	28	171	0	37
V60	24	10	0	93	13	0	78	169	56	20	0	0	0	20
V61	67	37	19	81	0	37	74	0	0	0	0	0	0	0
V62	97	13	28	56	18	4	0	23	0	22	33	0	0	0
V63	2	86	36	0	0	90	0	0	0	0	0	0	0	0
V64	296	92	45	34	0	78	0	0	0	0	0	0	25	0
V65	0	43	23	174	82	17	57	31	0	94	25	0	0	0
V66	72	37	58	47	0	19	3	0	0	0	0	0	10	0
V67	10	0	40	3	6	0	28	20	11	79	0	28	0	0
V68	21	4	0	0	7	8	3	13	13	20	0	0	0	0
V69	5	1	0	0	18	0	49	86	18	27	0	12	0	0
V70	56	298	22	22	0	173	27	27	0	0	0	0	0	0
V71	41	0	32	2	33	0	0	36	10	13	6	0	0	0
V72	138	0	63	0	43	0	278	102	184	1	26	0	0	0
V73	156	19	0	33	0	69	23	0	28	23	62	0	0	0
V74	16	21	0	6	9	33	2	12	0	6	0	40	8	0
V75	375	0	5	28	0	0	0	0	20	0	0	0	26	0
V76	0	0	148	21	26	0	7	5	10	15	17	19	0	0
V77	17	148	106	0	0	56	26	9	32	19	0	0	0	0
V78	18	8	0	189	65	0	8	0	0	0	50	4	9	0
V79	21	0	2	48	2	1	21	0	16	0	0	0	8	0
V80	70	0	35	59	0	8	9	10	0	0	0	0	2	0
V81	12	0	65	2	0	0	58	45	31	0	6	0	0	0
V82	0	6	73	215	230	17	68	28	0	22	13	16	0	48
V83	34	50	40	0	0	8	20	19	0	4	65	0	0	0
V84	17	0	0	90	29	0	485	228	201	0	11	15	0	0
V85	212	0	108	1	0	0	47	24	34	294	7	12	0	0
V86	3	109	0	0	23	97	13	39	31	6	9	0	0	0
V87	33	210	7	35	74	165	107	215	97	37	0	0	0	0
V88	5	5	2	14	1	0	5	5	0	0	0	1	7	0
V89	60	28	30	147	0	26	17	0	0	0	0	7	49	35
V90	75	196	234	0	35	154	0	0	0	37	0	7	0	0
V91	2	9	0	0	0	5	44	37	15	9	0	0	0	0
V92	62	0	0	21	0	1	11	0	0	0	0	0	1	43
V93	164	25	3	5	78	28	0	0	0	28	11	52	30	0
V94	37	37	3	5	0	10	8	12	0	0	11	5	0	0
V95	4	0	38	26	0	1	1	0	0	17	0	9	7	0
V96	14	92	1	28	0	51	97	62	39	0	0	0	0	0
V97	0	81	40	4	197	73	17	35	33	54	0	3	0	0
V98	6	0	0	33	128	23	97	0	47	0	7	113	7	0
V99	0	0	5	0	8	0	0	7	0	4	0	0	0	0
V100	55	65	48	47	0	30	0	0	0	5	0	0	0	0
