Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	69	82	258	55	23	34
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	167	575	272	37	65	107
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	86	195	117	19	33	36
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	134	422	202	582	35	0
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	99	298	127	15	26	9
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	73	92	187	20	20	0
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	56	172	89	44	12	0
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	54	95	216	199	12	0
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	9	44	66	5	8	1
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	109	464	157	16	49	0
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	162	310	192	42	33	0
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	64	170	154	9	10	38
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	208	195	112	16	60	13
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	175	255	276	23	27	40
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	155	123	114	10	17	34
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	0	0	0	2	0	16
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	71	305	136	5	37	38
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	224	0	238	617	53	50
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	85	179	201	17	20	0
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	126	275	168	21	48	71
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	189	221	170	19	53	2
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	45	234	156	20	23	8
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	120	99	152	19	12	3
X5187e77d.f412.4303.8049.11d1aa1a0235..Panc.AdenoCA..DO49419	206	460	75	1121	21	13
X5255d645.d3d2.422e.8449.046cd21f4935..Panc.AdenoCA..DO34809	124	63	222	42	32	8
X52f43b72.15ea.40a0.a3b4.4bf22bc0bf25..Panc.AdenoCA..DO49427	72	152	138	13	5	6
X53534b3c.cd15.4d68.a9b1.6902bb234c45..Panc.AdenoCA..DO33552	353	638	40	967	113	9
X536dedba.46c4.4a21.b112.13c030b13069..Panc.AdenoCA..DO35442	6931	7	227	14	383	189
X53e6a756.bdcc.4217.afe7.27d776159544..Panc.AdenoCA..DO35360	20	73	317	132	24	33
X54195db3.94a9.4538.8bb8.9953d936acd4..Panc.AdenoCA..DO221544	51	242	276	872	72	21
