MutationType	ID83A	ID83B
1:Del:C:0	8.58E-03	1.10E-02
1:Del:C:1	2.61E-03	3.03E-03
1:Del:C:2	1.35E-04	1.28E-04
1:Del:C:3	4.60E-04	5.13E-04
1:Del:C:4	4.30E-04	4.54E-04
1:Del:C:5	1.74E-04	5.86E-04
1:Del:T:0	3.16E-03	3.45E-03
1:Del:T:1	1.29E-03	1.57E-03
1:Del:T:2	1.99E-03	2.29E-03
1:Del:T:3	2.42E-03	2.79E-03
1:Del:T:4	2.33E-03	2.44E-03
1:Del:T:5	4.31E-04	6.96E-03
1:Ins:C:0	7.39E-05	6.57E-05
1:Ins:C:1	1.40E-04	1.00E-04
1:Ins:C:2	9.38E-05	6.22E-05
1:Ins:C:3	3.58E-05	6.05E-05
1:Ins:C:4	5.42E-04	5.32E-04
1:Ins:C:5	4.56E-02	5.70E-02
1:Ins:T:0	4.17E-04	4.51E-04
1:Ins:T:1	2.73E-04	3.71E-04
1:Ins:T:2	6.64E-03	6.71E-03
1:Ins:T:3	1.71E-04	1.29E-04
1:Ins:T:4	4.65E-04	6.98E-04
1:Ins:T:5	1.87E-02	2.82E-02
2:Del:R:0	5.53E-04	5.37E-04
2:Del:R:1	4.01E-04	4.49E-04
2:Del:R:2	7.89E-05	1.43E-04
2:Del:R:3	1.17E-04	9.91E-05
2:Del:R:4	1.74E-05	4.87E-05
2:Del:R:5	6.77E-05	1.86E-05
3:Del:R:0	2.70E-04	3.45E-04
3:Del:R:1	2.99E-04	3.10E-04
3:Del:R:2	1.16E-04	2.15E-04
3:Del:R:3	4.66E-05	5.10E-05
3:Del:R:4	5.24E-09	6.45E-09
3:Del:R:5	5.24E-09	6.45E-09
4:Del:R:0	1.81E-04	1.79E-04
4:Del:R:1	2.00E-03	1.84E-03
4:Del:R:2	3.84E-05	2.59E-05
4:Del:R:3	5.24E-09	6.45E-09
4:Del:R:4	5.24E-09	6.45E-09
4:Del:R:5	6.55E-08	3.55E-05
5:Del:R:0	4.25E-03	5.14E-03
5:Del:R:1	6.41E-05	1.15E-04
5:Del:R:2	6.00E-05	8.73E-05
5:Del:R:3	5.24E-09	6.45E-09
5:Del:R:4	5.24E-09	6.45E-09
5:Del:R:5	2.43E-05	2.97E-05
2:Ins:R:0	1.47E-04	1.56E-04
2:Ins:R:1	1.37E-04	1.20E-04
2:Ins:R:2	2.93E-05	1.02E-04
2:Ins:R:3	4.96E-05	9.42E-05
2:Ins:R:4	1.29E-04	1.79E-04
2:Ins:R:5	5.43E-04	9.44E-04
3:Ins:R:0	7.51E-05	1.11E-04
3:Ins:R:1	1.19E-04	1.33E-04
3:Ins:R:2	4.63E-05	7.09E-05
3:Ins:R:3	5.24E-09	6.45E-09
3:Ins:R:4	2.06E-05	5.02E-08
3:Ins:R:5	1.55E-05	1.23E-04
4:Ins:R:0	1.83E-05	4.94E-08
4:Ins:R:1	9.89E-05	1.16E-04
4:Ins:R:2	5.24E-09	6.45E-09
4:Ins:R:3	3.06E-05	3.18E-05
4:Ins:R:4	4.02E-05	3.96E-05
4:Ins:R:5	6.99E-05	1.19E-04
5:Ins:R:0	9.22E-08	4.55E-05
5:Ins:R:1	4.48E-04	4.65E-04
5:Ins:R:2	2.91E-05	5.14E-05
5:Ins:R:3	6.59E-08	2.28E-05
5:Ins:R:4	1.90E-05	2.57E-05
5:Ins:R:5	4.03E-08	5.28E-05
2:Del:M:1	1.78E-04	1.21E-04
3:Del:M:1	3.08E-04	3.12E-04
3:Del:M:2	1.19E-04	2.46E-04
4:Del:M:1	2.05E-04	2.50E-04
4:Del:M:2	1.23E-04	1.54E-04
4:Del:M:3	1.32E-04	1.41E-04
5:Del:M:1	5.26E-03	5.91E-03
5:Del:M:2	2.49E-03	2.60E-03
5:Del:M:3	7.57E-04	8.71E-04
5:Del:M:4	3.39E-04	4.17E-04
5:Del:M:5	3.02E-04	4.73E-04
