NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	48.387	19.035	11.574	13.264	0.094	0.987	50000.0
2	46.95	18.296	10.985	12.326	0.088	0.99	40000.0
3	45.775	18.061	10.587	12.23	0.092	0.989	70000.0
4	47.797	18.791	11.308	12.979	0.091	0.988	40000.0
5	47.179	18.556	11.428	13.136	0.091	0.988	30000.0
6	48.449	18.428	11.169	12.183	0.086	0.99	60000.0
7	52.776	20.603	12.689	14.213	0.093	0.986	60000.0
8	44.377	17.763	10.358	12.058	0.088	0.989	80000.0
9	47.924	18.904	11.376	13.167	0.097	0.987	60000.0
10	47.605	18.4	11.078	12.5	0.091	0.989	40000.0
