Samples	ID1	ID2	ID8	ID9	ID83A	ID83D
V1	50	20	51	0	94	40
V2	46	0	63	32	14	0
V3	63	0	45	53	16	25
V4	0	13	0	35	0	0
V5	28	67	0	79	150	0
V6	114	0	186	0	17	59
V7	29	0	91	0	114	0
V8	0	96	0	0	26	0
V9	73	0	0	0	0	21
V10	49	0	0	0	29	118
V11	14	0	0	139	46	30
V12	50	40	0	0	0	27
V13	0	139	0	0	0	0
V14	0	98	0	0	137	0
V15	10	27	33	0	52	21
V16	14	55	0	51	79	0
V17	7	0	0	18	30	30
V18	46	40	0	29	0	0
V19	54	101	0	0	129	0
V20	133	62	0	0	26	0
V21	33	0	0	81	29	0
V22	25	0	0	118	29	84
V23	58	181	119	79	0	153
V24	0	157	0	0	23	0
V25	18	60	26	78	19	24
V26	119	466	0	0	0	0
V27	0	0	0	305	0	0
V28	386	0	0	0	197	144
V29	88	72	0	0	84	0
V30	40	102	0	52	78	0
V31	87	0	111	0	63	21
V32	0	9	61	16	32	0
V33	0	105	0	0	94	21
V34	0	26	56	159	0	0
V35	0	0	163	0	0	0
V36	0	389	0	0	117	0
V37	0	188	0	0	96	152
V38	36	0	0	0	60	12
V39	0	21	171	34	27	0
V40	0	293	0	62	56	41
V41	0	0	0	42	8	78
V42	117	0	62	0	0	47
V43	62	181	0	0	0	112
V44	0	0	0	0	194	0
V45	0	0	145	0	0	266
V46	37	49	0	0	0	86
V47	0	0	0	0	160	31
V48	0	54	0	116	39	37
V49	0	28	0	0	89	23
V50	43	0	0	48	0	29
V51	0	54	0	0	107	0
V52	0	0	121	0	0	66
V53	0	0	282	0	235	0
V54	0	10	62	17	25	13
V55	59	0	204	132	0	0
V56	50	202	102	85	92	0
V57	33	45	0	0	29	50
V58	114	123	0	0	44	115
V59	0	14	29	168	17	0
V60	0	32	0	0	177	0
V61	24	0	35	86	24	11
V62	0	0	90	0	338	0
V63	0	210	0	0	235	0
V64	116	18	65	0	47	64
V65	17	0	0	34	16	30
V66	0	14	0	14	36	11
V67	0	98	0	102	286	0
V68	51	0	104	95	0	17
V69	60	97	47	73	0	0
V70	70	0	0	0	282	0
V71	25	28	0	48	0	51
V72	21	91	0	32	44	30
V73	0	102	50	34	52	63
V74	17	9	0	20	0	38
V75	0	32	0	0	72	42
V76	240	0	0	0	37	37
V77	56	36	0	81	41	17
V78	0	0	27	82	13	80
V79	0	70	0	76	0	0
V80	67	19	0	0	0	0
V81	14	0	0	0	0	8
V82	135	49	0	183	0	102
V83	47	0	0	43	0	102
V84	0	35	0	150	148	0
V85	57	76	66	0	27	293
V86	0	0	0	145	24	219
V87	58	0	0	169	172	0
V88	33	209	0	0	0	0
V89	205	0	0	0	0	0
V90	0	0	0	0	162	105
V91	0	89	179	63	65	75
V92	46	92	192	0	0	148
V93	56	7	0	19	8	22
V94	87	0	0	33	0	14
V95	40	56	0	0	59	119
V96	53	207	118	0	54	0
V97	134	0	0	107	34	162
V98	19	27	212	78	0	41
V99	0	55	0	28	20	54
V100	0	56	48	29	9	24
