Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V1	0	40	227	113	73	42	112	10	0	57	19	11	36	6	0	0	0
V2	9	31	3	0	1	7	4	2	20	0	0	1	0	0	1	0	0
V3	299	70	16	3	1	5	0	7	9	0	2	6	4	18	0	0	4
V4	0	21	2	3	64	10	85	0	88	98	3	4	4	37	0	0	0
V5	10	59	3	2	20	0	27	41	32	5	3	2	9	14	2	2	9
V6	14	18	146	44	0	18	0	52	22	1	0	9	22	26	29	9	0
V7	35	13	54	10	1	2	0	20	34	0	1	5	0	3	9	0	4
V8	24	8	89	160	5	71	12	0	0	5	30	52	20	1	4	0	0
V9	219	95	164	130	1	81	0	0	6	2	0	0	4	8	6	12	2
V10	271	10	46	29	1	14	1	0	1	0	0	2	5	0	0	14	7
V11	31	1	7	6	12	4	66	2	12	20	0	0	6	0	0	0	7
V12	0	34	2	2	10	7	37	0	0	18	6	2	2	0	0	0	0
V13	4	25	5	2	16	5	14	45	12	0	3	2	3	0	0	0	2
V14	2	23	1	0	15	0	7	0	0	23	2	8	0	0	0	0	0
V15	1	86	80	39	0	4	1	20	42	2	0	0	3	6	7	0	0
V16	38	0	2	2	5	1	16	0	0	16	0	0	2	0	0	0	4
V17	38	54	33	16	5	4	0	2	0	0	10	7	1	0	9	9	9
V18	43	0	1	1	0	13	2	8	18	0	8	2	3	31	3	0	0
V19	67	30	71	60	4	21	5	6	8	0	4	11	5	0	9	0	1
V20	0	23	22	0	34	24	22	116	89	13	7	0	19	81	15	0	0
V21	23	134	0	0	212	11	112	12	3	5	2	13	1	3	10	0	4
V22	0	2	7	12	94	1	40	0	0	24	3	7	0	4	0	0	0
V23	3	16	0	0	9	77	5	29	27	5	44	26	15	20	24	2	0
V24	1	19	44	9	6	5	14	17	47	0	5	0	12	0	32	0	0
V25	0	0	18	10	27	0	21	3	2	4	0	0	1	1	2	0	0
V26	70	11	27	5	33	3	31	7	0	12	6	11	0	0	9	0	10
V27	0	0	2	1	47	2	62	0	0	69	0	0	1	0	0	0	0
V28	0	9	28	26	7	26	3	0	2	7	13	0	1	0	3	0	0
V29	0	20	0	1	185	8	73	0	0	25	3	4	4	1	0	0	0
V30	13	79	5	1	45	69	45	0	2	28	36	26	8	6	0	16	7
