NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	44.752	16.64	11.43	10.277	0.09	0.992	80000.0
2	43.505	16.082	10.071	9.287	0.092	0.994	40000.0
3	43.033	15.807	9.948	9.308	0.093	0.994	100000.0
4	40.53	14.927	9.495	8.688	0.088	0.995	30000.0
5	41.764	15.465	9.893	9.117	0.089	0.994	130000.0
6	43.894	16.319	10.377	9.496	0.091	0.994	70000.0
7	43.956	16.115	10.161	9.135	0.088	0.995	50000.0
8	43.756	15.98	10.118	9.026	0.092	0.994	80000.0
9	42.233	15.874	9.838	9.186	0.092	0.994	70000.0
10	40.457	14.761	9.443	8.673	0.087	0.995	50000.0
