NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	51.596	20.796	12.591	12.994	0.115	0.988	30000.0
2	48.372	20.164	11.354	12.648	0.113	0.988	50000.0
3	52.394	21.488	12.478	13.349	0.12	0.988	30000.0
4	53.335	22.917	12.946	14.578	0.123	0.986	40000.0
5	48.082	19.787	11.153	12.256	0.113	0.99	40000.0
6	54.822	22.813	14.013	15.3	0.124	0.982	30000.0
7	57.449	23.581	14.478	15.744	0.124	0.982	40000.0
8	48.982	20.242	11.356	12.344	0.114	0.99	50000.0
9	47.161	19.538	11.182	12.085	0.111	0.99	30000.0
10	51.994	21.837	12.345	13.736	0.126	0.987	40000.0
