NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	60.097	24.761	14.269	16.129	0.14	0.98	110000.0
2	63.155	25.627	16.353	17.839	0.145	0.974	70000.0
3	58.646	23.533	14.461	15.801	0.131	0.981	20000.0
4	60.406	24.549	14.385	15.872	0.135	0.981	20000.0
5	62.599	25.163	15.331	16.724	0.134	0.978	50000.0
6	60.551	24.905	15.126	16.779	0.141	0.977	50000.0
7	61.468	24.754	16.332	17.702	0.14	0.975	40000.0
8	71.164	28.24	19.479	20.407	0.141	0.968	60000.0
9	59.198	24.346	13.902	15.976	0.134	0.98	70000.0
10	59.145	24.225	14.012	16.216	0.136	0.98	60000.0
