NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	136.222	25.084	28.147	15.663	0.109	0.981	90000.0
2	135.248	24.543	28.069	15.426	0.103	0.983	60000.0
3	136.133	24.667	27.77	15.352	0.105	0.982	110000.0
4	136.01	24.881	27.682	15.282	0.107	0.983	70000.0
5	137.938	25.378	28.104	15.644	0.11	0.982	80000.0
6	136.024	24.98	27.844	15.704	0.105	0.982	70000.0
7	138.939	24.875	28.769	15.53	0.107	0.982	40000.0
8	135.077	24.504	27.217	14.926	0.105	0.984	70000.0
9	139.252	25.181	29.144	15.743	0.108	0.982	40000.0
10	136.372	24.753	27.978	15.409	0.108	0.981	90000.0
11	135.412	24.451	27.411	14.892	0.107	0.983	70000.0
12	135.931	24.799	27.795	15.451	0.108	0.982	80000.0
13	134.971	24.612	27.488	15.358	0.107	0.982	50000.0
14	136.285	24.586	27.855	15.185	0.105	0.983	80000.0
15	133.201	24.395	27.41	15.375	0.107	0.983	50000.0
16	138.249	24.838	28.236	15.511	0.105	0.983	80000.0
17	135.844	24.566	27.761	15.248	0.104	0.983	60000.0
18	134.157	24.427	27.25	15.115	0.106	0.983	120000.0
19	137.335	24.831	28.467	15.559	0.106	0.983	60000.0
20	138.031	24.859	28.32	15.493	0.106	0.983	80000.0
21	135.806	24.83	27.842	15.442	0.109	0.982	60000.0
22	137.21	24.99	28.546	15.845	0.107	0.981	80000.0
23	134.6	24.6	27.314	15.265	0.106	0.982	70000.0
24	136.405	24.645	28.236	15.383	0.107	0.983	80000.0
25	135.558	24.422	27.642	15.095	0.105	0.983	100000.0
