MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	2.53E-02	2.35E-02	1.28E-02	1.12E-02
1:Del:C:1	8.99E-03	7.10E-03	2.13E-03	3.83E-03
1:Del:C:2	3.95E-04	2.33E-04	1.14E-04	2.83E-04
1:Del:C:3	1.42E-03	7.49E-04	4.28E-04	5.74E-04
1:Del:C:4	3.57E-02	1.87E-02	1.81E-02	8.04E-04
1:Del:C:5	3.05E-04	9.04E-04	2.09E-04	3.90E-04
1:Del:T:0	1.21E-02	7.38E-03	2.73E-03	4.05E-03
1:Del:T:1	4.81E-03	3.62E-03	1.78E-03	2.26E-03
1:Del:T:2	8.27E-03	6.20E-03	1.77E-03	3.63E-03
1:Del:T:3	1.08E-02	8.19E-03	2.56E-03	4.10E-03
1:Del:T:4	1.02E-02	8.01E-03	1.58E-03	3.44E-03
1:Del:T:5	6.22E-03	5.30E-02	5.87E-03	2.72E-02
1:Ins:C:0	5.07E-04	5.65E-04	5.52E-08	2.22E-04
1:Ins:C:1	1.21E-04	3.02E-04	1.72E-04	9.25E-05
1:Ins:C:2	2.68E-04	2.21E-04	2.95E-08	8.71E-05
1:Ins:C:3	1.30E-05	4.56E-05	1.13E-05	6.15E-05
1:Ins:C:4	1.12E-04	3.63E-04	1.07E-04	1.46E-04
1:Ins:C:5	2.64E-04	6.03E-04	6.21E-05	7.61E-04
1:Ins:T:0	1.65E-03	1.07E-03	2.97E-04	5.36E-04
1:Ins:T:1	1.47E-03	8.14E-04	4.72E-04	7.03E-04
1:Ins:T:2	2.74E-04	2.68E-04	3.42E-04	1.89E-04
1:Ins:T:3	2.06E-04	2.35E-04	3.55E-05	2.60E-04
1:Ins:T:4	2.65E-04	6.82E-04	2.53E-04	6.94E-04
1:Ins:T:5	1.65E-07	2.53E-03	1.42E-06	4.70E-02
2:Del:R:0	9.60E-04	7.32E-04	1.91E-04	4.19E-04
2:Del:R:1	9.86E-04	6.92E-04	0.00E+00	4.78E-04
2:Del:R:2	2.59E-04	2.29E-04	9.79E-06	7.18E-05
2:Del:R:3	7.45E-05	4.53E-05	3.86E-05	8.59E-05
2:Del:R:4	3.38E-05	1.58E-04	1.46E-04	1.73E-08
2:Del:R:5	3.99E-05	9.99E-05	1.94E-05	9.39E-05
3:Del:R:0	1.06E-03	8.04E-04	2.24E-04	3.21E-04
3:Del:R:1	3.65E-04	4.97E-04	3.83E-04	4.13E-04
3:Del:R:2	2.58E-04	3.29E-04	2.77E-09	1.24E-04
3:Del:R:3	1.53E-05	4.69E-05	2.23E-05	5.26E-08
3:Del:R:4	2.49E-08	2.29E-08	1.09E-08	9.08E-09
3:Del:R:5	7.20E-05	1.70E-05	1.55E-07	5.20E-08
4:Del:R:0	8.63E-04	8.37E-04	4.64E-04	2.65E-04
4:Del:R:1	3.10E-04	4.36E-04	2.18E-04	3.69E-04
4:Del:R:2	1.35E-04	8.90E-05	6.62E-05	2.19E-05
4:Del:R:3	2.49E-08	2.29E-08	1.09E-08	9.08E-09
4:Del:R:4	2.49E-08	2.29E-08	1.09E-08	9.08E-09
4:Del:R:5	4.65E-08	2.11E-05	3.44E-05	5.97E-08
5:Del:R:0	2.69E-02	2.56E-02	4.34E-04	1.27E-02
5:Del:R:1	4.11E-05	1.89E-04	1.76E-05	1.71E-04
5:Del:R:2	7.47E-05	7.99E-05	2.06E-08	4.96E-05
5:Del:R:3	2.49E-08	2.29E-08	1.09E-08	9.08E-09
5:Del:R:4	2.49E-08	2.29E-08	1.09E-08	9.08E-09
5:Del:R:5	2.49E-08	2.29E-08	1.09E-08	9.08E-09
2:Ins:R:0	1.58E-04	1.38E-04	4.26E-05	1.43E-04
2:Ins:R:1	1.87E-04	9.62E-05	1.45E-08	1.50E-04
2:Ins:R:2	1.91E-03	9.72E-04	7.21E-04	3.77E-04
2:Ins:R:3	1.14E-04	1.37E-04	2.56E-05	1.38E-04
2:Ins:R:4	3.72E-02	1.80E-02	1.90E-02	1.07E-03
2:Ins:R:5	2.72E-04	1.30E-03	9.22E-05	1.35E-03
3:Ins:R:0	6.95E-05	2.00E-04	1.11E-08	1.15E-04
3:Ins:R:1	5.85E-04	5.56E-04	2.72E-04	1.17E-04
3:Ins:R:2	2.49E-08	2.29E-08	1.09E-08	9.08E-09
3:Ins:R:3	1.51E-08	8.63E-07	1.43E-08	6.73E-05
3:Ins:R:4	5.28E-05	6.23E-05	2.82E-07	4.31E-08
3:Ins:R:5	4.03E-09	1.13E-04	8.05E-05	1.95E-04
4:Ins:R:0	4.33E-04	1.84E-04	1.16E-03	6.23E-09
4:Ins:R:1	3.38E-03	2.56E-07	4.34E-02	2.16E-04
4:Ins:R:2	1.14E-05	3.05E-05	4.66E-08	4.13E-05
4:Ins:R:3	9.86E-05	2.14E-05	6.99E-05	4.08E-08
4:Ins:R:4	1.43E-04	7.90E-05	4.14E-08	1.21E-04
4:Ins:R:5	3.21E-04	2.97E-04	1.34E-03	1.13E-04
5:Ins:R:0	4.84E-05	5.03E-05	4.69E-05	1.48E-08
5:Ins:R:1	1.79E-03	1.60E-03	2.44E-04	7.86E-04
5:Ins:R:2	8.68E-09	1.65E-08	9.28E-05	8.44E-05
5:Ins:R:3	2.24E-03	8.81E-04	7.25E-04	1.11E-04
5:Ins:R:4	5.31E-05	5.74E-08	4.00E-08	4.76E-05
5:Ins:R:5	6.10E-03	3.15E-03	3.18E-03	1.40E-04
2:Del:M:1	6.94E-04	4.83E-04	3.73E-04	2.46E-04
3:Del:M:1	1.79E-03	1.29E-03	1.01E-03	4.99E-04
3:Del:M:2	7.01E-04	5.43E-04	2.97E-04	4.26E-04
4:Del:M:1	6.56E-04	4.79E-04	1.95E-04	2.39E-04
4:Del:M:2	4.93E-04	3.11E-04	1.61E-04	2.30E-04
4:Del:M:3	2.87E-04	4.15E-04	1.18E-04	9.56E-05
5:Del:M:1	2.67E-02	2.51E-02	3.17E-08	1.07E-02
5:Del:M:2	1.30E-02	1.27E-02	5.63E-04	6.35E-03
5:Del:M:3	4.55E-03	4.35E-03	3.67E-04	1.66E-03
5:Del:M:4	1.60E-03	1.45E-03	9.45E-05	4.71E-04
5:Del:M:5	1.02E-03	1.16E-03	9.83E-05	6.00E-04
