NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	63.281	24.289	14.425	14.835	0.134	0.986	60000.0
2	62.583	24.58	14.799	15.662	0.134	0.984	30000.0
3	64.482	24.468	14.772	15.091	0.135	0.985	30000.0
4	64.556	24.25	14.835	15.116	0.131	0.985	40000.0
5	63.201	23.919	14.582	14.838	0.126	0.986	30000.0
6	63.326	24.329	14.852	15.291	0.132	0.985	40000.0
7	63.333	24.464	14.822	15.282	0.135	0.985	30000.0
8	64.501	24.8	15.146	15.812	0.134	0.983	30000.0
9	62.206	23.635	14.189	14.665	0.128	0.986	40000.0
10	63.554	24.596	14.923	15.512	0.134	0.984	40000.0
