NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	187.898	67.502	65.215	53.768	0.406	0.805	30000.0
2	172.113	63.867	58.296	51.472	0.415	0.816	20000.0
3	177.248	65.245	61.064	52.704	0.408	0.813	20000.0
4	173.165	64.039	58.69	51.366	0.42	0.819	40000.0
5	183.522	66.489	63.511	52.625	0.4	0.818	20000.0
6	186.109	67.963	65.046	54.694	0.407	0.801	30000.0
7	186.36	67.423	64.785	53.43	0.396	0.816	40000.0
8	187.782	68.869	65.208	55.352	0.419	0.795	30000.0
9	187.105	68.118	66.723	56.044	0.415	0.806	20000.0
10	185.418	67.353	64.622	53.738	0.405	0.812	20000.0
