MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	2.05E-07	1.31E-07	1.55E-03	2.14E-07	3.55E-02	2.58E-03	1.74E-02	4.67E-03	9.10E-03	2.72E-02	4.39E-02
1:Del:C:1	0.00E+00	4.28E-04	1.05E-03	7.64E-04	9.45E-03	1.40E-46	9.77E-03	4.50E-03	1.03E-02	2.79E-02	4.25E-02
1:Del:C:2	3.25E-08	1.65E-08	1.03E-07	0.00E+00	1.06E-03	2.09E-04	2.82E-05	2.45E-04	2.21E-07	1.61E-03	1.61E-03
1:Del:C:3	1.21E-03	1.44E-04	4.08E-04	9.32E-05	1.77E-03	7.89E-04	6.03E-03	1.73E-03	3.41E-03	4.20E-03	2.99E-03
1:Del:C:4	4.09E-09	1.17E-04	1.28E-04	5.97E-09	2.22E-03	6.01E-10	3.90E-03	0.00E+00	6.92E-04	8.30E-03	2.78E-03
1:Del:C:5	8.23E-04	5.21E-04	1.72E-03	1.90E-04	9.55E-05	2.41E-04	0.00E+00	7.59E-04	8.83E-03	1.63E-03	1.10E-03
1:Del:T:0	0.00E+00	1.22E-04	1.81E-03	8.95E-04	1.52E-02	6.02E-04	5.70E-02	1.76E-03	2.77E-03	4.37E-02	1.04E-02
1:Del:T:1	0.00E+00	3.56E-08	3.36E-04	2.22E-04	5.43E-03	1.11E-07	1.63E-03	6.65E-03	2.86E-02	1.08E-02	5.09E-03
1:Del:T:2	2.11E-04	9.59E-10	4.87E-04	1.07E-03	5.19E-03	0.00E+00	4.61E-03	3.78E-03	5.22E-03	1.58E-02	8.59E-03
1:Del:T:3	1.05E-04	7.88E-04	1.57E-03	0.00E+00	1.59E-02	1.44E-05	5.05E-03	8.94E-03	1.14E-02	3.06E-02	1.98E-02
1:Del:T:4	5.59E-04	2.59E-04	5.10E-03	7.14E-04	7.48E-03	5.74E-04	5.13E-03	8.98E-03	3.75E-02	2.02E-02	1.79E-02
1:Del:T:5	5.28E-08	6.28E-08	1.00E-02	8.03E-03	1.33E-07	9.74E-03	6.02E-02	2.32E-03	7.93E-02	2.72E-02	2.02E-03
1:Ins:C:0	1.19E-07	1.49E-07	0.00E+00	2.23E-08	4.43E-08	7.43E-07	7.23E-04	3.93E-04	4.52E-05	1.73E-07	8.02E-04
1:Ins:C:1	9.50E-05	2.43E-08	2.27E-04	1.05E-04	5.37E-08	1.61E-04	5.08E-04	4.19E-04	5.72E-04	2.89E-04	8.77E-04
1:Ins:C:2	2.41E-08	3.48E-08	6.80E-09	5.94E-08	1.09E-04	1.79E-04	1.72E-04	2.83E-05	1.42E-07	1.21E-04	3.68E-04
1:Ins:C:3	2.48E-04	4.22E-05	1.34E-04	0.00E+00	1.23E-07	2.61E-08	1.44E-04	2.11E-04	5.99E-04	9.75E-05	7.22E-04
1:Ins:C:4	2.05E-04	4.67E-04	2.84E-04	1.08E-03	3.52E-04	1.36E-03	2.47E-04	1.75E-04	9.60E-04	1.32E-03	7.53E-03
1:Ins:C:5	4.50E-04	5.02E-03	7.91E-04	0.00E+00	2.86E-04	7.76E-04	3.43E-04	0.00E+00	2.16E-03	7.05E-04	3.94E-02
1:Ins:T:0	0.00E+00	4.14E-04	1.80E-04	4.70E-04	2.15E-03	2.16E-03	1.32E-03	6.73E-04	1.16E-03	1.88E-03	3.87E-03
1:Ins:T:1	4.20E-04	1.28E-04	0.00E+00	1.40E-46	1.34E-03	5.02E-04	1.06E-03	7.82E-04	0.00E+00	7.41E-04	3.24E-03
1:Ins:T:2	1.91E-08	2.37E-08	3.86E-05	0.00E+00	1.12E-03	8.71E-05	4.53E-04	4.26E-08	4.08E-04	3.33E-07	7.54E-04
1:Ins:T:3	2.01E-04	6.26E-04	2.56E-04	2.36E-04	4.67E-04	8.72E-09	1.18E-03	2.79E-04	3.09E-04	1.55E-03	2.06E-03
1:Ins:T:4	9.57E-04	1.70E-03	5.53E-04	3.00E-08	9.05E-04	1.85E-04	8.62E-04	2.70E-04	4.33E-03	2.38E-03	1.17E-02
1:Ins:T:5	1.68E-07	7.57E-03	5.00E-08	3.50E-08	7.64E-04	1.46E-07	2.24E-07	1.01E-03	5.67E-02	4.98E-07	7.05E-02
