NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	54.998	20.063	13.624	11.773	0.118	0.989	30000.0
2	49.596	18.041	11.348	9.977	0.11	0.993	30000.0
3	52.185	19.486	12.482	11.173	0.119	0.991	50000.0
4	56.138	20.711	13.279	11.796	0.122	0.99	40000.0
5	53.976	19.815	12.73	11.142	0.119	0.992	50000.0
6	51.85	19.099	12.173	10.903	0.116	0.991	30000.0
7	53.702	19.85	12.715	11.211	0.117	0.991	50000.0
8	53.693	19.627	12.888	11.186	0.117	0.991	30000.0
9	51.529	18.753	12.007	10.248	0.115	0.993	50000.0
10	53.535	19.57	12.814	11.1	0.118	0.991	60000.0
