Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.81,0.8,NO,N/A,58.24%,73.5%,122.88%,60.66%,100.69,0.4536,1.0139,0.196,0.556,0.788,0.39
3,0.77,0.68,NO,N/A,47.79%,58.38%,133.47%,42.96%,103.11,0.3666,1.0771,0.126,0.629,0.864,0.303
4,0.65,0.42,NO,N/A,37.65%,47.08%,117.06%,33.49%,82.33,0.2814,0.9071,0.074,0.325,0.921,0.64
5,0.99,0.97,NO,N/A,19.85%,27.56%,90.55%,15.79%,84.91,0.1699,0.6546,0.023,0.355,0.976,0.605
6*,1.0,1.0,YES,Most Stab Sigs,6.99%,16.48%,35.74%,8.37%,23.22,0.0953,0.2449,0.004,0.027,0.995,0.969
7,0.74,-0.79,NO,N/A,6.8%,16.3%,35.51%,8.39%,22.25,0.095,0.2412,0.004,0.025,0.996,0.972
8,0.56,-0.82,NO,N/A,6.76%,16.3%,34.74%,8.1%,22.58,0.0965,0.2558,0.004,0.026,0.996,0.971
9,0.43,-0.86,NO,N/A,6.61%,16.14%,35.38%,7.67%,21.59,0.0955,0.2442,0.004,0.024,0.996,0.974
10,0.32,-0.82,NO,N/A,6.8%,16.17%,43.03%,7.69%,23.74,0.097,0.27,0.004,0.028,0.996,0.968
11,0.22,-0.78,NO,N/A,6.46%,15.65%,40.26%,7.06%,24.2,0.0962,0.252,0.004,0.029,0.996,0.967
12,0.19,-0.93,NO,N/A,6.16%,15.04%,34.82%,7.08%,21.36,0.0931,0.2544,0.003,0.023,0.997,0.974
13,0.16,-0.8,NO,N/A,6.06%,14.96%,35.03%,7.02%,20.98,0.0932,0.2425,0.003,0.022,0.997,0.975
14,0.14,-0.74,NO,N/A,6.19%,15.05%,32.38%,7.29%,22.04,0.0951,0.2308,0.003,0.025,0.997,0.972
15,0.11,-0.62,NO,N/A,6.21%,14.81%,37.17%,6.88%,20.97,0.0956,0.2377,0.003,0.019,0.997,0.979
16,0.05,-0.76,NO,N/A,6.9%,15.3%,34.5%,7.2%,18.48,0.0946,0.2376,0.003,0.012,0.997,0.987
17,0.09,-0.72,NO,N/A,6.01%,14.49%,33.08%,6.64%,18.69,0.093,0.2086,0.003,0.015,0.997,0.984
18,0.05,-0.79,NO,N/A,5.37%,13.89%,35.52%,5.95%,19.73,0.0888,0.2202,0.002,0.008,0.998,0.991
19,0.04,-0.75,NO,N/A,6.22%,14.54%,35.76%,6.74%,17.54,0.0901,0.2309,0.002,0.013,0.998,0.985
20,0.01,-0.67,NO,N/A,6.43%,14.87%,35.98%,6.42%,18.65,0.0967,0.2814,0.002,0.014,0.997,0.985
