NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	47.926	19.394	11.713	12.24	0.097	0.99	40000.0
2	47.964	18.845	11.677	12.025	0.096	0.99	40000.0
3	49.951	20.406	11.947	12.876	0.105	0.989	70000.0
4	51.894	21.2	12.75	13.567	0.107	0.987	30000.0
5	51.166	20.82	12.803	13.797	0.103	0.987	40000.0
6	45.495	17.695	10.857	11.016	0.091	0.992	60000.0
7	51.534	20.824	12.975	13.662	0.102	0.987	50000.0
8	51.614	20.825	12.973	13.723	0.103	0.986	30000.0
9	50.118	20.596	12.019	13.009	0.106	0.987	60000.0
10	50.483	20.238	12.487	13.165	0.103	0.988	30000.0
