Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	93	19	49	28	9	2	2	0	22	31	0	0	0	0
V2	14	0	46	0	26	12	0	15	3	27	12	0	0	0
V3	15	0	58	22	36	19	7	23	0	0	13	0	2	7
V4	1	10	0	0	0	11	7	16	0	0	2	0	0	1
V5	137	54	24	1	21	38	0	32	0	0	0	0	2	15
V6	13	0	107	14	100	4	0	12	83	35	0	3	5	0
V7	113	5	29	0	81	0	0	0	0	0	2	0	4	0
V8	19	63	4	0	2	0	0	1	16	0	0	12	0	5
V9	1	4	44	12	7	2	10	0	0	0	14	0	0	0
V10	25	1	40	94	0	0	20	0	16	0	0	0	0	0
V11	37	0	12	16	0	62	2	14	20	11	55	0	0	0
V12	0	34	43	17	2	0	6	0	11	0	0	0	4	0
V13	0	87	6	8	0	0	2	7	0	0	4	19	6	0
V14	125	80	3	3	0	11	0	0	2	0	0	8	0	3
V15	50	22	9	17	27	0	8	0	3	0	0	6	1	0
V16	75	50	13	5	0	29	1	11	0	0	12	0	0	3
V17	25	1	5	23	0	11	9	0	6	5	0	0	0	0
V18	3	21	38	0	0	18	6	0	8	5	0	16	0	0
V19	130	92	52	0	0	0	0	0	0	0	0	5	1	4
V20	25	48	109	1	13	0	0	0	0	0	0	5	16	4
V21	22	7	24	2	0	4	13	36	0	0	35	0	0	0
V22	26	0	18	68	0	67	49	9	8	0	11	0	0	0
V23	5	166	47	107	67	57	44	0	71	14	2	0	10	0
V24	15	83	2	3	2	5	0	0	0	3	3	62	2	0
V25	18	52	17	22	21	23	1	19	0	0	52	0	0	0
V26	4	425	114	2	0	2	0	0	3	0	0	4	5	26
V27	5	12	0	0	7	146	4	90	5	0	36	0	0	0
V28	170	0	307	97	28	7	6	20	42	18	0	0	31	1
V29	67	47	70	0	6	6	9	0	0	0	6	0	2	31
V30	72	86	37	5	0	24	0	9	0	0	21	0	0	18
V31	62	0	82	18	93	3	14	0	2	0	0	0	2	6
V32	28	8	6	0	18	0	0	20	4	31	3	0	0	0
V33	86	88	9	18	0	0	13	0	0	0	1	0	0	5
V34	1	20	3	0	22	59	13	62	0	21	36	0	0	4
V35	0	4	0	0	35	7	0	0	10	104	0	3	0	0
V36	105	327	10	0	13	0	10	0	0	0	21	0	20	0
V37	87	163	0	122	0	0	48	0	16	0	0	0	0	0
V38	51	0	24	6	0	0	0	0	9	3	0	0	14	1
V39	23	4	0	0	135	4	0	36	7	6	11	27	0	0
V40	50	257	0	13	0	24	35	9	45	0	19	0	0	0
V41	7	1	0	62	0	20	17	11	10	0	0	0	0	0
V42	0	11	93	35	42	0	8	0	11	1	0	0	25	0
V43	4	161	45	98	0	0	30	0	0	0	0	0	17	0
V44	128	0	1	2	17	7	7	16	9	0	4	0	0	3
V45	0	1	0	176	86	0	66	0	82	0	0	0	0	0
V46	1	37	19	56	7	5	0	0	26	0	0	0	21	0
V47	137	1	6	21	0	0	4	0	11	11	0	0	0	0
V48	37	50	0	27	1	88	11	0	17	0	15	0	0	0
V49	76	21	1	14	0	0	1	5	11	1	5	0	0	5
V50	4	0	33	25	0	27	6	9	0	0	0	0	11	5
V51	76	26	5	0	1	8	0	13	0	3	0	19	10	0
V52	6	3	0	52	53	0	27	0	4	42	0	0	0	0
V53	206	10	0	13	119	42	0	27	0	98	0	0	2	0
V54	22	2	3	5	24	13	0	0	15	23	8	12	0	0
V55	0	0	60	3	131	61	6	63	0	47	22	0	0	2
V56	85	162	48	5	32	18	0	25	0	52	75	29	0	0
V57	22	30	23	36	2	0	14	4	0	0	15	0	0	11
