MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
1:Del:C:0	7.21E-08	1.69E-03	0.00E+00	3.45E-07	5.21E-03	2.53E-02	6.12E-02	3.79E-03	2.13E-02	2.85E-02	9.92E-03	2.29E-02	7.52E-03	3.33E-02	5.82E-03	1.31E-02
1:Del:C:1	1.20E-04	1.00E-08	1.89E-04	3.06E-04	2.96E-03	1.66E-02	1.84E-02	1.46E-02	4.32E-03	4.13E-02	8.06E-03	9.92E-03	1.92E-02	2.80E-46	3.79E-03	1.35E-02
1:Del:C:2	2.73E-09	4.00E-08	6.46E-07	1.27E-07	7.05E-04	1.40E-03	2.98E-03	2.09E-03	2.16E-03	1.55E-03	1.09E-03	3.91E-03	6.55E-08	1.22E-07	2.52E-03	6.82E-03
1:Del:C:3	0.00E+00	3.69E-04	5.37E-04	1.35E-03	1.23E-03	4.36E-03	3.88E-03	2.27E-04	1.11E-02	1.40E-02	2.68E-08	3.53E-03	0.00E+00	2.52E-03	1.06E-02	1.40E-03
1:Del:C:4	8.77E-09	2.58E-03	3.72E-04	0.00E+00	0.00E+00	1.04E-02	3.49E-03	9.37E-04	2.80E-46	9.75E-46	6.90E-03	3.21E-08	1.37E-02	2.42E-03	9.45E-03	0.00E+00
1:Del:C:5	5.35E-09	4.55E-03	7.76E-04	2.41E-08	1.43E-08	0.00E+00	1.15E-03	9.37E-03	0.00E+00	0.00E+00	2.67E-02	4.52E-03	1.27E-03	2.83E-02	8.41E-03	3.11E-02
1:Del:T:0	2.53E-04	2.25E-03	3.81E-04	8.02E-03	4.47E-03	1.65E-02	1.45E-02	8.28E-03	1.62E-02	4.90E-02	8.85E-03	3.17E-02	2.70E-02	1.70E-02	1.68E-02	6.97E-03
1:Del:T:1	1.55E-08	0.00E+00	3.22E-04	2.39E-04	6.62E-04	1.47E-02	2.01E-02	3.48E-03	1.72E-02	2.44E-02	2.16E-04	3.08E-07	1.39E-02	3.47E-02	3.61E-03	2.16E-03
1:Del:T:2	6.75E-05	1.59E-03	0.00E+00	6.03E-03	4.94E-08	2.16E-02	2.41E-02	1.04E-02	2.80E-03	2.28E-02	1.44E-03	4.21E-03	1.57E-02	4.03E-02	4.56E-03	6.89E-03
1:Del:T:3	0.00E+00	2.59E-03	1.55E-04	1.29E-02	3.17E-03	1.94E-02	2.12E-02	1.10E-03	1.96E-03	3.53E-02	6.61E-02	2.46E-07	4.45E-02	1.65E-02	1.29E-02	4.28E-46
1:Del:T:4	0.00E+00	6.40E-03	4.98E-04	1.40E-46	0.00E+00	1.15E-02	1.95E-02	5.03E-03	1.98E-03	4.44E-02	3.53E-02	7.91E-03	6.10E-02	1.26E-02	1.43E-02	5.75E-03
1:Del:T:5	2.62E-04	1.81E-02	4.27E-08	2.11E-07	1.68E-08	7.08E-07	1.20E-07	3.67E-02	3.10E-06	4.24E-07	1.03E-01	2.87E-03	5.86E-02	1.11E-01	4.05E-07	1.92E-06
1:Ins:C:0	1.28E-08	2.06E-07	2.12E-08	1.10E-04	9.08E-04	6.73E-08	6.71E-08	5.70E-04	8.65E-04	1.62E-07	1.21E-04	2.40E-08	8.87E-07	9.53E-08	5.95E-07	3.24E-07
1:Ins:C:1	5.29E-08	1.31E-07	4.10E-08	2.11E-08	1.57E-03	3.04E-05	1.20E-07	8.05E-08	2.18E-03	4.21E-07	4.43E-07	3.42E-03	1.17E-04	4.15E-07	2.62E-07	2.15E-03
1:Ins:C:2	6.15E-09	1.98E-04	4.46E-08	5.52E-05	4.13E-04	2.11E-04	3.49E-07	9.62E-08	1.50E-03	1.61E-03	2.51E-04	1.04E-03	4.40E-07	1.35E-04	9.69E-04	9.40E-04
1:Ins:C:3	9.81E-05	3.18E-08	9.15E-05	9.21E-08	6.52E-08	2.65E-08	3.60E-08	1.10E-04	1.85E-08	1.69E-07	1.97E-07	5.86E-04	3.89E-07	6.90E-05	8.57E-04	2.33E-03
1:Ins:C:4	1.72E-04	1.10E-05	3.46E-08	9.52E-03	0.00E+00	2.84E-08	0.00E+00	1.51E-02	2.73E-05	2.23E-08	1.82E-03	3.00E-06	1.37E-02	2.88E-03	3.51E-03	5.55E-02
1:Ins:C:5	1.25E-03	3.84E-03	5.69E-08	8.18E-08	1.71E-03	1.03E-02	2.48E-03	1.82E-06	2.99E-03	8.47E-03	5.70E-04	4.35E-02	8.67E-02	3.37E-06	5.81E-03	5.47E-02
1:Ins:T:0	4.49E-08	6.96E-04	2.05E-08	8.36E-09	4.74E-08	4.91E-03	1.08E-02	5.59E-03	1.06E-03	2.33E-03	1.71E-03	3.81E-08	1.32E-03	4.82E-04	4.61E-03	1.09E-02
1:Ins:T:1	9.73E-05	2.70E-05	0.00E+00	1.05E-04	5.55E-04	3.77E-03	2.15E-03	1.54E-03	8.10E-03	7.98E-03	3.90E-03	3.79E-03	1.77E-03	3.43E-03	3.94E-03	5.75E-03
1:Ins:T:2	2.77E-08	6.26E-08	7.60E-07	5.04E-02	1.74E-06	5.25E-03	1.06E-06	9.69E-02	6.07E-46	2.36E-07	1.64E-07	6.92E-03	7.78E-02	3.71E-02	5.80E-07	4.74E-06
1:Ins:T:3	2.83E-08	1.46E-03	8.47E-04	4.65E-07	1.46E-04	6.94E-04	1.42E-03	9.43E-04	0.00E+00	0.00E+00	6.91E-04	1.36E-02	1.44E-02	0.00E+00	9.24E-03	8.22E-04
1:Ins:T:4	5.24E-08	1.90E-04	1.67E-03	2.68E-04	4.61E-08	9.98E-08	1.62E-07	6.13E-07	0.00E+00	4.89E-08	1.40E-46	3.24E-07	1.27E-02	6.23E-07	3.52E-02	7.96E-02
