NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	171.262	59.357	56.613	46.165	0.391	0.867	30000.0
2	170.465	58.206	58.171	46.743	0.367	0.867	20000.0
3	168.127	58.559	55.614	46.145	0.384	0.866	20000.0
4	170.93	59.284	58.632	47.896	0.38	0.856	20000.0
5	168.234	58.085	55.726	45.718	0.377	0.868	20000.0
6	163.831	56.252	55.105	44.782	0.368	0.873	20000.0
7	167.721	58.029	55.156	45.258	0.382	0.871	30000.0
8	168.592	58.456	55.495	45.912	0.383	0.866	30000.0
9	171.201	58.873	58.161	47.0	0.379	0.861	30000.0
10	169.719	59.238	55.955	46.604	0.389	0.861	20000.0
