NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	52.928	19.927	12.936	12.372	0.125	0.988	30000.0
2	51.003	18.845	12.036	11.078	0.119	0.992	110000.0
3	55.514	20.233	13.802	12.453	0.115	0.99	40000.0
4	49.693	18.295	11.569	10.745	0.114	0.992	30000.0
5	55.97	20.407	13.88	12.379	0.124	0.99	40000.0
6	50.122	18.646	12.065	10.956	0.114	0.992	40000.0
7	53.096	19.876	12.465	11.62	0.122	0.991	50000.0
8	54.945	20.03	13.573	11.922	0.117	0.991	30000.0
9	50.349	19.156	11.84	11.315	0.12	0.991	50000.0
10	53.504	19.873	12.437	11.549	0.122	0.991	80000.0
