NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	61.383	19.94	13.885	10.375	0.123	0.992	30000.0
2	61.568	19.874	13.766	10.28	0.121	0.993	30000.0
3	61.914	19.895	13.838	10.269	0.121	0.993	30000.0
4	61.253	20.209	13.638	10.361	0.129	0.992	30000.0
5	60.343	19.596	13.442	10.118	0.123	0.992	30000.0
6	60.815	19.593	13.309	9.965	0.123	0.993	30000.0
7	60.859	19.928	13.255	10.142	0.123	0.993	20000.0
8	60.701	19.709	13.616	10.108	0.123	0.993	30000.0
9	61.563	20.093	13.969	10.651	0.127	0.992	20000.0
10	60.322	19.404	13.311	9.839	0.121	0.993	20000.0
