NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	55.21	21.256	13.517	13.389	0.117	0.987	40000.0
2	56.085	22.193	13.967	14.742	0.111	0.983	40000.0
3	57.04	22.302	14.694	14.744	0.111	0.985	30000.0
4	55.572	21.34	13.779	14.06	0.114	0.986	40000.0
5	56.287	22.276	13.919	14.709	0.119	0.985	30000.0
6	57.245	22.271	13.977	14.459	0.115	0.984	50000.0
7	56.238	22.2	14.064	14.91	0.114	0.983	30000.0
8	59.081	23.253	15.099	15.468	0.121	0.982	50000.0
9	58.336	22.634	14.567	14.823	0.118	0.983	60000.0
10	57.978	22.713	14.384	14.678	0.119	0.985	40000.0
