Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	24	27	82	155	0	7	27	7	1	10	0	7	6	0	8
V2	42	86	89	5	43	141	65	347	21	8	0	41	0	0	0
V3	36	12	4	30	28	86	1	14	14	22	3	28	0	0	4
V4	23	30	59	15	4	16	40	9	14	0	0	0	1	0	0
V5	24	34	9	36	31	76	7	48	9	20	0	18	15	0	41
V6	2	60	50	24	6	2	29	3	13	14	26	21	15	0	0
V7	21	339	21	9	0	11	15	10	144	0	0	17	0	0	0
V8	3	16	22	21	40	0	2	0	6	0	0	0	5	0	41
V9	4	49	204	126	17	15	96	0	12	22	43	0	4	17	0
V10	2	174	0	1	6	72	0	54	128	0	0	13	17	0	2
V11	0	11	63	63	0	0	39	0	10	0	24	0	0	0	6
V12	282	39	4	0	29	73	0	4	0	24	6	78	0	0	0
V13	12	101	0	9	48	0	36	0	20	28	0	0	41	30	10
V14	0	0	28	54	85	13	46	20	0	18	92	0	21	0	0
V15	72	481	0	2	1	4	0	9	20	0	0	0	9	1	0
V16	21	70	15	3	11	0	30	2	10	22	0	4	12	0	1
V17	10	56	4	6	2	30	3	2	7	3	0	17	0	0	0
V18	25	24	0	39	0	0	0	0	3	0	2	0	0	4	1
V19	11	3	19	16	60	9	17	15	0	15	0	14	0	0	19
V20	7	35	55	0	8	0	29	0	10	2	0	0	0	0	0
V21	7	46	11	7	3	27	7	40	31	0	0	0	9	0	0
V22	29	3	0	17	77	27	0	14	0	25	16	15	21	0	4
V23	40	0	135	67	46	0	43	12	8	16	0	29	0	21	9
V24	192	0	44	117	0	1	19	1	0	0	1	5	3	3	1
V25	1	38	30	10	0	1	3	0	10	0	0	6	0	0	0
V26	0	7	86	0	17	0	21	2	0	88	3	0	47	0	18
V27	86	171	10	20	3	4	21	0	125	0	0	1	13	0	2
V28	524	2	7	0	1	0	2	0	4	0	0	0	0	0	2
V29	13	74	87	63	37	0	39	0	61	33	0	0	37	0	3
V30	5	21	4	4	3	0	0	0	18	4	4	0	0	0	0
V31	0	0	87	72	18	1	53	0	0	3	38	0	25	0	0
V32	0	27	47	1	0	0	37	0	3	0	0	11	0	0	1
V33	0	3	1	22	35	1	20	0	0	1	38	0	14	0	0
V34	155	0	107	26	15	46	28	50	0	0	35	0	0	32	0
V35	21	2	11	93	9	23	12	9	0	9	15	17	11	0	10
V36	14	0	280	57	10	6	32	5	0	13	0	0	0	53	1
V37	4	16	6	2	0	92	6	11	6	0	0	0	0	1	0
V38	16	23	52	0	5	3	15	12	26	0	0	0	0	0	0
V39	1	53	20	15	21	2	35	0	36	7	0	4	3	0	0
V40	18	23	38	54	20	1	11	1	1	1	15	4	0	3	11
V41	1	75	6	14	89	52	0	26	38	58	0	0	0	2	0
V42	39	8	0	53	22	1	0	1	7	3	0	0	8	0	0
V43	0	286	2	0	57	21	0	0	30	31	14	37	2	0	22
V44	5	3	48	0	31	1	41	18	0	21	0	0	0	0	13
V45	0	18	30	36	0	1	49	0	3	0	16	1	3	0	3
V46	21	57	0	104	6	34	0	34	7	0	5	0	18	11	30
V47	12	97	1	0	0	8	1	29	48	8	0	0	13	13	3
V48	3	2	79	59	2	18	22	15	0	3	0	10	0	0	6
V49	72	444	1	4	17	12	0	6	42	23	0	0	6	0	6
V50	3	88	37	39	3	1	21	0	23	5	0	0	11	11	0
V51	16	4	27	10	77	14	8	5	3	33	0	0	0	17	2
V52	136	14	76	6	9	0	68	0	17	0	0	0	0	0	0
V53	7	0	98	54	51	101	85	188	2	0	0	20	0	0	37
V54	89	8	0	107	0	0	0	0	0	1	71	0	10	0	17
V55	6	50	37	5	2	4	31	12	6	0	0	0	2	0	2
V56	129	0	11	28	17	0	0	0	0	33	71	0	14	17	0
V57	57	11	2	67	15	1	0	1	13	0	1	3	0	0	13
V58	74	205	24	32	40	0	16	4	50	15	0	5	0	0	51
V59	1	0	70	21	33	17	60	28	0	36	11	63	4	0	0
V60	62	61	5	14	3	19	1	130	15	26	0	27	0	0	11
V61	0	11	54	162	0	5	115	5	1	0	11	0	7	0	0
V62	91	90	21	49	10	7	40	8	15	3	36	6	5	0	18
V63	15	14	17	0	10	0	26	0	0	8	0	0	9	7	7
V64	95	52	20	0	43	0	17	0	8	8	0	0	12	0	15
V65	427	31	47	3	15	56	22	35	1	6	2	79	24	0	0
V66	77	35	31	1	15	19	3	10	7	0	0	6	17	26	1
V67	13	3	22	1	21	41	23	72	4	17	0	82	0	0	0
V68	0	25	9	15	4	0	5	4	7	1	0	0	3	0	12
V69	21	30	1	0	35	58	0	14	3	19	0	0	5	1	0
V70	103	2	8	0	1	0	0	0	0	0	8	5	0	0	9
V71	0	1	2	23	3	5	0	3	0	0	12	3	2	0	0
V72	11	5	0	162	23	10	2	15	6	11	76	0	18	0	8
V73	0	0	4	112	76	9	2	0	0	21	0	6	27	0	16
V74	48	96	21	25	2	4	10	0	10	3	40	12	9	22	0
V75	7	32	94	10	9	6	28	0	4	1	0	12	0	0	0
V76	11	13	1	6	18	0	0	0	0	16	0	0	4	0	5
V77	0	40	1	0	41	137	0	67	23	8	24	0	7	0	0
V78	34	111	10	24	9	6	6	22	16	22	8	53	0	0	0
V79	137	6	1	73	2	0	0	0	0	0	34	0	0	0	9
