Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	92	15	46	32	23	3	5	0	8	0	11	0	0	0	20	0	0	0	0
V2	13	0	41	0	19	16	0	0	19	9	0	2	0	12	23	1	0	0	0
V3	16	1	54	16	0	10	6	16	29	12	0	27	0	3	0	10	0	2	0
V4	0	5	1	0	0	11	0	6	0	1	16	1	0	5	0	2	0	0	0
V5	139	55	19	1	6	18	0	40	20	2	0	0	0	11	0	0	9	0	4
V6	16	1	100	39	84	10	17	0	42	0	0	7	0	15	41	0	2	2	0
V7	111	4	27	0	43	1	0	0	43	2	1	0	0	0	0	0	0	1	1
V8	20	55	3	4	0	0	4	0	5	0	0	0	13	3	4	4	0	0	7
V9	1	0	40	10	0	4	3	0	7	11	13	0	1	0	2	0	2	0	0
V10	28	1	43	86	5	0	30	0	0	0	1	0	0	0	0	0	0	2	0
V11	37	0	0	21	0	57	3	7	0	36	0	15	0	15	15	0	23	0	0
V12	0	32	41	17	3	0	8	0	0	4	4	0	0	0	3	0	0	5	0
V13	0	68	8	6	0	0	3	0	0	9	0	0	33	8	0	0	0	4	0
V14	126	72	3	2	0	8	1	0	0	0	4	1	5	0	0	4	0	0	9
V15	52	25	10	13	14	0	10	0	16	0	0	0	0	0	2	0	0	1	0
V16	76	48	12	4	0	15	1	20	0	14	0	0	1	5	0	0	1	1	1
V17	27	0	5	21	2	9	7	0	0	2	5	0	0	0	7	0	0	0	0
V18	5	16	34	1	2	12	5	4	0	3	5	0	17	1	10	0	0	0	0
V19	128	87	50	0	0	0	0	0	0	1	9	0	4	0	0	0	0	5	0
V20	26	29	109	1	9	0	0	1	5	0	2	0	27	2	0	0	2	8	0
V21	20	1	23	0	0	18	0	5	0	24	23	0	0	17	0	12	0	0	0
V22	28	0	23	52	1	29	38	55	0	29	0	0	0	0	1	0	0	0	0
V23	7	147	52	104	23	38	50	4	52	14	5	49	13	5	18	0	0	7	2
V24	18	72	2	2	4	3	3	0	0	5	0	0	60	0	8	0	0	3	0
V25	18	43	15	18	3	29	4	4	17	35	0	7	0	17	0	0	1	0	14
V26	3	374	109	3	0	0	0	1	0	0	39	0	34	3	1	0	0	9	9
V27	3	8	0	0	0	109	0	56	0	22	19	24	0	42	0	22	0	0	0
V28	173	0	295	95	33	0	25	17	12	12	0	21	0	5	3	0	22	14	0
V29	71	48	68	0	0	3	1	5	11	5	26	0	0	0	0	0	0	6	0
V30	76	90	36	6	0	12	0	19	1	24	0	0	0	5	0	0	0	3	0
V31	63	0	80	13	56	5	12	0	40	0	1	7	0	0	0	0	0	4	1
V32	29	8	6	1	42	7	3	2	0	2	0	1	0	17	0	0	0	0	0
V33	83	57	9	14	0	0	5	0	0	1	21	0	24	0	0	0	0	0	6
V34	0	14	4	0	19	45	0	33	7	32	24	34	0	26	0	3	0	0	0
V35	0	6	0	3	113	6	0	2	0	0	0	2	0	1	30	0	0	0	0
V36	98	240	18	0	5	0	0	0	7	22	32	0	72	0	0	0	0	12	0
V37	90	141	0	100	1	1	54	2	0	8	13	0	24	0	1	0	0	1	0
V38	54	0	28	8	3	0	1	2	0	0	0	0	0	0	4	0	0	8	0
V39	25	21	0	0	127	14	0	10	5	3	0	0	0	21	0	26	0	0	1
V40	49	238	3	19	0	23	26	0	0	25	31	4	0	12	15	3	0	4	0
V41	7	2	1	53	0	14	22	16	0	0	0	0	0	8	2	0	3	0	0
V42	0	10	101	32	37	0	13	0	12	0	6	1	0	0	0	0	0	14	0
V43	2	134	54	79	0	0	28	0	0	0	29	0	19	0	0	0	0	10	0
V44	125	1	1	1	5	2	4	7	3	5	0	19	0	0	0	21	0	0	0
V45	0	2	1	175	89	3	102	0	31	0	0	0	0	0	7	0	1	0	0
V46	2	37	27	57	7	5	12	0	3	3	0	2	0	0	6	0	0	11	0
V47	142	0	6	20	10	1	7	0	0	0	0	0	1	1	3	0	0	0	0
V48	39	50	0	26	0	58	14	23	0	17	0	15	0	0	0	1	3	0	0
V49	76	19	1	16	0	0	2	6	0	4	7	0	0	0	7	0	2	0	0
V50	2	0	25	20	0	13	6	21	0	2	5	0	0	0	0	0	24	2	0
V51	79	29	8	0	0	2	0	11	0	0	0	12	10	5	1	0	0	4	0
V52	6	3	0	41	80	0	27	0	20	1	0	0	0	4	0	0	5	0	0
V53	205	10	0	10	154	33	0	16	43	0	0	12	0	18	5	11	0	0	0
V54	24	4	2	10	31	11	1	2	11	5	0	0	0	0	16	0	0	0	10
V55	0	0	54	0	124	43	0	40	28	19	5	25	0	17	0	40	0	0	0
V56	86	172	39	4	0	11	0	9	51	64	0	66	0	6	17	0	6	0	0
V57	23	29	25	30	0	0	8	6	5	15	13	0	0	1	1	1	0	0	0
V58	44	91	97	67	0	0	55	0	0	6	2	0	18	1	6	0	8	1	0
V59	13	8	1	3	0	67	2	25	28	22	17	5	0	32	0	5	0	0	0
V60	124	17	5	5	0	6	0	11	12	0	0	0	0	8	14	0	0	0	7
V61	21	0	21	4	1	29	5	13	14	10	6	30	0	6	0	20	0	0	0
V62	298	5	0	16	35	4	11	11	36	2	0	4	0	6	0	0	0	0	0
V63	206	108	4	2	8	0	3	17	0	4	12	0	76	0	2	0	0	3	0
V64	47	0	100	45	38	4	18	1	3	0	0	0	13	1	17	0	9	2	12
V65	12	0	12	14	0	12	11	0	0	0	13	13	0	3	0	7	0	0	0
V66	32	11	2	8	0	0	0	6	0	8	1	0	0	0	0	6	0	1	0
V67	267	84	18	2	0	36	2	26	0	18	0	10	0	3	0	19	0	1	0
V68	5	0	28	8	47	22	7	23	0	24	3	54	0	0	2	13	31	0	0
V69	5	71	26	0	0	4	0	25	15	17	16	40	0	8	0	8	42	0	0
V70	260	15	59	0	5	0	1	0	0	0	2	0	0	0	10	0	0	0	0
V71	0	7	22	29	0	9	25	26	0	8	5	0	19	0	0	0	0	2	0
V72	42	58	19	17	3	13	16	12	10	0	0	0	26	2	0	0	0	0	0
V73	50	86	2	41	27	13	22	11	17	6	9	0	0	6	0	7	0	4	0
V74	0	0	14	26	0	2	5	6	0	3	14	0	4	9	0	0	0	0	1
V75	63	25	4	28	0	3	9	2	9	0	2	0	0	0	0	0	0	1	0
V76	38	10	200	27	3	0	7	0	0	0	0	0	0	0	4	0	13	12	0
V77	35	25	45	7	0	31	9	8	9	5	14	5	0	22	0	9	0	7	0
V78	10	0	1	63	7	24	6	27	5	2	12	21	0	11	0	13	0	0	0
V79	0	56	3	0	0	38	0	11	3	4	23	0	0	6	0	1	0	1	0
V80	2	13	45	1	5	0	0	0	0	0	2	0	0	0	7	0	11	0	0
V81	1	1	12	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
V82	0	18	114	68	17	73	28	26	0	28	60	12	0	12	1	0	0	0	12
V83	5	2	28	61	0	12	21	6	16	9	2	0	3	1	10	4	12	0	0
