MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
5:Ins:R:5	2.54E-08	1.83E-05	4.57E-08	1.62E-04	9.04E-08
2:Del:M:1	3.50E-04	3.57E-04	2.77E-04	1.83E-04	1.73E-04
3:Del:M:1	4.19E-04	7.48E-05	3.82E-04	0.00E+00	6.49E-06
3:Del:M:2	2.57E-09	6.64E-04	4.55E-04	6.10E-04	7.79E-04
4:Del:M:1	2.87E-04	1.63E-04	2.98E-04	0.00E+00	3.36E-04
4:Del:M:2	2.34E-04	7.12E-05	4.91E-05	1.87E-04	2.37E-04
4:Del:M:3	3.94E-04	0.00E+00	1.17E-03	5.98E-04	5.03E-04
5:Del:M:1	5.63E-04	8.87E-04	1.29E-03	1.11E-03	1.89E-04
5:Del:M:2	5.04E-04	5.25E-04	9.05E-04	3.02E-04	2.05E-04
5:Del:M:3	3.16E-04	3.04E-04	4.22E-04	3.73E-04	0.00E+00
5:Del:M:4	3.16E-04	1.91E-04	2.31E-04	1.26E-04	5.46E-04
5:Del:M:5	2.92E-05	1.07E-04	2.26E-04	1.91E-04	4.22E-04
