Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
V1	3	4	46	39	1	5	21	3	0	0
V2	42	91	60	1	4	0	0	26	39	0
V3	21	20	97	0	0	0	24	9	10	0
V4	31	27	3	7	0	2	0	0	0	2
V5	22	18	0	99	32	108	0	9	0	0
V6	128	8	73	126	1	144	0	125	0	0
V7	185	0	7	100	57	0	22	56	0	43
V8	45	1	11	83	52	9	0	41	0	0
V9	32	1	15	18	6	0	16	0	0	11
V10	40	8	0	32	22	0	5	0	0	25
V11	3	73	9	39	22	0	31	5	6	0
V12	89	70	0	19	145	0	61	65	30	39
V13	84	0	44	15	11	0	31	2	17	21
V14	0	45	14	241	103	153	2	0	0	0
V15	1	72	7	0	104	2	0	0	10	0
V16	3	56	20	76	62	65	0	28	5	0
V17	38	19	5	2	4	0	33	0	60	26
V18	100	65	18	0	0	0	0	56	0	0
V19	41	39	31	0	34	37	0	2	68	0
V20	0	11	0	24	53	42	34	0	0	0
V21	0	35	12	20	6	2	108	12	4	5
V22	6	7	47	0	52	0	81	4	0	0
V23	32	4	0	0	11	11	2	30	5	0
V24	82	32	17	95	68	99	36	144	0	0
V25	146	15	11	330	52	58	191	14	0	0
V26	2	11	38	3	7	1	111	0	4	0
V27	0	20	6	27	56	10	13	0	0	24
V28	0	0	0	124	25	64	7	16	0	0
V29	2	3	125	49	20	24	48	19	0	0
V30	84	5	20	124	73	93	60	0	0	39
V31	0	26	171	28	0	33	33	11	31	52
V32	156	63	0	66	3	43	56	81	0	0
V33	32	25	0	23	211	0	0	26	73	7
V34	19	27	0	46	109	102	25	60	22	0
V35	155	96	0	17	0	37	11	0	0	16
V36	0	45	229	63	0	119	0	0	0	0
V37	1	1	0	5	13	2	14	0	0	0
V38	21	16	33	49	7	59	0	26	0	0
V39	5	7	63	37	19	75	0	15	0	0
V40	13	35	212	6	92	0	28	4	0	3
V41	3	39	14	2	1	5	0	0	0	0
V42	0	2	1	0	25	5	12	0	0	0
V43	0	8	0	0	15	0	17	3	0	40
V44	18	8	54	52	7	0	87	5	0	0
V45	99	285	0	201	15	96	0	76	0	0
V46	81	1	10	5	89	0	9	38	29	0
V47	17	3	43	0	57	11	16	2	0	0
V48	11	12	77	0	12	4	55	0	0	11
V49	18	100	18	0	0	2	4	0	0	14
V50	189	20	0	14	15	13	2	77	0	0
V51	7	6	22	13	0	5	0	0	16	15
V52	6	0	145	96	10	34	0	24	48	0
V53	0	0	227	35	15	0	1	0	3	19
V54	2	1	4	0	111	6	57	0	0	29
V55	3	53	1	42	2	13	10	1	6	0
V56	66	53	10	16	0	0	183	66	0	1
V57	5	24	173	15	101	18	37	0	27	116
V58	1	2	0	13	35	0	1	0	0	0
V59	22	71	184	40	34	1	0	11	111	0
V60	57	9	31	31	9	9	23	3	0	0
V61	2	198	196	0	49	0	0	0	184	0
V62	284	0	4	22	57	0	4	29	0	0
V63	1	41	10	115	11	0	113	6	0	22
V64	0	47	245	3	80	1	2	1	132	0
V65	0	267	0	80	62	133	0	18	0	0
V66	0	59	52	2	84	4	6	0	0	0
V67	49	0	3	32	56	39	0	0	7	0
V68	185	3	6	15	15	2	0	68	0	0
V69	5	96	5	108	12	70	0	12	2	0
V70	7	5	0	7	7	22	227	0	6	0
V71	57	34	61	0	24	0	24	41	17	113
V72	7	129	4	39	3	8	47	0	7	0
V73	46	76	60	10	146	0	0	30	42	0
V74	0	50	2	50	4	31	5	0	0	0
V75	150	92	0	80	39	74	0	54	0	0
V76	66	45	0	0	23	4	16	38	0	7
V77	0	19	5	3	4	12	74	1	0	0
V78	0	0	272	4	1	0	38	0	77	102
V79	144	0	3	26	1	33	0	36	0	0
V80	93	29	45	68	1	7	50	66	9	0
V81	182	52	45	44	4	0	12	60	42	36
V82	120	114	82	4	25	0	0	75	0	0
V83	1	38	28	252	0	44	6	12	9	14
V84	31	0	384	6	0	11	0	0	49	25
V85	35	12	27	18	36	21	115	40	0	0
V86	98	2	3	0	0	12	7	24	0	24
V87	2	29	115	20	4	7	8	1	38	1
V88	109	0	49	22	0	20	5	13	1	0
V89	70	310	21	72	0	57	0	46	0	0
V90	10	1	13	5	12	26	51	11	0	23
V91	30	0	11	21	32	24	9	13	26	0
V92	54	23	3	53	77	12	14	40	0	52
V93	27	186	64	33	8	17	0	12	0	7
V94	101	152	16	4	0	12	55	0	0	82
V95	38	183	21	2	9	17	7	35	0	0
V96	0	144	1	108	22	134	0	5	0	0
V97	26	0	10	12	0	0	4	35	0	13
V98	103	53	0	3	29	0	53	118	0	15
V99	0	71	0	359	51	197	22	0	0	0
V100	23	4	1	0	0	0	11	1	11	11
