Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
V1	1.04E+00	7.31E-01	3.82E+00	3.73E+00	2.33E-01	4.23E+00	1.95E+00	9.12E-01	2.14E+00	1.84E+00
V2	5.37E+00	3.04E+00	1.19E+01	3.94E-01	8.27E-01	2.80E+00	0.00E+00	5.38E+00	6.94E+00	9.10E+00
V3	2.61E+00	1.60E+00	8.11E+00	0.00E+00	0.00E+00	2.59E+00	2.89E+00	1.97E+00	4.96E+00	7.84E+00
V4	2.07E+00	1.30E+00	1.40E+00	5.73E-01	0.00E+00	8.44E-01	0.00E+00	1.93E+00	8.00E-01	1.11E+00
V5	2.93E+00	2.48E+00	3.00E-01	2.01E+01	1.38E+00	1.98E+01	7.92E-01	2.66E+00	8.33E-01	5.54E-01
V6	2.40E+01	2.35E+00	4.86E+00	2.47E+01	2.60E-01	2.53E+01	3.08E+00	2.42E+01	4.85E+00	6.67E+00
V7	1.94E+01	1.33E-01	3.64E+00	7.06E+00	2.07E+00	7.61E+00	6.54E+00	1.84E+01	3.60E+00	6.63E+00
V8	7.01E+00	6.40E-01	2.38E+00	8.73E+00	2.70E+00	9.13E+00	0.00E+00	6.25E+00	1.50E+00	3.68E+00
V9	4.30E+00	2.33E-01	2.52E+00	1.70E+00	7.95E-01	2.00E+00	1.53E+00	4.97E+00	1.78E+00	9.55E-01
V10	4.11E+00	8.09E-01	0.00E+00	2.30E+00	2.24E+00	4.67E+00	2.06E+00	2.04E+00	0.00E+00	4.06E+00
V11	9.67E-01	6.42E+00	1.25E+00	3.08E+00	1.40E+00	3.53E+00	4.19E+00	1.37E+00	6.00E+00	5.55E+00
V12	1.19E+01	8.30E+00	3.59E+00	2.44E+00	5.00E+00	2.32E+00	7.55E+00	1.33E+01	8.58E+00	1.05E+01
V13	9.84E+00	4.58E-01	3.24E+00	2.19E+00	1.44E+00	4.69E+00	3.76E+00	1.05E+01	4.68E+00	6.42E+00
V14	3.03E+00	4.26E+00	2.31E+00	3.35E+01	4.31E+00	3.60E+01	1.98E+00	2.29E+00	2.31E+00	4.90E+00
V15	6.32E-01	2.10E+00	1.60E+00	1.63E-01	2.97E+00	1.59E+00	0.00E+00	2.00E-01	1.80E+00	6.40E-01
V16	3.51E+00	7.73E+00	4.21E+00	1.21E+01	3.83E+00	1.39E+01	0.00E+00	7.49E+00	8.10E+00	5.56E+00
V17	3.86E+00	2.97E+00	3.11E+00	6.33E-01	1.91E+00	1.57E+00	6.16E+00	2.20E+00	7.74E+00	8.82E+00
V18	1.78E+01	3.30E+00	2.75E+00	0.00E+00	0.00E+00	2.98E+00	0.00E+00	1.94E+01	1.49E+00	0.00E+00
V19	4.14E+00	2.71E+00	8.43E+00	2.67E+00	1.98E+00	4.50E+00	1.53E-01	6.30E+00	5.45E+00	8.14E+00
V20	7.75E-01	1.08E+00	5.12E-01	5.87E+00	2.17E+00	7.94E+00	2.93E+00	1.66E+00	8.00E-01	3.44E+00
V21	1.43E+00	1.45E+00	2.88E+00	2.62E+00	8.23E-01	2.20E+00	5.12E+00	1.78E+00	2.99E+00	7.91E+00
V22	1.42E+00	1.37E+00	4.46E+00	0.00E+00	3.45E+00	2.98E+00	5.04E+00	1.85E+00	1.16E+00	6.14E+00
V23	5.99E+00	1.06E+00	1.04E+00	8.00E-01	1.63E+00	7.63E-01	9.29E-01	6.31E+00	2.05E+00	1.68E+00
V24	2.41E+01	3.52E+00	4.02E+00	1.63E+01	3.81E+00	1.70E+01	5.53E+00	2.40E+01	4.28E+00	4.68E+00
V25	1.70E+01	1.23E+00	3.02E+00	2.22E+01	2.53E+00	2.58E+01	5.80E+00	1.86E+01	4.57E+00	2.47E+00
V26	4.99E-01	1.51E+00	3.09E+00	9.21E-01	1.04E+00	1.70E+00	8.38E+00	1.42E+00	9.84E+00	6.69E+00
V27	1.20E+00	1.29E+00	1.63E+00	3.82E+00	2.13E+00	4.12E+00	2.06E+00	1.10E+00	2.59E+00	1.84E+00
V28	2.10E+00	7.03E-01	9.98E-01	1.43E+01	1.14E+00	1.46E+01	2.39E+00	2.96E+00	2.24E+00	1.71E+00
V29	2.24E+00	8.49E-01	1.04E+01	6.38E+00	1.38E+00	7.55E+00	3.22E+00	4.51E+00	7.92E+00	4.37E+00
V30	1.07E+01	1.21E+00	4.44E+00	1.48E+01	3.36E+00	1.57E+01	3.38E+00	8.07E+00	4.78E+00	7.44E+00
V31	1.94E+00	2.54E+00	2.13E+01	5.02E+00	5.12E-01	8.78E+00	5.11E+00	2.98E+00	1.89E+01	1.72E+01
V32	1.60E+01	3.91E+00	0.00E+00	9.76E+00	7.48E-01	1.58E+01	6.61E+00	1.75E+01	2.12E+00	5.14E+00
V33	6.14E+00	4.30E+00	3.26E+00	2.15E+00	6.95E+00	3.22E+00	1.21E+00	5.12E+00	6.00E+00	8.31E+00
V34	5.31E+00	5.02E+00	4.46E+00	1.11E+01	3.25E+00	1.08E+01	4.05E+00	7.12E+00	3.49E+00	6.23E+00
V35	7.94E+00	2.94E+00	5.58E-01	4.38E+00	0.00E+00	4.69E+00	3.28E+00	9.65E+00	2.64E+00	9.72E+00
V36	1.33E-01	4.59E+00	1.34E+01	1.49E+01	0.00E+00	1.82E+01	1.07E+00	6.53E-01	6.81E+00	9.65E+00
V37	4.58E-01	2.21E-01	0.00E+00	1.14E+00	8.20E-01	6.99E-01	6.53E-01	5.00E-01	2.00E-01	0.00E+00
V38	3.51E+00	9.89E-01	5.55E+00	1.08E+01	8.75E-01	9.44E+00	7.67E-01	4.67E+00	5.80E+00	2.04E+00
V39	2.63E+00	1.17E+00	9.50E+00	7.24E+00	1.98E+00	7.18E+00	1.04E+00	2.23E+00	8.31E+00	7.51E+00
V40	1.01E+00	3.15E+00	1.51E+01	8.16E-01	5.05E+00	4.87E+00	4.02E+00	2.39E+00	1.47E+01	9.52E+00
V41	6.36E-01	2.60E+00	1.67E+00	9.04E-01	3.00E-01	6.70E-01	0.00E+00	0.00E+00	2.80E+00	1.49E+00
V42	0.00E+00	4.22E-01	4.01E-01	6.86E-01	8.60E-01	2.21E-01	1.44E+00	1.00E-01	5.86E-01	9.21E-01
V43	9.12E-01	1.50E+00	1.93E+00	2.00E-01	1.01E+00	0.00E+00	4.84E+00	1.63E+00	2.68E+00	5.63E+00
V44	2.80E+00	1.18E+00	3.81E+00	3.10E+00	8.16E-01	3.93E+00	4.81E+00	3.33E+00	5.38E+00	5.02E+00
V45	1.56E+01	4.51E+00	6.40E-01	2.10E+01	1.40E+00	2.61E+01	1.33E+00	1.81E+01	2.78E+00	8.95E-01
V46	1.16E+01	1.45E+00	2.80E+00	8.33E-01	5.26E+00	7.92E-01	2.30E+00	1.25E+01	5.46E+00	4.75E+00
V47	1.80E+00	6.36E-01	4.93E+00	1.40E+00	2.11E+00	2.53E+00	2.30E+00	1.62E+00	4.48E+00	5.79E+00
