NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	75.774	27.033	19.8	17.012	0.167	0.977	20000.0
2	74.401	26.515	19.171	16.431	0.161	0.98	30000.0
3	75.625	27.337	19.808	17.216	0.167	0.977	20000.0
4	73.578	26.375	18.622	16.282	0.165	0.979	30000.0
5	74.626	26.836	18.877	16.524	0.165	0.979	30000.0
6	75.206	26.72	19.306	16.518	0.163	0.98	30000.0
7	74.541	26.636	19.152	16.585	0.166	0.979	50000.0
8	74.927	26.948	18.998	16.456	0.164	0.98	20000.0
9	74.39	26.586	19.261	16.476	0.163	0.979	40000.0
10	73.877	26.46	18.619	15.98	0.164	0.981	20000.0
