MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Del:C:0	2.576042561486247e-08	1.275678982892714e-07	6.98770108442659e-09	0.0012747201553679588	0.7316735774278641	0.0168765127658844	0.005909201071915504	0.09923877753317356	9.586233773006825e-07	0.005671510292893344	0.0007376697494464679	0.05745875835418701	0.10011314786970615	0.008823642409464583	1.5858996675888194e-07	3.0824767236481423e-07	0.012260711466569773	0.17340924609146668
1:Del:C:1	0.0	0.00014345006784424185	1.4012984643248171e-46	0.017571646924079688	0.058891346488417186	0.0039588144514709715	3.455819069131394e-07	0.004183950697688487	0.011385116361634574	0.008902287978446565	0.009018505507629015	0.12687419764697552	0.28038614080287516	0.0055121973156929014	0.01825751578435302	1.4012984643248171e-46	0.018121772672111548	0.012710345430969027
1:Del:C:2	1.143624288602041e-08	0.00030606179569474533	1.1063510783060337e-07	0.001175845357986205	2.5380403059216403e-07	0.0009984295861158899	0.0006135212535525625	0.0002582609420642257	0.004844290920755156	0.0012735926190316604	0.00719755019463264	0.0016807212959975004	0.0034912912640720608	0.004956695809960365	4.572027592075756e-07	0.0019854074411796317	0.008152119367821342	0.003962325095199048
1:Del:C:3	0.0005349476356059313	0.001146883565331791	0.0	0.004357608751161024	0.009570458740927278	0.0158965690410696	0.0025150433066301048	0.019422164373099803	0.002220586318966866	0.0015248715877532958	0.0	0.011794829042628407	0.012936424743384124	0.005812979210168124	0.0035218299366533757	0.015620891235357703	0.009132463298738003	0.03557475598726682
1:Del:C:4	0.0009708478068887416	0.00364374773344025	9.067735691417055e-05	0.018864982639206572	0.004884447040785745	0.001606180123053491	0.0	0.0019784878722930443	0.0	0.0	0.008197445305995643	0.013999819569289685	0.013713662140071392	0.008284579403698445	0.0016935162246227264	0.0009658396244049072	0.0008894378319382667	0.037807014863938095
1:Del:C:5	0.0005420483870693715	0.002967199301929213	0.0	0.00017124325968325137	0.0	0.023174992948770522	0.0	0.0001614771783351898	0.0037957576496410184	0.007133988558780402	0.008913506381213665	3.87987500289455e-05	0.003911181313128509	0.004352791048586368	0.006423156066034608	0.0763457752764225	0.0010654645971953868	0.01112088856752962
1:Del:T:0	0.0005421660142019391	0.0011599225457757712	0.0013986257836222649	0.007634660601615906	0.019174312055110932	0.0076916289515793325	0.000862399156903848	0.32602197080850603	0.03699358021840453	0.024047856172546744	0.006103696534410119	0.0999867781996727	0.029411216638982295	0.024527516588568686	0.0	0.033530079573392865	0.023810942750424148	0.009979155915789305
1:Del:T:1	0.0	0.0	4.92490592307604e-08	0.015033178485464305	0.01149393329396844	9.781125527297263e-08	0.0015165605317520204	0.01870844531804323	0.0012842703434898795	0.0	0.003204310748333228	0.11835552770644427	0.06631416504692425	0.009911842803194303	0.0	0.0016930851634242572	0.0017957676339847239	0.003421910293400288
1:Del:T:2	0.00021296462509781122	0.004045656841481104	0.00029567305464297535	0.0007679697941057384	0.032014288198788196	0.002422316838055849	0.0015105322003364564	0.17577683813869954	4.203895392974451e-46	1.683837808741373e-07	0.0068528692820109425	0.05851243808865547	0.068865439388901	0.014032186567783355	0.009346067160367965	0.004418580979108811	0.03305880296975374	0.024761669578708734
1:Del:T:3	1.4012984643248171e-46	0.007390456274151802	0.0037580352043733002	0.0024402203399063183	0.05366149283945561	0.03263424700126052	0.002308485936373472	0.17822270691394806	1.2611686178923354e-45	0.0023106352193281053	0.011120407915586838	0.03883269764482975	0.026018846780061722	0.30846441593021157	0.0019807966597909397	0.01546422247774899	0.0006506818346679211	0.010529651958495378
1:Del:T:4	0.000527021158768548	0.007991051487624645	0.00016082279616966844	0.003902023658156395	0.03420612930785864	0.09124652855098248	0.03430647547356784	0.04632695950567722	0.002640329673886299	1.4012984643248171e-46	0.0	0.324127946048975	0.02814161404967308	0.07623153105378151	0.040270840073935686	0.12354065924882889	0.010264229215681552	0.039408108405768874
1:Del:T:5	6.576235108468609e-07	0.9484605908393859	1.799564472548809e-07	0.02106054611504078	0.007946432093777388	0.6723183989524841	0.021998685115852366	1.1075077983336785e-33	2.0517181837931274e-07	4.49051049145055e-07	1.2849887411903183e-07	0.003688810148241828	0.11912963004787117	0.07497308596878156	0.017067843632247913	0.10175001780698949	0.03593077274740537	0.007859070216136388
1:Ins:C:0	1.8107481354689982e-05	2.657155278029677e-08	3.8627270271263114e-09	0.0002771639958154992	0.0	6.503869991405508e-05	0.0003587135623092763	0.0	0.00013683456054423005	0.001804013224526102	0.006597365625202656	0.0	0.0012930043440746886	5.54776761418907e-07	0.00026198018139211854	0.00022177866036372508	3.9425975728590855e-08	0.00021883341833017766
