NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	82.98	30.161	21.874	20.453	0.18	0.971	20000.0
2	79.895	29.245	20.684	19.642	0.179	0.974	20000.0
3	79.147	28.767	20.583	19.423	0.178	0.974	20000.0
4	79.698	28.832	20.717	19.482	0.176	0.974	60000.0
5	78.648	28.479	20.91	19.582	0.172	0.974	40000.0
6	82.186	29.899	21.649	20.218	0.183	0.972	30000.0
7	82.907	29.915	22.438	20.68	0.171	0.97	30000.0
8	82.633	30.002	21.732	20.741	0.184	0.97	30000.0
9	82.901	30.062	21.284	20.072	0.181	0.972	30000.0
10	80.007	29.614	21.117	20.16	0.187	0.971	20000.0
