Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	71	5	44	2	0
V2	71	61	0	120	11
V3	130	26	0	24	1
V4	0	34	8	30	0
V5	0	51	180	16	41
V6	120	250	224	11	0
V7	27	250	112	0	81
V8	0	75	96	0	71
V9	33	38	20	0	8
V10	0	51	38	8	35
V11	23	6	44	83	32
V12	20	153	24	88	233
V13	90	100	16	1	18
V14	0	16	361	36	145
V15	0	0	1	67	128
V16	0	31	125	64	95
V17	77	53	4	37	16
V18	8	148	0	83	0
V19	49	57	20	61	65
V20	13	7	52	10	82
V21	118	11	26	44	5
V22	100	12	0	7	78
V23	4	60	5	8	18
V24	58	208	169	41	97
V25	179	188	403	1	46
V26	144	6	5	15	7
V27	5	5	36	20	90
V28	7	19	181	0	29
V29	182	16	65	1	26
V30	84	120	189	0	105
V31	286	13	48	36	2
V32	51	238	99	80	0
V33	0	47	24	29	297
V34	5	82	112	36	175
V35	1	182	36	113	0
V36	277	0	130	49	0
V37	5	2	8	0	21
V38	46	51	91	18	5
V39	81	26	81	6	27
V40	205	11	5	33	139
V41	10	2	4	47	1
V42	1	0	3	1	40
V43	34	9	0	11	29
V44	137	24	58	7	5
V45	0	167	277	328	0
V46	0	113	6	4	139
V47	36	21	5	0	87
V48	135	14	1	13	19
V49	17	20	1	117	1
V50	0	265	22	27	16
V51	45	11	18	9	1
V52	191	24	127	3	18
V53	241	0	33	0	26
V54	20	11	3	0	176
V55	8	5	54	64	0
V56	185	121	20	69	0
V57	265	23	26	27	175
V58	0	0	11	0	41
V59	233	27	45	100	69
V60	49	66	38	9	10
V61	252	0	0	270	107
V62	0	309	20	0	71
V63	124	12	132	44	7
V64	289	0	4	72	146
V65	0	24	155	303	78
V66	15	0	4	62	126
V67	0	57	52	0	77
V68	0	251	18	7	18
V69	3	22	163	112	10
V70	228	20	22	10	1
V71	159	113	0	47	52
V72	35	7	50	152	0
V73	3	69	12	92	234
V74	5	0	76	59	2
V75	0	210	128	106	45
V76	2	103	2	57	35
V77	76	3	11	24	4
V78	459	1	4	3	27
V79	4	192	46	1	0
V80	105	145	81	37	0
V81	97	250	51	71	8
V82	64	176	5	138	37
V83	53	17	302	32	0
V84	453	29	8	1	15
V85	131	72	34	16	51
V86	26	133	6	5	0
V87	150	1	25	38	11
V88	60	126	33	0	0
V89	0	107	109	360	0
V90	84	29	20	1	18
V91	23	49	37	3	54
V92	12	100	70	24	122
V93	50	34	45	215	10
V94	98	129	10	185	0
V95	8	63	11	218	12
V96	0	23	198	170	23
V97	29	57	14	0	0
V98	52	202	5	73	42
V99	10	1	566	70	53
V100	24	31	0	7	0
