Samples	ID83A	ID83B
V1	2.94E+01	2.94E+01
V2	9.23E+00	9.23E+00
V3	1.82E+01	1.82E+01
V4	2.45E+00	2.45E+00
V5	4.99E+00	4.99E+00
V6	7.18E+01	7.18E+01
V7	1.05E+01	1.05E+01
V8	9.91E+00	9.91E+00
V9	9.92E+00	9.92E+00
V10	1.67E+00	1.67E+00
V11	9.85E+00	9.85E+00
V12	5.32E+01	5.32E+01
V13	1.18E+01	1.18E+01
V14	1.29E+01	1.29E+01
V15	1.32E+01	1.32E+01
V16	4.40E+00	4.37E+00
V17	7.07E+00	7.07E+00
V18	7.49E+00	7.49E+00
V19	6.78E+00	6.78E+00
V20	6.32E+00	6.32E+00
V21	8.49E+01	8.49E+01
V22	1.59E+01	1.59E+01
V23	3.28E+00	3.28E+00
V24	1.83E+01	1.83E+01
V25	7.48E+01	7.48E+01
V26	1.03E+01	1.03E+01
V27	5.80E+01	5.80E+01
V28	3.17E+01	3.17E+01
V29	1.27E+01	1.27E+01
V30	1.69E+01	1.69E+01
V31	1.25E+01	1.25E+01
V32	1.04E+01	1.04E+01
V33	1.30E+00	1.30E+00
V34	1.96E+01	1.96E+01
V35	1.10E+01	1.10E+01
V36	7.17E+00	7.17E+00
V37	9.17E+01	9.17E+01
V38	4.01E+01	4.01E+01
V39	3.51E+01	3.51E+01
V40	7.14E+00	7.14E+00
V41	1.97E+01	1.97E+01
V42	1.92E+00	1.92E+00
V43	5.04E+00	5.04E+00
V44	1.32E+01	1.32E+01
V45	3.97E+01	3.97E+01
V46	1.53E+01	1.53E+01
V47	2.64E+00	2.64E+00
V48	5.99E+00	5.99E+00
V49	1.80E+01	1.80E+01
V50	5.59E+01	5.59E+01
V51	1.80E+01	1.80E+01
V52	2.52E+01	2.52E+01
V53	3.98E+00	3.98E+00
V54	1.36E+01	1.36E+01
V55	4.87E+01	4.87E+01
V56	9.39E+00	9.39E+00
V57	6.69E+00	6.69E+00
V58	1.50E+01	1.50E+01
V59	2.81E+01	2.81E+01
V60	9.03E+00	9.03E+00
V61	5.76E+00	5.76E+00
V62	8.97E+00	8.97E+00
V63	2.36E+01	2.36E+01
V64	2.09E+01	2.09E+01
V65	1.33E+01	1.33E+01
V66	8.32E+00	8.32E+00
V67	1.59E+01	1.59E+01
V68	1.67E+00	1.67E+00
V69	3.86E+00	3.86E+00
V70	6.17E+01	6.17E+01
V71	8.20E+00	8.20E+00
V72	2.18E+01	2.18E+01
V73	7.70E+00	7.70E+00
V74	5.46E+00	5.46E+00
V75	4.98E+00	4.98E+00
V76	2.93E+01	2.93E+01
V77	2.27E+01	2.27E+01
V78	2.03E+01	2.03E+01
V79	6.27E+00	6.27E+00
V80	1.12E+01	1.12E+01
V81	1.24E+01	1.24E+01
V82	2.54E+01	2.54E+01
V83	7.15E+00	7.15E+00
V84	6.18E+00	6.18E+00
V85	4.63E+01	4.63E+01
V86	2.78E+01	2.78E+01
V87	4.33E+01	4.33E+01
V88	1.47E+00	1.47E+00
V89	1.51E+01	1.51E+01
V90	4.19E+01	4.19E+01
V91	2.18E+00	2.18E+00
V92	6.12E+00	6.08E+00
V93	5.72E+00	5.72E+00
V94	5.65E+00	5.65E+00
V95	1.16E+01	1.16E+01
V96	1.92E+01	1.92E+01
V97	1.49E+01	1.49E+01
V98	4.43E+00	4.43E+00
V99	1.29E+00	1.29E+00
V100	1.16E+01	1.16E+01
