NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	246.211	74.03	95.529	58.809	0.457	0.798	20000.0
2	233.568	70.271	90.845	55.099	0.427	0.816	30000.0
3	233.944	70.268	91.042	54.886	0.433	0.817	30000.0
4	234.316	70.573	91.361	55.117	0.446	0.813	20000.0
5	234.448	70.042	90.866	54.625	0.427	0.819	20000.0
6	234.832	70.244	90.531	54.563	0.43	0.82	20000.0
7	232.735	70.282	90.619	54.973	0.429	0.815	20000.0
8	231.893	69.527	89.755	54.345	0.422	0.822	40000.0
9	233.42	70.224	91.197	55.109	0.433	0.816	40000.0
10	234.043	70.011	90.405	54.713	0.425	0.819	20000.0
