NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	49.539	20.828	12.072	12.806	0.125	0.987	60000.0
2	44.622	18.279	10.794	11.371	0.108	0.99	40000.0
3	45.69	19.015	10.756	11.269	0.114	0.991	60000.0
4	46.276	19.028	10.797	11.184	0.112	0.991	50000.0
5	48.659	20.248	12.103	12.351	0.116	0.989	40000.0
6	40.508	16.966	9.093	9.794	0.108	0.993	50000.0
7	44.737	18.524	10.462	11.073	0.113	0.991	50000.0
8	47.504	20.03	11.377	12.352	0.126	0.987	40000.0
9	44.635	18.578	10.825	11.368	0.112	0.99	60000.0
10	44.955	18.832	10.751	11.472	0.117	0.99	40000.0
