NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	63.576	23.496	14.539	13.356	0.142	0.989	20000.0
2	60.951	22.17	13.856	12.478	0.133	0.991	20000.0
3	61.209	22.839	14.089	12.914	0.139	0.99	40000.0
4	62.079	22.733	14.253	12.71	0.136	0.991	20000.0
5	61.431	22.713	14.411	13.224	0.133	0.989	30000.0
6	63.241	23.557	14.435	13.296	0.142	0.989	30000.0
7	62.627	23.036	14.281	13.052	0.138	0.989	20000.0
8	62.948	23.141	14.649	13.485	0.137	0.988	20000.0
9	61.355	22.615	13.673	12.507	0.14	0.99	30000.0
10	62.128	22.716	14.345	12.946	0.139	0.989	40000.0
