Samples	ID1	ID2	ID8	ID9	ID83D	ID83E
V1	0	4	0	8	6	9
V2	29	155	68	0	42	65
V3	0	34	0	0	162	56
V4	55	32	28	0	0	0
V5	51	0	274	76	0	0
V6	0	152	0	0	0	174
V7	0	0	0	344	0	0
V8	0	41	0	0	116	68
V9	0	0	76	136	40	89
V10	0	174	0	208	0	0
V11	0	60	84	71	79	0
V12	0	63	0	114	339	0
V13	117	50	57	0	40	34
V14	0	0	0	0	316	0
V15	0	0	26	84	0	36
V16	0	252	214	0	0	208
V17	259	83	79	0	32	0
V18	1472	0	0	0	0	0
V19	13	0	31	70	0	84
V20	34	0	0	165	0	107
V21	102	0	0	0	40	0
V22	25	0	94	0	31	96
V23	73	34	116	154	0	186
V24	0	0	47	0	138	0
V25	30	0	0	53	28	0
V26	53	0	45	0	74	87
V27	0	0	187	0	0	123
V28	0	29	35	0	16	0
V29	40	0	226	53	0	0
V30	43	37	72	0	63	0
V31	0	0	229	0	220	0
V32	42	64	235	0	26	58
V33	122	0	141	0	0	0
V34	0	93	41	0	35	52
V35	0	0	363	452	61	0
V36	0	75	0	36	0	0
V37	0	99	63	0	85	71
V38	0	64	105	0	245	0
V39	0	97	0	142	180	262
V40	57	42	141	0	49	0
V41	0	154	0	0	0	109
V42	0	21	52	223	35	0
V43	102	27	0	127	50	83
V44	187	0	0	0	51	39
V45	0	174	0	98	0	267
V46	39	0	0	105	0	20
V47	0	32	0	240	0	59
V48	45	160	206	0	0	0
V49	18	8	10	0	0	0
V50	0	143	160	0	47	0
V51	14	0	0	104	57	0
V52	0	26	64	82	12	79
V53	39	204	0	117	0	0
V54	22	23	0	98	0	104
V55	51	0	413	0	0	0
V56	0	0	454	0	264	385
V57	0	34	114	0	42	294
V58	0	16	117	37	0	25
V59	143	0	0	43	51	0
V60	72	0	106	84	150	0
V61	17	0	94	125	57	0
V62	0	0	160	0	54	70
V63	29	0	0	81	93	0
V64	126	124	0	120	64	0
V65	285	0	189	0	0	0
V66	202	0	0	176	0	150
V67	0	14	0	0	29	14
V68	133	0	0	0	0	0
V69	7	19	20	0	0	14
V70	0	43	0	0	42	121
V71	0	90	0	170	0	0
V72	10	0	45	105	0	0
V73	0	62	0	0	23	65
V74	35	245	76	0	0	0
V75	48	13	0	25	0	12
V76	71	0	0	0	140	554
V77	0	21	0	43	70	0
V78	0	108	0	195	50	0
V79	0	518	0	166	0	0
V80	20	21	0	0	29	77
V81	104	0	116	49	0	0
V82	114	0	0	0	64	0
V83	9	34	0	0	32	24
V84	0	66	47	28	18	0
V85	0	36	28	0	0	42
V86	65	58	0	0	339	0
V87	92	0	0	124	52	0
V88	0	55	403	0	48	0
V89	62	0	113	258	0	0
V90	31	0	0	106	0	58
V91	74	21	0	61	42	0
V92	0	22	202	0	0	0
V93	0	95	0	0	94	0
V94	22	0	0	0	60	0
V95	19	55	0	0	11	45
V96	58	28	0	82	32	31
V97	56	0	37	0	0	0
V98	0	0	257	0	0	0
V99	0	52	0	0	140	0
V100	15	0	77	60	67	0
