NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	77.483	28.082	20.224	18.896	0.171	0.975	50000.0
2	79.21	29.081	20.98	19.925	0.175	0.973	30000.0
3	79.635	29.172	21.302	20.225	0.175	0.971	50000.0
4	77.66	28.515	20.001	19.301	0.171	0.974	30000.0
5	72.767	27.03	18.801	18.111	0.166	0.977	30000.0
6	80.085	29.33	21.273	19.942	0.176	0.973	40000.0
7	76.862	28.061	20.25	19.148	0.161	0.974	30000.0
8	79.471	29.263	21.684	20.923	0.178	0.968	30000.0
9	81.461	29.594	21.255	19.988	0.175	0.972	50000.0
10	73.645	27.754	18.824	18.475	0.178	0.976	30000.0
