Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V71	0.00E+00	9.40E-01	2.68E+00	6.32E-01	1.46E+00	3.03E+00
V72	9.36E-01	1.48E+00	0.00E+00	5.63E-01	1.84E+00	0.00E+00
V73	2.39E+00	4.23E-01	2.21E+00	6.74E-01	0.00E+00	1.61E+00
V74	1.81E+00	9.75E-01	1.25E+00	1.95E+00	2.16E+00	8.23E-01
V75	7.60E-01	2.35E+00	2.25E+00	1.40E+00	1.20E+00	0.00E+00
V76	3.74E+00	1.08E+00	3.18E+00	1.09E+00	0.00E+00	6.71E-01
V77	2.72E+00	2.08E+00	2.60E+00	2.64E+00	2.24E+00	8.06E-01
V78	2.00E+00	2.03E+00	2.58E+00	1.35E+00	2.61E+00	2.51E+00
V79	3.73E-01	7.81E-01	2.64E+00	3.43E+00	3.54E+00	2.27E+00
V80	2.86E+00	2.46E+00	3.05E+00	4.90E-01	1.04E+00	2.46E+00
V81	1.73E+00	8.33E-01	2.08E+00	3.17E+00	2.65E+00	9.43E-01
V82	3.16E+00	2.91E+00	1.81E+00	1.91E+00	3.48E-01	0.00E+00
V83	2.47E+00	1.02E+00	1.00E-01	2.34E+00	5.89E+00	3.23E+00
V84	2.51E+00	1.78E+00	2.29E+00	3.59E+00	1.59E+00	1.80E+00
V85	2.11E+00	1.09E+00	2.41E+00	8.67E-01	8.30E-01	6.29E-01
V86	1.98E+00	1.25E+00	7.12E-01	1.73E+00	6.84E-01	0.00E+00
V87	1.12E+00	7.48E-01	1.50E+00	1.44E+00	0.00E+00	8.17E-01
V88	1.88E+00	3.27E+00	1.56E+00	1.08E+00	5.58E-01	2.01E+00
V89	1.16E+00	0.00E+00	6.47E+00	2.92E+00	2.58E-01	5.41E+00
V90	4.90E-01	3.79E-01	3.94E+00	1.57E+00	8.92E-01	3.59E+00
V91	6.32E-01	2.58E+00	1.02E+00	2.04E+00	1.17E+00	2.20E+00
V92	3.67E-01	1.53E+00	0.00E+00	3.14E-01	5.21E-01	1.57E+00
V93	9.40E-01	9.94E-01	2.31E+00	1.06E+00	2.15E+00	1.41E+00
V94	4.68E+00	1.10E+00	9.00E-01	1.42E+00	4.10E+00	0.00E+00
V95	3.72E+00	3.07E+00	8.56E-01	1.35E+00	2.15E+00	9.19E-01
V96	8.57E-01	1.72E+00	2.71E+00	1.16E+00	4.76E-01	1.15E+00
V97	1.37E+00	2.31E+00	1.62E+00	0.00E+00	2.11E+00	0.00E+00
V98	1.97E+00	1.75E+00	2.75E+00	3.96E-01	2.68E+00	4.39E+00
V99	1.42E+00	1.07E+00	1.00E-01	1.46E+00	2.67E-01	8.41E-01
V100	2.46E+00	1.42E+00	1.65E+00	0.00E+00	0.00E+00	8.09E-01
