Samples	ID1	ID2	ID8	ID9	ID83B	ID83C
V1	442	0	0	0	0	107
V2	0	0	0	0	307	0
V3	54	15	0	0	125	79
V4	0	0	0	0	369	269
V5	0	0	181	0	113	0
V6	0	27	159	0	15	0
V7	245	0	0	0	359	0
V8	198	0	0	0	81	0
V9	0	0	0	30	110	0
V10	216	26	155	0	89	0
V11	564	0	0	0	0	0
V12	113	181	0	0	413	211
V13	44	0	0	67	181	0
V14	0	47	69	0	14	25
V15	0	0	0	159	0	143
V16	97	25	162	37	0	57
V17	69	33	0	150	0	0
V18	251	0	129	89	0	0
V19	0	0	35	67	102	29
V20	68	51	443	62	33	68
V21	47	21	43	39	0	96
V22	15	0	0	0	94	0
V23	62	216	79	0	38	60
V24	275	175	0	83	54	0
V25	0	0	0	101	86	352
V26	86	119	0	0	0	21
V27	40	0	55	0	86	51
V28	48	0	0	245	0	0
V29	51	0	92	93	0	0
V30	0	0	0	0	164	427
V31	113	0	0	61	62	0
V32	11	0	21	23	6	15
V33	0	0	0	56	0	7
V34	30	72	0	28	44	38
V35	40	69	65	0	0	57
V36	0	0	0	0	40	21
V37	0	149	0	0	797	0
V38	25	9	0	25	13	0
V39	0	0	56	15	0	6
V40	8	0	88	0	27	0
V41	45	0	76	0	74	0
V42	29	0	118	0	12	18
V43	0	57	38	0	0	0
V44	9	0	80	0	50	0
V45	43	0	128	0	11	17
V46	0	0	111	0	10	22
V47	0	0	0	0	673	109
V48	40	0	0	101	0	47
V49	199	85	153	0	0	58
V50	243	0	0	0	131	0
V51	59	20	35	27	35	62
V52	315	0	0	0	0	0
V53	0	15	0	0	12	50
V54	11	27	0	55	13	36
V55	0	161	0	0	0	69
V56	0	49	0	18	26	0
V57	169	24	83	0	183	0
V58	43	0	0	0	0	8
V59	40	116	95	0	0	607
V60	0	0	0	159	122	88
V61	25	0	113	35	87	0
V62	17	38	71	0	0	58
V63	0	80	68	31	66	17
V64	192	0	76	0	0	34
V65	30	65	21	40	39	0
V66	35	94	0	42	0	0
V67	335	37	0	0	0	35
V68	312	60	0	0	0	0
V69	8	7	0	56	31	0
V70	3	0	3	0	0	0
V71	17	0	0	0	0	67
V72	0	42	0	0	48	109
V73	169	95	0	0	0	51
V74	8	0	30	0	0	38
V75	14	49	0	0	0	19
V76	15	66	0	0	105	0
V77	32	0	0	0	26	19
V78	24	30	0	0	0	103
V79	22	63	0	63	123	0
V80	0	0	0	0	0	228
V81	144	0	78	0	0	30
V82	87	87	158	0	89	0
V83	30	0	0	0	67	0
V84	315	0	0	0	0	0
V85	0	100	0	0	0	36
V86	22	181	127	0	74	0
V87	55	0	0	23	59	0
V88	0	0	0	0	147	0
V89	0	0	0	0	40	215
V90	235	45	0	0	56	182
V91	155	64	0	151	0	0
V92	84	0	0	0	18	21
V93	73	0	0	228	90	115
V94	0	41	0	0	305	0
V95	21	0	40	165	83	137
V96	269	0	0	231	0	0
V97	0	74	0	0	38	144
V98	0	39	0	0	300	0
V99	6	0	14	9	23	0
V100	0	20	49	40	0	17
