Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
V1	151	9	146	10	0	60	10
V2	218	73	1	4	7	27	3
V3	0	10	1	116	0	53	0
V4	8	0	1	9	14	0	0
V5	253	0	19	54	5	0	9
V6	215	78	75	175	17	65	37
V7	15	0	64	77	81	31	7
V8	14	498	1	58	23	12	0
V9	111	14	13	115	20	2	0
V10	8	45	43	8	5	70	28
V11	0	1	20	17	0	0	0
V12	114	18	2	6	3	25	16
V13	1	5	52	102	6	3	0
V14	419	0	249	88	0	38	61
V15	39	79	21	5	88	18	19
V16	5	2	10	6	2	37	0
V17	125	20	1	151	22	10	0
V18	49	4	34	96	2	7	23
V19	28	59	7	0	78	19	17
V20	307	21	2	117	0	0	81
V21	176	38	12	0	0	9	10
V22	1	0	0	93	12	53	0
V23	18	69	1	7	10	75	0
V24	11	18	0	77	1	25	0
V25	442	0	5	15	10	36	34
V26	5	62	173	90	348	31	0
V27	114	9	5	36	58	6	0
V28	17	81	11	33	128	31	31
V29	121	40	35	19	2	0	24
V30	315	0	0	0	1	15	7
V31	0	96	128	15	45	3	0
V32	101	5	19	6	106	100	0
V33	66	35	22	0	19	23	0
V34	121	5	4	54	21	0	45
V35	138	48	54	138	2	70	31
V36	54	0	3	15	0	4	11
V37	21	1	30	7	44	11	0
V38	14	26	137	0	21	43	7
V39	148	29	0	65	49	24	16
V40	115	4	48	0	6	23	0
V41	35	48	0	90	377	127	36
V42	43	112	100	51	39	18	0
V43	5	103	11	35	0	0	0
V44	3	1	85	0	0	48	0
V45	31	41	145	225	34	49	71
V46	34	292	0	17	128	0	0
V47	17	4	50	70	0	37	11
V48	8	63	22	51	0	72	54
V49	2	27	0	159	12	37	8
V50	121	236	238	16	25	45	0
V51	19	80	2	3	0	48	3
V52	7	17	30	4	177	0	62
V53	28	0	1	18	90	318	13
V54	3	6	0	0	0	11	0
V55	18	15	3	18	20	5	28
V56	5	0	38	12	37	0	0
V57	51	2	291	12	49	80	0
V58	146	30	43	2	7	80	0
V59	0	87	9	114	47	15	27
V60	52	39	16	43	32	26	73
V61	35	0	0	45	5	15	0
V62	127	234	0	16	4	197	0
V63	81	37	76	2	87	10	0
V64	10	61	46	39	19	0	0
V65	18	43	11	0	13	9	6
V66	0	7	30	147	32	245	1
V67	20	28	1	2	45	0	21
V68	57	66	3	43	17	199	30
V69	189	51	123	57	0	158	0
V70	1	17	0	0	18	4	11
V71	12	0	3	54	7	5	7
V72	4	35	4	1	1	10	0
V73	21	17	109	9	69	2	0
V74	47	0	93	180	2	39	28
V75	25	0	79	2	401	129	6
V76	24	96	2	0	34	116	7
V77	8	473	8	2	2	0	24
V78	7	261	0	0	19	0	0
V79	10	271	10	216	14	7	25
V80	13	103	66	106	94	31	0
V81	0	19	0	5	2	7	0
V82	0	47	3	1	9	9	0
V83	7	77	105	27	0	0	0
V84	0	0	2	19	39	4	2
V85	51	108	35	16	12	3	0
V86	8	31	4	57	39	6	11
V87	78	39	40	1	0	2	1
V88	31	6	53	1	36	1	0
V89	147	0	180	5	11	0	4
V90	40	12	1	7	11	13	0
V91	55	0	112	21	73	55	0
V92	0	10	298	36	44	32	8
V93	25	8	6	0	2	35	3
V94	15	17	19	7	57	169	85
V95	15	0	12	5	30	44	34
V96	9	0	85	63	0	12	34
V97	98	8	442	1	169	5	0
V98	12	260	93	1	35	23	4
V99	18	93	42	43	0	3	0
V100	4	59	55	315	49	8	0
