Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
V1	3.99E+00	1.01E+00	3.96E+00	2.17E+00	0.00E+00	7.11E+00	7.14E+00
V2	3.12E+00	4.14E+00	1.63E-01	9.43E-01	6.51E-01	3.97E+00	4.10E+00
V3	0.00E+00	6.50E-01	3.35E-01	1.18E+01	0.00E+00	2.62E+00	1.04E+01
V4	6.51E-01	0.00E+00	2.21E-01	1.25E+00	7.95E-01	2.13E-01	1.02E+00
V5	6.66E+00	3.07E-01	1.56E+00	5.81E+00	8.14E-01	0.00E+00	7.49E+00
V6	2.69E+00	3.63E+00	2.04E+00	5.01E+00	2.16E+00	6.54E+00	8.17E+00
V7	1.31E+00	0.00E+00	2.40E+00	5.28E+00	3.78E+00	3.82E+00	6.28E+00
V8	1.62E+00	9.35E+00	4.00E-01	1.48E+00	2.91E+00	1.30E+00	8.95E+00
V9	3.80E+00	1.14E+00	7.57E-01	5.10E+00	1.71E+00	2.21E-01	2.11E+00
V10	1.19E+00	4.83E+00	1.53E+00	2.06E+00	1.18E+00	6.98E+00	7.00E+00
V11	0.00E+00	3.14E-01	8.75E-01	1.04E+00	3.48E-01	0.00E+00	5.54E-01
V12	2.38E+00	1.00E+00	4.53E-01	1.31E+00	5.77E-01	2.38E+00	4.03E+00
V13	2.60E-01	9.33E-01	1.52E+00	3.86E+00	5.22E-01	9.21E-01	3.77E+00
V14	7.04E+00	8.83E-01	4.86E+00	1.09E+01	0.00E+00	3.21E+00	9.98E+00
V15	1.89E+00	2.17E+00	1.60E+00	1.41E+00	1.60E+00	2.79E+00	2.81E+00
V16	6.86E-01	6.11E-01	8.03E-01	1.15E+00	3.33E-01	2.65E+00	2.78E+00
V17	3.16E+00	1.14E+00	2.21E-01	4.62E+00	2.30E+00	1.44E+00	3.11E+00
V18	1.65E+00	9.67E-01	1.73E+00	9.86E+00	1.11E+00	3.03E+00	9.48E+00
V19	3.31E+00	2.22E+00	9.67E-01	7.12E-01	2.98E+00	2.33E+00	6.06E+00
V20	6.53E+00	3.03E+00	5.73E-01	1.56E+01	6.01E-01	2.92E+00	1.94E+01
V21	3.82E+00	2.54E+00	8.56E-01	3.35E-01	0.00E+00	1.88E+00	3.17E+00
V22	3.79E-01	0.00E+00	0.00E+00	3.46E+00	8.06E-01	5.37E+00	5.87E+00
V23	1.93E+00	2.41E+00	2.49E-01	7.89E-01	1.24E+00	2.91E+00	2.43E+00
V24	8.88E-01	9.20E-01	0.00E+00	7.75E+00	1.33E-01	2.19E+00	8.06E+00
V25	9.45E+00	2.13E-01	6.46E-01	3.18E+00	7.33E-01	5.28E+00	9.14E+00
V26	1.23E+00	4.60E+00	3.46E+00	7.28E+00	4.54E+00	3.37E+00	8.43E+00
V27	2.42E+00	1.20E+00	8.33E-01	3.46E+00	2.52E+00	1.46E+00	4.30E+00
V28	2.93E+00	2.63E+00	1.25E+00	2.11E+00	2.11E+00	4.95E+00	6.50E+00
V29	4.50E+00	3.38E+00	2.04E+00	4.26E+00	8.92E-01	7.57E-01	5.48E+00
V30	4.71E+00	0.00E+00	0.00E+00	2.91E-01	3.35E-01	1.49E+00	5.29E+00
V31	4.16E-01	3.07E+00	2.52E+00	1.30E+00	2.70E+00	7.18E-01	2.84E+00
V32	3.32E+00	8.56E-01	1.27E+00	1.10E+00	2.48E+00	5.74E+00	5.89E+00
V33	2.09E+00	2.12E+00	1.19E+00	0.00E+00	1.09E+00	1.37E+00	1.30E+00
V34	2.88E+00	1.49E+00	4.52E-01	8.93E+00	1.34E+00	1.96E+00	1.04E+01
V35	3.69E+00	1.71E+00	2.53E+00	1.45E+01	6.63E-01	3.93E+00	1.55E+01
V36	2.63E+00	0.00E+00	4.76E-01	2.00E+00	4.76E-01	9.71E-01	3.85E+00
V37	1.26E+00	5.04E-01	1.49E+00	8.72E-01	1.09E+00	1.46E+00	2.05E+00
V38	1.96E+00	1.20E+00	2.85E+00	2.60E-01	2.01E+00	2.32E+00	3.47E+00
V39	3.26E+00	3.34E+00	0.00E+00	6.00E+00	2.56E+00	2.77E+00	5.26E+00
V40	2.99E+00	5.67E-01	1.38E+00	0.00E+00	9.78E-01	2.53E+00	3.30E+00
V41	2.80E+00	1.53E+00	0.00E+00	5.66E+00	7.40E+00	8.82E+00	9.33E+00
V42	1.79E+00	1.90E+00	2.28E+00	2.99E+00	1.84E+00	2.74E+00	1.93E+00
V43	1.19E+00	2.22E+00	1.15E+00	1.95E+00	7.77E-01	0.00E+00	2.40E+00
V44	7.52E-01	3.27E-01	1.94E+00	0.00E+00	0.00E+00	1.79E+00	4.73E-01
V45	4.61E+00	4.87E+00	4.75E+00	1.88E+01	2.12E+00	5.48E+00	1.83E+01
V46	2.15E+00	2.81E+00	0.00E+00	1.46E+00	3.00E+00	4.47E-01	1.39E+00
V47	9.64E-01	1.03E+00	2.08E+00	7.32E+00	5.04E-01	1.77E+00	6.98E+00
V48	1.96E+00	5.94E+00	1.40E+00	4.61E+00	3.67E-01	6.13E+00	1.12E+01
V49	6.46E-01	1.97E+00	0.00E+00	9.10E+00	2.08E+00	2.16E+00	1.01E+01
V50	3.10E+00	6.15E+00	3.86E+00	2.12E+00	2.39E+00	4.04E+00	6.61E+00
V51	1.71E+00	2.94E+00	4.28E-01	4.23E-01	0.00E+00	1.62E+00	2.77E+00
V52	1.58E+00	1.95E+00	1.83E+00	3.77E+00	4.64E+00	2.12E+00	5.80E+00
V53	3.17E+00	6.18E-01	4.73E-01	1.14E+00	2.62E+00	1.02E+01	1.27E+01
V54	5.33E-01	6.36E-01	0.00E+00	0.00E+00	0.00E+00	6.50E-01	8.00E-01
V55	2.61E+00	9.60E-01	7.46E-01	2.74E+00	1.92E+00	2.16E+00	4.01E+00
V56	6.67E-01	0.00E+00	1.81E+00	1.08E+00	1.47E+00	5.54E-01	2.28E+00
V57	3.77E+00	7.12E-01	5.70E+00	1.19E+00	2.22E+00	3.57E+00	4.16E+00
V58	2.97E+00	1.68E+00	1.56E+00	1.63E-01	1.91E+00	2.91E+00	2.17E+00
V59	4.48E-01	4.07E+00	8.79E-01	5.72E+00	2.83E+00	3.15E+00	6.27E+00
V60	2.71E+00	2.39E+00	1.30E+00	7.41E+00	1.62E+00	5.00E+00	1.10E+01
V61	1.75E+00	0.00E+00	0.00E+00	1.77E+00	7.92E-01	1.37E+00	1.40E+00
V62	2.41E+00	4.18E+00	0.00E+00	2.14E+00	4.16E-01	1.14E+01	9.35E+00
V63	3.01E+00	1.82E+00	2.89E+00	5.86E-01	2.46E+00	1.71E+00	1.26E+00
V64	1.03E+00	1.10E+00	1.89E+00	3.11E+00	2.06E+00	3.40E-01	4.16E-01
V65	1.27E+00	1.39E+00	6.36E-01	2.67E-01	1.26E+00	1.36E+00	2.71E+00
V66	1.00E-01	1.00E+00	2.00E+00	7.25E+00	2.19E+00	1.08E+01	1.07E+01
V67	1.11E+00	1.93E+00	2.98E-01	9.78E-01	1.27E+00	1.22E+00	2.84E+00
V68	2.33E+00	4.38E+00	4.23E-01	5.73E+00	2.19E+00	7.52E+00	9.00E+00
V69	3.81E+00	3.57E+00	2.69E+00	6.05E+00	0.00E+00	4.90E+00	7.66E+00
V70	5.77E-01	1.87E+00	0.00E+00	6.83E-01	1.13E+00	1.40E+00	2.48E+00
V71	1.00E+00	3.06E-01	9.09E-01	2.16E+00	8.97E-01	1.44E+00	2.83E+00
V72	5.67E-01	1.46E+00	5.26E-01	3.79E-01	0.00E+00	8.30E-01	1.38E+00
V73	1.28E+00	1.52E+00	3.03E+00	4.76E-01	1.78E+00	6.83E-01	1.09E+00
V74	1.85E+00	3.65E-01	2.34E+00	2.03E+01	5.47E-01	4.42E+00	1.91E+01
V75	2.50E+00	0.00E+00	4.09E+00	7.48E-01	5.44E+00	7.85E+00	5.84E+00
V76	2.70E+00	2.55E+00	2.77E-01	3.35E-01	1.91E+00	9.08E+00	1.12E+01
V77	1.88E+00	1.56E+01	9.07E-01	1.28E+00	0.00E+00	1.83E+00	1.61E+01
V78	1.56E+00	1.72E+00	0.00E+00	0.00E+00	2.02E+00	1.17E+00	0.00E+00
V79	2.12E+00	2.97E+00	9.89E-01	2.25E+01	1.38E+00	2.31E+00	2.35E+01
V80	1.78E+00	1.83E+00	2.17E+00	4.93E+00	1.72E+00	3.17E+00	3.52E+00
V81	0.00E+00	5.54E-01	0.00E+00	6.80E-01	4.77E-01	7.06E-01	3.07E-01
V82	0.00E+00	1.99E+00	6.15E-01	3.33E-01	1.21E+00	1.49E+00	1.20E+00
V83	9.98E-01	3.52E+00	2.73E+00	2.17E+00	2.21E-01	0.00E+00	2.75E+00
V84	0.00E+00	0.00E+00	5.67E-01	1.96E+00	1.63E+00	1.04E+00	2.50E+00
V85	1.49E+00	2.82E+00	1.92E+00	1.65E+00	1.53E+00	5.00E-01	2.05E+00
V86	7.57E-01	3.32E+00	5.96E-01	1.32E+00	1.66E+00	9.24E-01	3.28E+00
V87	2.70E+00	1.89E+00	8.20E-01	3.40E-01	4.07E-01	7.86E-01	2.67E-01
V88	1.45E+00	8.06E-01	1.94E+00	2.91E-01	1.97E+00	3.00E-01	2.13E-01
V89	2.89E+00	0.00E+00	2.99E+00	8.62E-01	1.32E+00	3.00E-01	1.58E+00
V90	2.41E+00	1.45E+00	2.00E-01	8.94E-01	1.23E+00	2.37E+00	4.06E+00
V91	2.25E+00	0.00E+00	1.90E+00	1.41E+00	1.58E+00	3.29E+00	1.65E+00
V92	4.22E-01	1.51E+00	3.69E+00	3.77E+00	1.26E+00	3.54E+00	5.61E+00
V93	1.59E+00	1.01E+00	7.92E-01	0.00E+00	4.33E-01	3.17E+00	3.67E+00
V94	3.07E+00	3.04E+00	2.07E+00	2.39E+00	1.48E+00	1.16E+01	1.28E+01
V95	1.63E+00	7.92E-01	1.49E+00	1.36E+00	1.35E+00	4.96E+00	6.56E+00
V96	1.83E+00	7.75E-01	2.19E+00	7.67E+00	0.00E+00	3.12E+00	8.56E+00
V97	4.35E+00	1.69E+00	4.40E+00	2.24E-01	3.77E+00	1.07E+00	7.67E-01
V98	1.58E+00	9.21E+00	2.38E+00	4.58E-01	1.90E+00	1.95E+00	9.66E+00
V99	1.04E+00	2.64E+00	2.06E+00	3.94E+00	1.00E-01	7.61E-01	3.92E+00
