NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	51.221	21.105	12.512	14.055	0.098	0.986	60000.0
2	51.174	20.864	12.25	13.579	0.097	0.987	50000.0
3	49.736	20.257	12.267	13.791	0.093	0.987	90000.0
4	48.159	19.701	11.342	13.038	0.093	0.988	60000.0
5	52.289	21.247	12.741	14.304	0.098	0.985	90000.0
6	51.618	21.567	12.57	14.697	0.101	0.984	30000.0
7	50.811	20.767	12.186	13.606	0.098	0.987	30000.0
8	48.54	19.908	11.567	13.217	0.098	0.987	60000.0
9	50.286	20.721	12.506	14.112	0.099	0.985	60000.0
10	46.555	18.607	11.192	12.446	0.094	0.989	30000.0
