Samples	ID83A	ID83B
V1	2.36E+01	2.36E+01
V2	3.50E+01	3.50E+01
V3	2.67E+01	2.67E+01
V4	1.95E+00	1.95E+00
V5	4.40E+01	4.40E+01
V6	2.34E+01	2.34E+01
V7	2.36E+01	2.36E+01
V8	3.90E+00	3.90E+00
V9	1.20E+01	1.20E+01
V10	8.80E+00	8.80E+00
V11	2.32E+00	2.32E+00
V12	2.15E+01	2.15E+01
V13	1.09E+01	1.09E+01
V14	7.01E+01	7.01E+01
V15	1.19E+01	1.19E+01
V16	4.06E+00	4.06E+00
V17	1.33E+01	1.33E+01
V18	6.54E+00	6.54E+00
V19	1.09E+01	1.09E+01
V20	6.26E+01	6.26E+01
V21	2.87E+01	2.87E+01
V22	2.55E+01	2.55E+01
V23	7.49E+00	7.49E+00
V24	1.37E+01	1.37E+01
V25	8.05E+01	8.05E+01
V26	7.02E+01	7.02E+01
V27	1.13E+01	1.13E+01
V28	2.55E+01	2.55E+01
V29	1.83E+01	1.83E+01
V30	5.16E+01	5.16E+01
V31	1.80E+01	1.80E+01
V32	1.80E+01	1.80E+01
V33	8.17E+00	8.17E+00
V34	1.86E+01	1.86E+01
V35	1.17E+01	1.17E+01
V36	1.17E+01	1.17E+01
V37	7.26E+00	7.26E+00
V38	1.62E+01	1.62E+01
V39	1.79E+01	1.79E+01
V40	1.73E+01	1.73E+01
V41	8.57E+01	8.57E+01
V42	1.13E+01	1.13E+01
V43	1.96E+00	1.96E+00
V44	1.09E+01	1.09E+01
V45	3.18E+01	3.18E+01
V46	1.26E+01	1.26E+01
V47	5.90E+00	5.90E+00
V48	1.64E+01	1.64E+01
V49	3.21E+01	3.21E+01
V50	2.54E+01	2.54E+01
V51	2.88E+00	2.88E+00
V52	3.29E+01	3.29E+01
V53	6.64E+01	6.64E+01
V54	1.50E+00	1.50E+00
V55	4.93E+00	4.93E+00
V56	8.99E+00	8.99E+00
V57	3.59E+01	3.59E+01
V58	1.89E+01	1.89E+01
V59	2.46E+01	2.46E+01
V60	5.42E+00	5.42E+00
V61	6.41E+00	6.41E+00
V62	1.67E+01	1.67E+01
V63	1.21E+01	1.21E+01
V64	6.07E+00	6.07E+00
V65	2.39E+00	2.39E+00
V66	6.11E+01	6.11E+01
V67	5.09E+00	5.09E+00
V68	2.74E+01	2.74E+01
V69	1.79E+01	1.79E+01
V70	3.37E+00	3.37E+00
V71	7.31E+00	7.31E+00
V72	1.36E+00	1.36E+00
V73	1.74E+01	1.74E+01
V74	1.61E+01	1.61E+01
V75	8.50E+01	8.50E+01
V76	1.38E+01	1.38E+01
V77	2.91E+00	2.91E+00
V78	1.09E+00	1.10E+00
V79	2.78E+01	2.78E+01
V80	2.64E+01	2.64E+01
V81	7.33E-01	7.33E-01
V82	2.14E+00	2.14E+00
V83	1.14E+01	1.14E+01
V84	9.51E+00	9.51E+00
V85	6.52E+00	6.52E+00
V86	1.37E+01	1.37E+01
V87	1.05E+01	1.05E+01
V88	7.38E+00	7.38E+00
V89	2.64E+01	2.64E+01
V90	5.62E+00	5.62E+00
V91	1.80E+01	1.80E+01
V92	3.72E+01	3.72E+01
V93	3.32E+00	3.32E+00
V94	3.60E+01	3.60E+01
V95	1.19E+01	1.19E+01
V96	8.98E+00	8.98E+00
V97	5.71E+01	5.71E+01
V98	1.34E+01	1.34E+01
V99	3.50E+00	3.50E+00
V100	4.81E+01	4.81E+01
