Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	120	106	1	0	0	0	4	9	0	24	0	0
V2	3	0	101	49	74	26	13	0	6	26	0	17
V3	8	0	0	26	0	0	0	38	0	2	0	9
V4	74	38	3	48	11	4	59	62	0	0	13	0
V5	11	15	11	30	0	0	41	24	2	16	0	3
V6	3	29	54	38	10	0	0	0	89	36	0	0
V7	6	94	55	6	0	0	0	61	0	13	37	21
V8	545	0	146	43	19	37	0	0	27	0	31	0
V9	4	4	0	0	5	11	5	0	0	1	0	4
V10	65	0	3	37	10	34	0	0	0	35	0	6
V11	0	11	41	0	36	50	0	0	32	0	11	0
V12	27	24	0	0	0	31	0	1	0	0	0	0
V13	72	3	35	72	0	0	41	0	0	0	70	0
V14	2	66	4	6	4	0	6	2	3	2	31	0
V15	0	46	263	33	30	48	3	6	361	0	0	0
V16	49	42	96	0	0	4	11	24	19	0	15	0
V17	3	35	25	1	39	31	19	38	0	5	0	0
V18	4	72	12	1	0	2	45	45	0	23	0	6
V19	26	46	0	0	41	76	8	0	2	0	16	36
V20	26	58	63	28	0	0	0	2	36	27	45	0
V21	2	0	18	45	3	3	16	22	0	0	0	4
V22	10	84	43	0	0	0	9	16	55	5	0	0
V23	5	4	9	33	194	84	20	4	0	0	30	0
V24	10	0	9	59	8	14	8	20	51	0	4	0
V25	145	0	5	4	28	0	106	38	0	14	0	0
V26	0	63	0	41	0	1	18	4	2	0	37	7
V27	7	5	4	95	0	0	77	30	0	0	6	0
V28	91	19	15	41	3	11	5	9	28	0	54	0
V29	0	130	30	9	99	51	59	15	21	7	0	44
V30	69	0	16	8	0	0	22	6	0	0	0	15
V31	15	16	81	26	119	80	23	0	0	41	0	0
V32	200	89	11	10	0	0	1	0	7	49	0	0
V33	5	197	46	38	109	21	57	89	0	62	0	37
V34	2	15	37	13	0	0	0	3	12	0	4	0
V35	38	1	4	28	30	0	0	14	0	3	0	0
V36	41	108	47	146	25	21	0	1	0	25	58	0
V37	2	106	2	5	5	12	0	0	0	0	3	0
V38	30	0	23	0	147	44	85	41	0	0	10	86
V39	0	251	23	260	14	4	28	45	0	16	29	0
V40	1	42	32	1	35	35	0	0	0	29	0	28
V41	8	0	40	21	82	87	59	0	136	28	11	0
V42	25	0	0	0	191	207	47	27	0	83	21	0
V43	0	20	64	7	21	4	0	0	3	0	0	36
V44	160	91	83	32	66	48	0	11	5	28	15	18
V45	6	0	29	120	6	25	47	61	0	1	0	36
V46	2	40	1	0	4	16	0	6	0	1	0	0
V47	57	135	18	34	0	0	31	0	0	46	15	0
V48	162	6	54	0	0	4	0	3	19	0	0	0
V49	0	35	82	7	33	5	0	3	4	12	12	16
V50	11	60	113	0	22	0	9	0	59	0	0	0
V51	214	0	175	7	41	12	2	31	48	0	0	0
V52	19	3	28	3	61	67	3	29	0	0	0	5
V53	77	2	106	209	11	5	11	10	23	8	27	26
V54	0	16	18	45	4	0	3	0	0	8	7	8
V55	0	47	36	0	33	28	29	0	72	0	0	0
V56	0	3	268	0	103	24	0	2	27	0	0	0
V57	77	189	5	96	0	0	0	10	21	53	28	0
V58	0	0	21	4	0	9	13	78	0	0	0	37
V59	0	1	144	157	29	18	7	65	78	0	0	0
V60	65	65	1	2	32	31	0	1	0	0	6	0
V61	13	260	50	30	11	10	0	1	6	162	14	0
V62	75	9	30	71	0	0	8	22	0	9	0	0
V63	18	232	6	20	2	0	92	75	0	32	0	0
V64	0	151	13	13	11	0	9	6	57	78	0	0
V65	0	0	0	0	30	0	102	214	18	0	3	26
V66	2	141	86	0	0	0	114	37	64	46	0	0
V67	50	0	86	152	265	221	133	76	0	0	0	89
V68	74	0	27	90	18	24	2	5	0	16	5	19
V69	3	0	0	52	131	160	64	32	0	10	1	0
V70	70	101	45	0	0	0	0	4	0	11	6	6
V71	202	69	73	1	0	5	0	10	0	0	72	0
V72	0	36	411	3	118	114	1	28	214	0	0	19
V73	8	0	99	5	0	0	11	3	30	0	0	0
V74	6	0	1	2	43	104	77	149	0	9	0	0
V75	3	38	23	44	0	0	17	11	16	28	0	0
V76	44	0	27	174	0	0	80	71	0	22	0	0
V77	82	13	50	0	31	12	1	0	60	0	0	5
V78	20	1	50	5	184	179	20	14	14	0	0	24
V79	86	0	130	163	15	0	1	0	11	5	0	0
V80	0	241	0	124	10	49	0	0	0	64	9	0
V81	13	78	13	0	11	0	0	0	0	39	0	0
V82	68	0	2	150	0	0	0	0	0	8	14	0
V83	95	229	10	4	12	8	30	12	0	17	2	0
V84	43	7	50	20	20	42	0	0	0	0	31	0
V85	8	0	3	98	6	2	52	40	0	4	0	2
V86	24	0	30	12	5	0	20	29	33	1	0	6
V87	157	65	1	2	3	4	34	19	0	0	25	0
V88	10	49	4	0	144	122	15	40	0	10	0	18
V89	292	52	82	55	0	0	0	0	89	3	0	0
V90	297	76	1	0	0	0	5	0	0	60	0	0
V91	7	15	5	11	7	0	71	152	0	2	0	0
V92	52	77	13	112	110	88	27	21	0	65	0	0
V93	32	0	0	6	54	90	2	7	0	1	0	0
V94	74	212	109	3	0	4	96	62	81	77	0	15
V95	121	9	115	0	0	3	0	0	110	0	24	0
V96	15	0	14	1	9	0	0	0	17	0	0	0
V97	0	20	170	128	17	23	0	0	9	3	0	0
V98	90	0	88	0	0	0	0	0	0	10	0	0
V99	0	0	2	4	0	0	29	16	0	0	0	8
V100	4	12	9	38	48	35	13	0	11	0	0	2
