Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	6.99E-01	1.48E+00	0.00E+00	1.40E+00	1.48E+00	7.22E-01
V2	1.54E+00	2.22E+00	9.12E-01	1.57E+00	4.96E-01	1.64E+00
V3	1.06E+00	3.32E+00	3.94E+00	2.72E+00	4.50E+00	1.60E+00
V4	1.86E+00	2.14E+00	5.81E-01	0.00E+00	2.10E+00	1.36E+00
V5	1.29E+00	1.99E+00	2.34E+00	6.67E-01	1.09E+00	9.33E-01
V6	7.81E-01	4.90E-01	2.21E-01	5.42E-01	0.00E+00	0.00E+00
V7	1.68E+00	1.29E+00	3.31E+00	1.91E+00	8.06E-01	5.17E-01
V8	3.05E+00	1.55E+00	0.00E+00	2.12E+00	1.55E+00	1.42E+00
V9	2.38E+00	1.10E+00	6.46E-01	8.97E-01	3.65E-01	2.92E+00
V10	4.83E+00	1.65E+00	2.29E+00	6.13E+00	1.01E+00	1.30E+00
V11	1.00E+00	5.16E-01	0.00E+00	1.33E+00	8.92E-01	1.10E+00
V12	2.21E+00	3.19E+00	4.70E+00	1.37E+00	3.27E-01	9.20E-01
V13	7.42E-01	1.88E+00	0.00E+00	0.00E+00	7.00E-01	1.73E+00
V14	4.07E+00	2.76E+00	3.47E+00	3.13E+00	3.20E+00	9.46E-01
V15	0.00E+00	2.21E-01	3.05E+00	1.25E+00	2.04E+00	1.63E+00
V16	1.54E+00	3.00E-01	7.95E-01	1.19E+00	1.69E+00	6.63E-01
V17	2.99E+00	2.50E+00	2.33E-01	8.44E-01	2.21E-01	4.16E-01
V18	9.09E-01	2.60E+00	3.34E+00	2.66E+00	1.33E-01	0.00E+00
V19	1.32E+00	6.74E-01	1.01E+00	3.59E-01	1.02E+00	1.50E+00
V20	3.67E+00	2.20E+00	7.75E-01	4.71E+00	5.84E+00	1.19E+00
V21	3.60E+00	1.06E+00	7.92E-01	8.49E-01	1.18E+00	2.21E+00
V22	6.86E-01	4.01E+00	2.27E+00	1.94E+00	2.55E+00	2.52E+00
V23	4.36E+00	1.25E+00	1.02E+00	1.48E+00	1.38E+00	3.56E+00
V24	1.14E+00	8.16E-01	5.77E-01	1.36E+00	3.33E-01	1.61E+00
V25	2.60E+00	2.16E+00	3.59E-01	3.20E+00	8.47E-01	1.64E+00
V26	2.33E+00	3.47E+00	2.39E+00	4.19E+00	9.98E-01	1.17E+00
