MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
4:Ins:R:1	0.00072391	0.00028965	0.00000000	0.00225601	0.00275489	0.00049830	0.00244027
4:Ins:R:2	0.00019808	0.00000019	0.00000007	0.00000007	0.00000015	0.00000017	0.00000012
4:Ins:R:3	0.00000022	0.00000035	0.00000025	0.00000022	0.00000048	0.00000045	0.00000041
4:Ins:R:4	0.00043326	0.00039297	0.00008575	0.00000001	0.00000002	0.00019392	0.00021868
4:Ins:R:5	0.00148151	0.00166158	0.00023631	0.00040065	0.00025386	0.00000000	0.00000000
5:Ins:R:0	0.00000019	0.00000012	0.00000014	0.00000005	0.00044092	0.00000024	0.00016136
5:Ins:R:1	0.00110115	0.00027048	0.00000000	0.01100154	0.00000000	0.00056751	0.00652377
5:Ins:R:2	0.00022409	0.00005813	0.00000011	0.00000008	0.00000020	0.00000014	0.00070973
5:Ins:R:3	0.00003855	0.00000002	0.00033227	0.00000003	0.00000043	0.00000002	0.00010239
5:Ins:R:4	0.00033864	0.00019471	0.00000001	0.00049797	0.00000001	0.00116635	0.00051350
5:Ins:R:5	0.00000000	0.00026839	0.00013564	0.00026215	0.00000001	0.00000000	0.00039779
2:Del:M:1	0.00051797	0.00000000	0.00079251	0.00462737	0.00150247	0.00000001	0.00336493
3:Del:M:1	0.00036501	0.00040185	0.00046302	0.00827560	0.00212883	0.00012129	0.00507452
3:Del:M:2	0.00144461	0.00052133	0.00000000	0.00849855	0.00356413	0.00088844	0.00364951
4:Del:M:1	0.00024968	0.00047339	0.00070561	0.00918890	0.00196303	0.00000000	0.00123161
4:Del:M:2	0.00000003	0.00023903	0.00000000	0.00264257	0.00275121	0.00000007	0.00092485
4:Del:M:3	0.00011199	0.00066548	0.00002941	0.00214089	0.00318140	0.00011100	0.00128215
5:Del:M:1	0.00086982	0.00031843	0.00000005	0.34982532	0.00000000	0.00000075	0.06657751
5:Del:M:2	0.00023953	0.00000000	0.25813035	0.18770347	0.00098847	0.00040322	0.01345280
5:Del:M:3	0.00058565	0.00197950	0.00010535	0.03594972	0.00000000	0.00000000	0.03227154
5:Del:M:4	0.00008593	0.00062894	0.00000000	0.02950740	0.00006088	0.00000000	0.00347459
5:Del:M:5	0.00045798	0.00065560	0.00056448	0.01531087	0.00158942	0.00110961	0.00662972
