Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.79,0.77,NO,N/A,61.4%,76.01%,117.92%,58.76%,93.67,0.4642,0.9318,0.201,0.458,0.779,0.477
3,0.65,0.32,NO,N/A,53.46%,64.36%,121.4%,49.55%,83.69,0.3788,0.9728,0.146,0.442,0.84,0.513
4,0.66,0.28,NO,N/A,44.88%,45.86%,103.41%,37.03%,76.85,0.2822,0.8027,0.093,0.345,0.898,0.637
5,0.77,0.56,NO,N/A,32.21%,31.48%,106.68%,23.83%,76.24,0.1982,0.8459,0.055,0.328,0.94,0.661
6*,1.0,1.0,YES,Most Stab Sigs,7.63%,17.55%,44.29%,9.42%,35.22,0.0968,0.3433,0.007,0.064,0.992,0.926
7,0.74,-0.76,NO,N/A,7.67%,17.11%,40.38%,9.31%,35.68,0.0998,0.3532,0.007,0.065,0.992,0.925
8,0.56,-0.88,NO,N/A,7.08%,17.74%,44.51%,8.6%,34.42,0.0976,0.3252,0.007,0.06,0.993,0.931
9,0.45,-0.81,NO,N/A,7.36%,17.82%,43.06%,8.63%,34.68,0.0989,0.3599,0.007,0.059,0.993,0.932
10,0.35,-0.77,NO,N/A,7.15%,17.06%,38.37%,8.51%,31.51,0.0967,0.3276,0.006,0.049,0.993,0.944
11,0.23,-0.84,NO,N/A,6.93%,17.96%,43.66%,8.23%,34.64,0.0965,0.314,0.006,0.059,0.993,0.932
12,0.22,-0.77,NO,N/A,8.91%,18.38%,41.18%,9.58%,26.34,0.1048,0.3702,0.006,0.031,0.993,0.967
13,0.22,-0.63,NO,N/A,7.21%,17.27%,38.39%,8.35%,25.47,0.0974,0.3389,0.005,0.029,0.995,0.967
14,0.19,-0.7,NO,N/A,6.9%,17.32%,36.99%,8.46%,24.09,0.1012,0.309,0.005,0.024,0.995,0.973
15,0.17,-0.57,NO,N/A,7.94%,17.39%,39.48%,9.02%,25.33,0.1013,0.3144,0.006,0.03,0.994,0.966
16,0.16,-0.57,NO,N/A,6.22%,16.17%,46.92%,7.73%,27.17,0.0944,0.3656,0.004,0.024,0.996,0.974
17,0.1,-0.76,NO,N/A,6.86%,16.42%,34.09%,8.22%,22.07,0.0963,0.3282,0.004,0.021,0.996,0.976
18,0.14,-0.67,NO,N/A,6.5%,15.92%,37.06%,7.86%,21.89,0.0918,0.359,0.004,0.021,0.996,0.977
19,0.18,-0.8,NO,N/A,6.77%,15.75%,30.49%,7.5%,19.23,0.0942,0.2648,0.003,0.016,0.997,0.981
20,0.08,-0.68,NO,N/A,6.41%,16.61%,32.32%,8.31%,20.64,0.0967,0.2824,0.003,0.018,0.996,0.981
